"","tanggal","brgkt","tiba","passenger","libur","r2023","r2024","i2023","i2024","kemerdekaan","baruislam","cek"
"1",2022-09-30,5737,5487,11224,0,0,0,0,0,0,0,0
"2",2022-10-01,4821,4738,9559,1,0,0,0,0,0,0,0
"3",2022-10-02,4979,5144,10123,1,0,0,0,0,0,0,0
"4",2022-10-03,4304,4829,9133,0,0,0,0,0,0,0,0
"5",2022-10-04,4794,4704,9498,0,0,0,0,0,0,0,0
"6",2022-10-05,5313,4937,10250,0,0,0,0,0,0,0,0
"7",2022-10-06,5696,4841,10537,0,0,0,0,0,0,0,0
"8",2022-10-07,5901,4863,10764,0,0,0,0,0,0,0,0
"9",2022-10-08,4881,4623,9504,1,0,0,0,0,0,0,0
"10",2022-10-09,5116,5974,11090,1,0,0,0,0,0,0,0
"11",2022-10-10,4960,5599,10559,0,0,0,0,0,0,0,0
"12",2022-10-11,4551,5386,9937,0,0,0,0,0,0,0,0
"13",2022-10-12,5507,5536,11043,0,0,0,0,0,0,0,0
"14",2022-10-13,5975,5299,11274,0,0,0,0,0,0,0,0
"15",2022-10-14,5922,5228,11150,0,0,0,0,0,0,0,0
"16",2022-10-15,5486,4951,10437,1,0,0,0,0,0,0,0
"17",2022-10-16,4635,5971,10606,1,0,0,0,0,0,0,0
"18",2022-10-17,4999,5393,10392,0,0,0,0,0,0,0,0
"19",2022-10-18,4516,4294,8810,0,0,0,0,0,0,0,0
"20",2022-10-19,5664,5314,10978,0,0,0,0,0,0,0,0
"21",2022-10-20,6023,4927,10950,0,0,0,0,0,0,0,0
"22",2022-10-21,5619,5231,10850,0,0,0,0,0,0,0,0
"23",2022-10-22,4457,5212,9669,1,0,0,0,0,0,0,0
"24",2022-10-23,4883,6124,11007,1,0,0,0,0,0,0,0
"25",2022-10-24,4626,5406,10032,0,0,0,0,0,0,0,0
"26",2022-10-25,4626,5032,9658,0,0,0,0,0,0,0,0
"27",2022-10-26,5330,4863,10193,0,0,0,0,0,0,0,0
"28",2022-10-27,5738,5267,11005,0,0,0,0,0,0,0,0
"29",2022-10-28,6172,5273,11445,0,0,0,0,0,0,0,0
"30",2022-10-29,4853,5164,10017,1,0,0,0,0,0,0,0
"31",2022-10-30,5126,5805,10931,1,0,0,0,0,0,0,0
