Tanggal;ID Prasarana;Prasarana;Penumpang Berangkat;Penumpang Berangkat Domestik;Penumpang Berangkat Internasional;Penumpang Tiba;Penumpang Tiba Domestik;Penumpang Tiba Internasional;Pesawat Tiba Domestik;Pesawat Tiba Internasional;Pesawat Berangkat Domestik;Pesawat Berangkat Internasional
01/01/2023;AAP;APT Pranoto;666;666;0;844;844;0;6;0;6;0
01/01/2023;AMQ;Pattimura;476;476;0;364;364;0;3;0;3;0
01/01/2023;BDJ;Syamsudin Noor;2556;2556;0;3257;3257;0;28;0;25;0
01/01/2023;BDO;Husein Sastranegara;876;876;0;1028;1028;0;7;0;7;0
01/01/2023;BEJ;Kalimarau;326;326;0;344;344;0;6;0;6;0
01/01/2023;BIK;Frans Kaisiepo;311;311;0;177;177;0;3;0;3;0
01/01/2023;BKS;Fatmawati Soekarno/Padang Kemiling;607;607;0;696;696;0;5;0;5;0
01/01/2023;BMU;Sultan Mahmud Salahudiin;79;79;0;80;80;0;2;0;2;0
01/01/2023;BPN;Sepinggan;4521;4521;0;5772;5772;0;47;1;44;1
01/01/2023;BTH;Hang Nadim;4989;4967;22;5023;4973;50;36;1;36;1
01/01/2023;BTJ;Sultan Iskandar Muda;550;371;179;766;584;182;6;1;6;1
01/01/2023;BWX;Banyuwangi;120;120;0;76;76;0;1;0;1;0
01/01/2023;CGK;Soekarno-Hatta;49118;37161;11957;59955;44655;15300;301;90;315;82
01/01/2023;DJB;Sultan Thaha Syaifuddin;874;874;0;1047;1047;0;7;0;6;0
01/01/2023;DJJ;Sentani;1913;1913;0;1525;1525;0;16;0;17;0
01/01/2023;DPS;Ngurah Rai;33398;19900;13498;21087;10461;10626;118;72;122;73
01/01/2023;DTB;Sisingamangaraja XII;838;838;0;644;644;0;5;0;5;0
01/01/2023;GTO;Djalaluddin;205;205;0;247;247;0;3;0;3;0
01/01/2023;HLP;Halim Perdana Kusuma;3388;3383;5;5112;5112;0;53;1;56;2
01/01/2023;JOG;Adi Sucipto;235;235;0;104;104;0;5;0;5;0
01/01/2023;KDI;Haluoleo;890;890;0;943;943;0;7;0;7;0
01/01/2023;KJT;Kertajati;0;0;0;0;0;0;0;0;0;0
01/01/2023;KNO;Kuala Namu;10277;7531;2746;10421;7522;2899;59;19;56;20
01/01/2023;KOE;El tari;1210;1210;0;1020;1020;0;16;0;16;0
01/01/2023;LBJ;Komodo;1185;1185;0;497;497;0;13;0;13;0
01/01/2023;LOP;Internasional Lombok;2913;2564;349;1970;1750;220;22;2;22;2
01/01/2023;MDC;Sam Ratulangi;1448;1448;0;1045;1045;0;9;1;13;0
01/01/2023;MKQ;Mopah;242;242;0;258;258;0;4;0;4;0
01/01/2023;MKW;Rendani;354;354;0;263;263;0;3;0;3;0
01/01/2023;MLG;Abdul Rachman Saleh;657;657;0;387;387;0;4;0;4;0
01/01/2023;PDG;Internasional Minangkabau;2698;2532;166;2749;2571;178;16;1;15;1
01/01/2023;PGK;Depati Amir;1481;1481;0;1323;1323;0;12;0;11;0
01/01/2023;PKN;Iskandar;512;512;0;618;618;0;8;0;7;0
01/01/2023;PKU;Sultan Syarif Kasim II;3201;2855;346;3701;3336;365;25;3;25;3
01/01/2023;PKY;Tjilik Riwut;644;644;0;664;664;0;6;0;6;0
