"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2023-01-01","BPN","Sepinggan",4521,4521,0,5772,5772,0,47,1,44,1
"2023-01-02","BPN","Sepinggan",5283,5283,0,6737,6737,0,57,0,59,1
"2023-01-03","BPN","Sepinggan",5352,5352,0,7307,7307,0,66,1,65,2
"2023-01-04","BPN","Sepinggan",5989,5989,0,7137,7137,0,65,1,67,2
"2023-01-05","BPN","Sepinggan",5884,5884,0,7443,7443,0,57,1,59,2
"2023-01-06","BPN","Sepinggan",6299,6299,0,6943,6943,0,64,1,61,2
"2023-01-07","BPN","Sepinggan",6002,6002,0,6801,6801,0,60,1,59,1
"2023-01-08","BPN","Sepinggan",6354,6354,0,7200,7200,0,69,1,70,1
"2023-01-09","BPN","Sepinggan",5380,5380,0,7035,7035,0,60,0,59,2
"2023-01-10","BPN","Sepinggan",5660,5660,0,7112,7112,0,64,1,63,3
"2023-01-11","BPN","Sepinggan",5878,5878,0,7078,7078,0,67,1,66,2
"2023-01-12","BPN","Sepinggan",5630,5628,2,6642,6640,2,65,2,63,3
"2023-01-13","BPN","Sepinggan",6313,6313,0,6126,6126,0,68,1,65,2
"2023-01-14","BPN","Sepinggan",6148,6146,2,6592,6592,0,63,1,60,2
"2023-01-15","BPN","Sepinggan",6292,6292,0,6752,6752,0,62,1,64,1
"2023-01-16","BPN","Sepinggan",5512,5512,0,6621,6621,0,59,1,59,3
"2023-01-17","BPN","Sepinggan",5188,5188,0,6330,6330,0,65,2,65,2
"2023-01-18","BPN","Sepinggan",5894,5888,6,6344,6344,0,63,1,58,3
"2023-01-19","BPN","Sepinggan",6453,6453,0,6580,6580,0,68,1,67,2
"2023-01-20","BPN","Sepinggan",7702,7702,0,6803,6803,0,72,1,71,2
"2023-01-21","BPN","Sepinggan",6865,6865,0,6747,6747,0,65,1,63,3
"2023-01-22","BPN","Sepinggan",5755,5755,0,5922,5922,0,55,1,58,0
"2023-01-23","BPN","Sepinggan",5831,5831,0,7154,7154,0,65,0,65,1
"2023-01-24","BPN","Sepinggan",5437,5437,0,6532,6532,0,61,2,60,4
"2023-01-25","BPN","Sepinggan",6355,6355,0,6184,6184,0,63,1,61,2
"2023-01-26","BPN","Sepinggan",6175,6175,0,5996,5996,0,67,2,65,3
"2023-01-27","BPN","Sepinggan",6493,6313,180,5668,5621,47,67,2,63,2
"2023-01-28","BPN","Sepinggan",6374,6162,212,6222,6222,0,61,1,61,3
"2023-01-29","BPN","Sepinggan",5764,5764,0,6791,6791,0,57,1,59,0
"2023-01-30","BPN","Sepinggan",5300,5300,0,6963,6963,0,67,0,62,2
"2023-01-31","BPN","Sepinggan",5790,5790,0,6394,6394,0,64,2,65,1
"2023-02-01","BPN","Sepinggan",6126,5947,179,6532,6436,96,69,3,66,3
"2023-02-02","BPN","Sepinggan",6204,6197,7,5917,5917,0,79,2,67,4
"2023-02-03","BPN","Sepinggan",6403,6234,169,5615,5497,118,66,2,64,1
"2023-02-04","BPN","Sepinggan",6010,5853,157,6072,6072,0,58,2,57,5
"2023-02-05","BPN","Sepinggan",6303,6303,0,6783,6571,212,61,2,63,0
"2023-02-06","BPN","Sepinggan",5823,5698,125,6501,6458,43,57,1,57,2
"2023-02-07","BPN","Sepinggan",4358,4358,0,4514,4514,0,66,2,64,4
"2023-02-08","BPN","Sepinggan",6570,6431,139,6882,6743,139,68,2,66,3
"2023-02-09","BPN","Sepinggan",6790,6790,0,6069,6069,0,63,1,62,3
"2023-02-10","BPN","Sepinggan",7166,7033,133,5832,5719,113,65,2,64,2
"2023-02-11","BPN","Sepinggan",7166,7033,133,5832,5719,113,65,2,64,2
"2023-02-12","BPN","Sepinggan",6792,6792,0,6767,6609,158,60,2,62,1
"2023-02-13","BPN","Sepinggan",6057,5943,114,6695,6647,48,58,1,59,2
"2023-02-14","BPN","Sepinggan",5962,5962,0,6552,6552,0,63,2,62,3
"2023-02-15","BPN","Sepinggan",7170,7024,146,7160,7049,111,67,2,64,3
"2023-02-16","BPN","Sepinggan",7140,7140,0,6597,6597,0,62,1,63,2
"2023-02-17","BPN","Sepinggan",7705,7533,172,6518,6346,172,63,2,59,3
"2023-02-18","BPN","Sepinggan",7315,7315,0,6685,6685,0,64,1,65,2
"2023-02-19","BPN","Sepinggan",6951,6951,0,7716,7716,0,62,1,64,0
"2023-02-20","BPN","Sepinggan",6230,6116,114,7678,7570,108,65,1,62,2
"2023-02-21","BPN","Sepinggan",6725,6725,0,8015,8015,0,73,2,73,2
"2023-02-22","BPN","Sepinggan",7459,7341,118,7848,7711,137,77,2,69,3
"2023-02-23","BPN","Sepinggan",7299,7299,0,6948,6948,0,72,2,70,1
"2023-02-24","BPN","Sepinggan",7718,7579,139,6699,6559,140,65,2,66,3
"2023-02-25","BPN","Sepinggan",8149,7937,212,7346,7346,0,68,2,67,2
"2023-02-26","BPN","Sepinggan",7459,7459,0,6892,6892,0,62,1,63,1
"2023-02-27","BPN","Sepinggan",7220,7130,90,6923,6837,86,60,1,61,2
"2023-02-28","BPN","Sepinggan",7080,7080,0,7002,7002,0,68,2,69,2
"2023-03-01","BPN","Sepinggan",7000,6900,100,6576,6493,83,61,3,58,3
"2023-03-02","BPN","Sepinggan",6561,6560,1,6044,6044,0,62,2,61,3
"2023-03-03","BPN","Sepinggan",7210,7096,114,6293,6159,134,59,2,57,2
"2023-03-04","BPN","Sepinggan",6619,6619,0,6636,6636,0,66,1,62,2
"2023-03-05","BPN","Sepinggan",6679,6679,0,6681,6468,213,59,3,61,1
"2023-03-06","BPN","Sepinggan",6231,6112,119,7169,7096,73,65,1,62,3
"2023-03-07","BPN","Sepinggan",6465,6465,0,6760,6756,4,65,3,68,2
"2023-03-08","BPN","Sepinggan",7095,6877,218,6973,6846,127,62,4,59,7
"2023-03-09","BPN","Sepinggan",6874,6874,0,6490,6490,0,59,2,58,2
