"Tanggal","Penumpang.Berangkat"
2023-01-01,4521
2023-01-02,5283
2023-01-03,5352
2023-01-04,5989
2023-01-05,5884
2023-01-06,6299
2023-01-07,6002
2023-01-08,6354
2023-01-09,5380
2023-01-10,5660
2023-01-11,5878
2023-01-12,5630
2023-01-13,6313
2023-01-14,6148
2023-01-15,6292
2023-01-16,5512
2023-01-17,5188
2023-01-18,5894
2023-01-19,6453
2023-01-20,7702
2023-01-21,6865
2023-01-22,5755
2023-01-23,5831
2023-01-24,5437
2023-01-25,6355
2023-01-26,6175
2023-01-27,6493
2023-01-28,6374
2023-01-29,5764
2023-01-30,5300
2023-01-31,5790
2023-02-01,6126
2023-02-02,6204
2023-02-03,6403
2023-02-04,6010
2023-02-05,6303
2023-02-06,5823
2023-02-07,4358
2023-02-08,6570
2023-02-09,6790
2023-02-10,7166
2023-02-11,7166
2023-02-12,6792
2023-02-13,6057
2023-02-14,5962
2023-02-15,7170
2023-02-16,7140
2023-02-17,7705
2023-02-18,7315
2023-02-19,6951
2023-02-20,6230
2023-02-21,6725
2023-02-22,7459
2023-02-23,7299
2023-02-24,7718
2023-02-25,8149
2023-02-26,7459
2023-02-27,7220
2023-02-28,7080
2023-03-01,7000
2023-03-02,6561
2023-03-03,7210
2023-03-04,6619
2023-03-05,6679
2023-03-06,6231
2023-03-07,6465
2023-03-08,7095
2023-03-09,6874
2023-03-10,7455
2023-03-11,7263
2023-03-12,7144
2023-03-13,7138
2023-03-14,7062
2023-03-15,7859
2023-03-16,7575
2023-03-17,7967
2023-03-18,7228
2023-03-19,6406
2023-03-20,6359
2023-03-21,6758
2023-03-22,6404
2023-03-23,4694
2023-03-24,4133
2023-03-25,4439
2023-03-26,5278
2023-03-27,5034
2023-03-28,4731
2023-03-29,5134
2023-03-30,5500
2023-03-31,5180
2023-04-01,4917
2023-04-02,4189
2023-04-03,4151
2023-04-04,4738
2023-04-05,5515
2023-04-06,6257
2023-04-07,5134
2023-04-08,4956
2023-04-09,5453
2023-04-10,5851
2023-04-11,5516
2023-04-12,6565
2023-04-13,7383
2023-04-14,9547
2023-04-15,10906
2023-04-16,10741
2023-04-17,11050
2023-04-18,12021
2023-04-19,12388
2023-04-20,11618
2023-04-21,10021
2023-04-22,5159
2023-04-23,5808
2023-04-24,7209
2023-04-25,7411
2023-04-26,7538
2023-04-27,6954
2023-04-28,7420
2023-04-29,8118
2023-04-30,8970
2023-05-01,9472
2023-05-02,7850
2023-05-03,7657
2023-05-04,7515
2023-05-05,7646
2023-05-06,7336
2023-05-07,7525
2023-05-08,6769
2023-05-09,6509
2023-05-10,7562
2023-05-11,6471
2023-05-12,6810
2023-05-13,6686
2023-05-14,6932
2023-05-15,6952
2023-05-16,6071
2023-05-17,8257
2023-05-18,7842
2023-05-19,5854
2023-05-20,5879
2023-05-21,7127
2023-05-22,6446
2023-05-23,6292
2023-05-24,6786
2023-05-25,6979
2023-05-26,7588
2023-05-27,6390
2023-05-28,7530
2023-05-29,6593
2023-05-30,7177
2023-05-31,8949
2023-06-01,8128
2023-06-02,5582
2023-06-03,5132
2023-06-04,6595
2023-06-05,6304
2023-06-06,5984
2023-06-07,6616
2023-06-08,6899
2023-06-09,6989
2023-06-10,6830
2023-06-11,7631
2023-06-12,7022
2023-06-13,7091
2023-06-14,8598
2023-06-15,9241
2023-06-16,8803
2023-06-17,9322
2023-06-18,10038
2023-06-19,9265
2023-06-20,9051
2023-06-21,9895
2023-06-22,9556
2023-06-23,9250
2023-06-24,9446
2023-06-25,9704
2023-06-26,8872
2023-06-27,3673
2023-06-28,8940
2023-06-29,5570
2023-06-30,6883
2023-07-01,6791
2023-07-02,7998
2023-07-03,7496
2023-07-04,7273
2023-07-05,8557
2023-07-06,8148
2023-07-07,7973
2023-07-08,7397
2023-07-09,7762
2023-07-10,7674
2023-07-11,7265
2023-07-12,8403
2023-07-13,7763
2023-07-14,8054
2023-07-15,7800
2023-07-16,7758
2023-07-17,6046
2023-07-18,6562
2023-07-19,7811
2023-07-20,7045
2023-07-21,7294
2023-07-22,7001
2023-07-23,7560
2023-07-24,7610
2023-07-25,6927
2023-07-26,7188
2023-07-27,6824
2023-07-28,7521
2023-07-29,6204
2023-07-30,5918
2023-07-31,6013
2023-08-01,6121
2023-08-02,7177
2023-08-03,6217
2023-08-04,6922
2023-08-05,6672
2023-08-06,6539
2023-08-07,6457
2023-08-08,5438
2023-08-09,7027
2023-08-10,7257
2023-08-11,7154
2023-08-12,7083
2023-08-13,7122
2023-08-14,6481
2023-08-15,5898
2023-08-16,6762
2023-08-17,6139
2023-08-18,5795
2023-08-19,6222
2023-08-20,6758
2023-08-21,6542
2023-08-22,7400
2023-08-23,7196
2023-08-24,6663
2023-08-25,6754
2023-08-26,6897
2023-08-27,6753
2023-08-28,6066
2023-08-29,5918
2023-08-30,7205
2023-08-31,6607
2023-09-01,6803
2023-09-02,6492
2023-09-03,6590
2023-09-04,6000
2023-09-05,6053
2023-09-06,6798
2023-09-07,6446
2023-09-08,6949
2023-09-09,6078
2023-09-10,6333
2023-09-11,5989
2023-09-12,5853
2023-09-13,7407
2023-09-14,6707
2023-09-15,7335
2023-09-16,6170
2023-09-17,6706
2023-09-18,6143
2023-09-19,5777
2023-09-20,7451
2023-09-21,6617
2023-09-22,6865
2023-09-23,6817
2023-09-24,7057
2023-09-25,6580
2023-09-26,6020
2023-09-27,5468
2023-09-28,6914
2023-09-29,5778
2023-09-30,5830
2023-10-01,7837
2023-10-02,6660
2023-10-03,6012
2023-10-04,7587
2023-10-05,7284
2023-10-06,7439
2023-10-07,6300
2023-10-08,7104
2023-10-09,6236
2023-10-10,6628
2023-10-11,7812
2023-10-12,7709
2023-10-13,7757
2023-10-14,6160
2023-10-15,7015
2023-10-16,6511
2023-10-17,6138
2023-10-18,7552
2023-10-19,6972
2023-10-20,7548
2023-10-21,5861
2023-10-22,6330
2023-10-23,6489
2023-10-24,6252
2023-10-25,7732
2023-10-26,8761
2023-10-27,7112
2023-10-28,6580
2023-10-29,6464
2023-10-30,6836
2023-10-31,5838
2023-11-01,7150
2023-11-02,7761
2023-11-03,7879
2023-11-04,6460
2023-11-05,6511
2023-11-06,6768
2023-11-07,6174
2023-11-08,7385
2023-11-09,7617
2023-11-10,7663
2023-11-11,5738
2023-11-12,6566
2023-11-13,6759
2023-11-14,6053
2023-11-15,7879
2023-11-16,7720
2023-11-17,7295
2023-11-18,6194
2023-11-19,6960
2023-11-20,7232
2023-11-21,5863
2023-11-22,7305
2023-11-23,7102
2023-11-24,7741
2023-11-25,6451
2023-11-26,7418
2023-11-27,7552
2023-11-28,6072
2023-11-29,6937
2023-11-30,7517
2023-12-01,6909
2023-12-02,5450
2023-12-03,6313
2023-12-04,6038
2023-12-05,5936
2023-12-06,7623
2023-12-07,7175
2023-12-08,7720
2023-12-09,6607
2023-12-10,7938
2023-12-11,6936
2023-12-12,5660
2023-12-13,8060
2023-12-14,7359
2023-12-15,8187
2023-12-16,7762
2023-12-17,8262
2023-12-18,6998
2023-12-19,5734
2023-12-20,9320
2023-12-21,8716
2023-12-22,9375
2023-12-23,9599
2023-12-24,7570
2023-12-25,6668
2023-12-26,6838
2023-12-27,6459
2023-12-28,6077
2023-12-29,6135
2023-12-30,5928
2023-12-31,4530
2024-01-01,4960
2024-01-02,6053
2024-01-03,5984
2024-01-04,5564
2024-01-05,5748
2024-01-06,4131
2024-01-07,6108
2024-01-08,4564
2024-01-09,3909
2024-01-10,6243
2024-01-11,5746
2024-01-12,6227
2024-01-13,5137
2024-01-14,5501
2024-01-15,5917
2024-01-16,5255.5
2024-01-17,4594
2024-01-18,6036
2024-01-19,6853
2024-01-20,5675
2024-01-21,5230
2024-01-22,5676
2024-01-23,5390
2024-01-24,6608
2024-01-26,5882
2024-01-27,5184
2024-01-28,6497
2024-01-29,5602
2024-01-30,4813
2024-01-31,6585
2024-02-01,5489
2024-02-02,6299
2024-02-03,3902
2024-02-04,6883
2024-02-05,6504
2024-02-06,5395
2024-02-07,4286
2024-02-08,7941
2024-02-09,5847
2024-02-10,3753
2024-02-11,4919
2024-02-12,5270
2024-02-13,4773.5
2024-02-14,4277
2024-02-15,5582
2024-02-16,6134
2024-02-17,2844
2024-02-18,6977
2024-02-19,6548
2024-02-20,6068
2024-02-21,6441
2024-02-22,6951
2024-02-23,7408
2024-02-24,6441
2024-02-25,7254
2024-02-26,6946
2024-02-27,6159
2024-02-28,7507
2024-02-29,7637
2024-03-01,4238
2024-03-06,8068
2024-03-07,7617
2024-03-08,8268
2024-03-09,7138
2024-03-10,5921
2024-03-11,4586
2024-03-12,5092
2024-03-13,4332
2024-03-14,4361
2024-03-15,4864
2024-03-16,5298
2024-03-17,4433
2024-03-18,4141
2024-03-19,4817
2024-03-20,6470
2024-03-21,4608
2024-03-24,5031
2024-03-25,5251
2024-03-26,4920
2024-03-27,6587
2024-03-28,6887
2024-03-29,6708
2024-03-30,6732
2024-03-31,7420
2024-04-01,8625
2024-04-02,10456
2024-04-03,11935
2024-04-04,12658
2024-04-05,13869
2024-04-06,13608
2024-04-07,13542
2024-04-08,13823
2024-04-09,12143
2024-04-10,7464
2024-04-11,5652
2024-04-12,7118
2024-04-13,6533
2024-04-14,9460
2024-04-15,10564
2024-04-16,8951
2024-04-17,8303
2024-04-18,7667
2024-04-19,7867
2024-04-20,8986
2024-04-21,9329
2024-04-22,7476
2024-04-23,6516
2024-04-24,7510
2024-04-25,6504
2024-04-26,6921
2024-04-27,6925
2024-04-28,7211
2024-04-29,6042
2024-04-30,6824
2024-05-01,7481
2024-05-02,6243
2024-05-03,6806
2024-05-04,6079
2024-05-05,7114
2024-05-06,6918
2024-05-07,6371
2024-05-08,8333
2024-05-09,7649
2024-05-10,5935
2024-05-11,5512
2024-05-12,7406
2024-05-13,6639
2024-05-14,6110
2024-05-15,7591
2024-05-16,7293
2024-05-17,7809
2024-05-18,6812
2024-05-19,6472
2024-05-20,7340
2024-05-21,5838
2024-05-22,8335
2024-05-23,7643
2024-05-24,5961
2024-05-25,5485
2024-05-26,7210
2024-05-27,6593
2024-05-28,5252
2024-05-29,5872
2024-05-30,6861
2024-05-31,7348
2024-06-01,6567
2024-06-02,6583
2024-06-03,6145
2024-06-04,6290
2024-06-05,8590
2024-06-06,9284
2024-06-07,9039
2024-06-08,7837
2024-06-09,8313
2024-06-10,8078
2024-06-11,7071
2024-06-12,8493
2024-06-13,8095
2024-06-14,10207
2024-06-15,9389
2024-06-16,9041
2024-06-17,5820
2024-06-18,6921
2024-06-19,8334
2024-06-20,7915
2024-06-21,8474
2024-06-22,7772
2024-06-23,8721
2024-06-24,8708
2024-06-25,7760
2024-06-26,9377
2024-06-27,8656
2024-06-28,9222
2024-06-29,7992
2024-06-30,9073
2024-07-01,7859
2024-07-02,8369
2024-07-03,9057
2024-07-04,8377
2024-07-05,9329
2024-07-06,8191
2024-07-07,8058
2024-07-08,8044
2024-07-09,7680
2024-07-10,8878
2024-07-11,8465
2024-07-12,8666
2024-07-13,7785
2024-07-14,8015
2024-07-15,7298
2024-07-16,6803
2024-07-17,3683
2024-07-18,6738
2024-07-19,8762
2024-07-20,7132
2024-07-21,7513
2024-07-22,7016
2024-07-23,6588
2024-07-24,7721
2024-07-25,6961
2024-07-26,7462
2024-07-27,6835
2024-07-28,7326
2024-07-29,6861
2024-07-30,6093
2024-07-31,7790
