"","Time","time","Live.Traffic","Travel.Time","Jams.Count","Jams.Length","Jams.Delay","Time1"
"1","2024-08-14 03:46:30.001","2024-08-14 03:46:30.001",46,121.643617843284,371,314.6,1842.9,2024-08-14 03:46:30
"2","2024-08-14 04:01:30.000","2024-08-14 04:01:30.000",45,120.6930411442,386,326.4,1865.7,2024-08-14 04:01:30
"3","2024-08-14 05:01:30.000","2024-08-14 05:01:30.000",45,121.736616679966,382,298.4,1786.5,2024-08-14 05:01:30
"4","2024-08-14 06:46:30.001","2024-08-14 06:46:30.001",39,117.592656081669,353,244.7,1585.7,2024-08-14 06:46:30
"5","2024-08-14 07:46:30.001","2024-08-14 07:46:30.001",45,122.938471577236,495,331.8,2314.3,2024-08-14 07:46:30
"6","2024-08-14 08:16:30.000","2024-08-14 08:16:30.000",47,124.82894041296,500,352.1,2303,2024-08-14 08:16:30
"7","2024-08-14 09:46:30.000","2024-08-14 09:46:30.000",54,130.985713582989,629,431.1,2978.6,2024-08-14 09:46:30
"8","2024-08-14 10:46:30.000","2024-08-14 10:46:30.000",70,146.653256475956,887,631.9,4500.2,2024-08-14 10:46:30
"9","2024-08-14 11:16:30.000","2024-08-14 11:16:30.000",75,151.640120050849,763,565,4042.5,2024-08-14 11:16:30
"10","2024-08-14 12:01:30.000","2024-08-14 12:01:30.000",69,147.46611720969,604,451.7,2961.1,2024-08-14 12:01:30
"11","2024-08-14 13:01:30.000","2024-08-14 13:01:30.000",51,132.273942050446,307,242.8,1366.4,2024-08-14 13:01:30
"12","2024-08-14 14:01:30.000","2024-08-14 14:01:30.000",29,112.402264473979,112,81.6,466.9,2024-08-14 14:01:30
"13","2024-08-14 15:01:30.000","2024-08-14 15:01:30.000",17,102.240014944272,69,54.2,276.8,2024-08-14 15:01:30
"14","2024-08-14 16:01:30.000","2024-08-14 16:01:30.000",7,93.6924686688932,40,41.5,173.2,2024-08-14 16:01:30
"15","2024-08-14 17:01:30.000","2024-08-14 17:01:30.000",0,83.8155641203142,28,36.5,119.7,2024-08-14 17:01:30
"16","2024-08-14 18:01:30.000","2024-08-14 18:01:30.000",0,79.0350966603208,18,40,89.8,2024-08-14 18:01:30
"17","2024-08-14 19:01:30.000","2024-08-14 19:01:30.000",0,77.554152049201,13,24.2,45,2024-08-14 19:01:30
"18","2024-08-14 20:01:30.000","2024-08-14 20:01:30.000",0,76.0282609491908,10,28.2,16.4,2024-08-14 20:01:30
"19","2024-08-14 21:01:30.000","2024-08-14 21:01:30.000",0,70.6274203116521,22,47.3,37.2,2024-08-14 21:01:30
"20","2024-08-14 22:01:30.000","2024-08-14 22:01:30.000",0,70.4363322266322,9,18.4,27.6,2024-08-14 22:01:30
"21","2024-08-14 23:46:30.000","2024-08-14 23:46:30.000",29,107.275982658304,401,244.1,1823.1,2024-08-14 23:46:30
"22","2024-08-15 00:46:30.000","2024-08-15 00:46:30.000",49,125.187455625521,574,376.9,2834.6,2024-08-15 00:46:30
"23","2024-08-15 01:01:30.000","2024-08-15 01:01:30.000",50,125.76804677114,534,356,2644.8,2024-08-15 01:01:30
"24","2024-08-15 02:01:30.000","2024-08-15 02:01:30.000",46,122.992910726407,365,261.6,1683.4,2024-08-15 02:01:30
"25","2024-08-15 03:46:30.000","2024-08-15 03:46:30.000",39,115.483754361445,325,261.3,1384.8,2024-08-15 03:46:30
"26","2024-08-15 04:31:30.000","2024-08-15 04:31:30.000",39,115.760602872831,347,262.3,1535.3,2024-08-15 04:31:30
"27","2024-08-15 05:01:30.000","2024-08-15 05:01:30.000",40,116.968479745035,344,278.1,1585.7,2024-08-15 05:01:30
"28","2024-08-15 06:46:30.000","2024-08-15 06:46:30.000",38,115.974045878116,331,213.9,1387.4,2024-08-15 06:46:30
"29","2024-08-15 07:46:30.001","2024-08-15 07:46:30.001",43,120.016032345133,467,309.8,2037.8,2024-08-15 07:46:30
"30","2024-08-15 08:31:30.000","2024-08-15 08:31:30.000",45,121.491669337728,477,330.6,2149,2024-08-15 08:31:30
"31","2024-08-15 09:46:30.000","2024-08-15 09:46:30.000",53,129.534217087275,632,425.2,2928,2024-08-15 09:46:30
"32","2024-08-15 10:46:30.000","2024-08-15 10:46:30.000",67,141.845709946104,876,591.1,4398.1,2024-08-15 10:46:30
"33","2024-08-15 11:01:30.000","2024-08-15 11:01:30.000",71,145.483556081173,877,618.5,4437.5,2024-08-15 11:01:30
"34","2024-08-15 12:01:30.000","2024-08-15 12:01:30.000",64,141.990153272113,562,422.6,2767.1,2024-08-15 12:01:30
"35","2024-08-15 13:01:30.000","2024-08-15 13:01:30.000",46,127.287626577969,284,212.4,1265.5,2024-08-15 13:01:30
"36","2024-08-15 14:01:30.000","2024-08-15 14:01:30.000",26,110.08575803757,128,94.7,524.3,2024-08-15 14:01:30
"37","2024-08-15 15:01:30.000","2024-08-15 15:01:30.000",17,101.779384350222,60,64.2,280.6,2024-08-15 15:01:30
"38","2024-08-15 16:01:30.000","2024-08-15 16:01:30.000",7,93.4558690644223,41,42.7,195.1,2024-08-15 16:01:30
"39","2024-08-15 17:01:30.001","2024-08-15 17:01:30.001",0,83.2475487383385,25,41.4,85.5,2024-08-15 17:01:30
"40","2024-08-15 18:01:30.000","2024-08-15 18:01:30.000",0,79.0298299862821,17,17.8,58.9,2024-08-15 18:01:30
"41","2024-08-15 19:01:30.000","2024-08-15 19:01:30.000",0,76.1639791219937,18,39.8,57.2,2024-08-15 19:01:30
"42","2024-08-15 20:01:30.000","2024-08-15 20:01:30.000",0,76.4370982711518,21,48.3,81.4,2024-08-15 20:01:30
"43","2024-08-15 21:01:30.000","2024-08-15 21:01:30.000",0,72.3261330720985,22,39.5,106.6,2024-08-15 21:01:30
"44","2024-08-15 22:01:30.000","2024-08-15 22:01:30.000",0,71.0657799297134,8,16.4,143.6,2024-08-15 22:01:30
"45","2024-08-15 23:46:30.000","2024-08-15 23:46:30.000",28,106.739907701542,389,245.4,1720.1,2024-08-15 23:46:30
"46","2024-08-16 00:46:30.000","2024-08-16 00:46:30.000",45,122.084044962284,511,333.5,2284.7,2024-08-16 00:46:30
"47","2024-08-16 01:01:30.000","2024-08-16 01:01:30.000",46,123.520809655634,475,314.6,2049,2024-08-16 01:01:30
"48","2024-08-16 02:01:30.000","2024-08-16 02:01:30.000",38,116.170303046795,305,208.2,1120.1,2024-08-16 02:01:30
"49","2024-08-16 03:46:30.001","2024-08-16 03:46:30.001",35,112.964418450425,356,235.7,1532.7,2024-08-16 03:46:30
