"","tanggal","brgkt","tiba","passenger"
"1",2023-04-01,4917,4498,9415
"2",2023-04-02,4189,4226,8415
"3",2023-04-03,4151,4468,8619
"4",2023-04-04,4738,4494,9232
"5",2023-04-05,5515,4896,10411
"6",2023-04-06,6257,4708,10965
"7",2023-04-07,5134,4363,9497
"8",2023-04-08,4956,4275,9231
"9",2023-04-09,5453,5432,10885
"10",2023-04-10,5851,5488,11339
"11",2023-04-11,5516,4809,10325
"12",2023-04-12,6565,5427,11992
"13",2023-04-13,7383,5239,12622
"14",2023-04-14,9547,6314,15861
"15",2023-04-15,10906,7272,18178
"16",2023-04-16,10741,6359,17100
"17",2023-04-17,11050,5371,16421
"18",2023-04-18,12021,6612,18633
"19",2023-04-19,12388,7655,20043
"20",2023-04-20,11618,6345,17963
"21",2023-04-21,10021,4271,14292
"22",2023-04-22,5159,2139,7298
"23",2023-04-23,5808,3904,9712
"24",2023-04-24,7209,5658,12867
"25",2023-04-25,7411,7303,14714
"26",2023-04-26,7538,8245,15783
"27",2023-04-27,6954,7631,14585
"28",2023-04-28,7420,8629,16049
"29",2023-04-29,8118,9968,18086
"30",2023-04-30,8970,10929,19899
"31",2023-05-01,9472,11004,20476
"32",2023-05-02,7850,9545,17395
"33",2023-05-03,7657,9824,17481
"34",2023-05-04,7515,9460,16975
"35",2023-05-05,7646,9679,17325
"36",2023-05-06,7336,9572,16908
"37",2023-05-07,7525,9732,17257
"38",2023-05-08,6769,9168,15937
"39",2023-05-09,6509,9261,15770
"40",2023-05-10,7562,9320,16882
"41",2023-05-11,6471,9551,16022
"42",2023-05-12,6810,9427,16237
"43",2023-05-13,6686,9069,15755
"44",2023-05-14,6932,9613,16545
"45",2023-05-15,6952,9246,16198
"46",2023-05-16,6071,9225,15296
"47",2023-05-17,8257,9702,17959
"48",2023-05-18,7842,9432,17274
"49",2023-05-19,5854,8476,14330
"50",2023-05-20,5879,8336,14215
"51",2023-05-21,7127,9131,16258
"52",2023-05-22,6446,9100,15546
"53",2023-05-23,6292,7658,13950
"54",2023-05-24,6786,8268,15054
"55",2023-05-25,6979,7935,14914
"56",2023-05-26,7588,7534,15122
