Time,time,Live Traffic,Travel Time,Jams Count,Jams Length,Jams Delay
2024-08-14 03:46:30.001,2024-08-14 03:46:30.001,46,121.64361784328368,371,314.6,1842.9
2024-08-14 04:01:30.000,2024-08-14 04:01:30.000,45,120.69304114420044,386,326.4,1865.7
2024-08-14 05:01:30.000,2024-08-14 05:01:30.000,45,121.73661667996603,382,298.4,1786.5
2024-08-14 06:46:30.001,2024-08-14 06:46:30.001,39,117.59265608166946,353,244.7,1585.7
2024-08-14 07:46:30.001,2024-08-14 07:46:30.001,45,122.93847157723569,495,331.8,2314.3
2024-08-14 08:16:30.000,2024-08-14 08:16:30.000,47,124.82894041296039,500,352.1,2303.0
2024-08-14 09:46:30.000,2024-08-14 09:46:30.000,54,130.985713582989,629,431.1,2978.6
2024-08-14 10:46:30.000,2024-08-14 10:46:30.000,70,146.65325647595563,887,631.9,4500.2
2024-08-14 11:16:30.000,2024-08-14 11:16:30.000,75,151.64012005084874,763,565.0,4042.5
2024-08-14 12:01:30.000,2024-08-14 12:01:30.000,69,147.46611720969005,604,451.7,2961.1
2024-08-14 13:01:30.000,2024-08-14 13:01:30.000,51,132.27394205044584,307,242.8,1366.4
2024-08-14 14:01:30.000,2024-08-14 14:01:30.000,29,112.40226447397865,112,81.6,466.9
2024-08-14 15:01:30.000,2024-08-14 15:01:30.000,17,102.24001494427195,69,54.2,276.8
2024-08-14 16:01:30.000,2024-08-14 16:01:30.000,7,93.69246866889323,40,41.5,173.2
2024-08-14 17:01:30.000,2024-08-14 17:01:30.000,0,83.81556412031422,28,36.5,119.7
2024-08-14 18:01:30.000,2024-08-14 18:01:30.000,0,79.03509666032082,18,40.0,89.8
2024-08-14 19:01:30.000,2024-08-14 19:01:30.000,0,77.55415204920104,13,24.2,45.0
2024-08-14 20:01:30.000,2024-08-14 20:01:30.000,0,76.02826094919078,10,28.2,16.4
2024-08-14 21:01:30.000,2024-08-14 21:01:30.000,0,70.62742031165206,22,47.3,37.2
2024-08-14 22:01:30.000,2024-08-14 22:01:30.000,0,70.43633222663225,9,18.4,27.6
2024-08-14 23:46:30.000,2024-08-14 23:46:30.000,29,107.27598265830359,401,244.1,1823.1
2024-08-15 00:46:30.000,2024-08-15 00:46:30.000,49,125.1874556255213,574,376.9,2834.6
2024-08-15 01:01:30.000,2024-08-15 01:01:30.000,50,125.7680467711403,534,356.0,2644.8
2024-08-15 02:01:30.000,2024-08-15 02:01:30.000,46,122.99291072640723,365,261.6,1683.4
2024-08-15 03:46:30.000,2024-08-15 03:46:30.000,39,115.48375436144538,325,261.3,1384.8
2024-08-15 04:31:30.000,2024-08-15 04:31:30.000,39,115.76060287283121,347,262.3,1535.3
2024-08-15 05:01:30.000,2024-08-15 05:01:30.000,40,116.96847974503545,344,278.1,1585.7
2024-08-15 06:46:30.000,2024-08-15 06:46:30.000,38,115.97404587811604,331,213.9,1387.4
2024-08-15 07:46:30.001,2024-08-15 07:46:30.001,43,120.01603234513266,467,309.8,2037.8
2024-08-15 08:31:30.000,2024-08-15 08:31:30.000,45,121.4916693377276,477,330.6,2149.0
2024-08-15 09:46:30.000,2024-08-15 09:46:30.000,53,129.5342170872755,632,425.2,2928.0
2024-08-15 10:46:30.000,2024-08-15 10:46:30.000,67,141.8457099461037,876,591.1,4398.1
2024-08-15 11:01:30.000,2024-08-15 11:01:30.000,71,145.48355608117294,877,618.5,4437.5
2024-08-15 12:01:30.000,2024-08-15 12:01:30.000,64,141.99015327211347,562,422.6,2767.1
2024-08-15 13:01:30.000,2024-08-15 13:01:30.000,46,127.28762657796906,284,212.4,1265.5
2024-08-15 14:01:30.000,2024-08-15 14:01:30.000,26,110.08575803756965,128,94.7,524.3
2024-08-15 15:01:30.000,2024-08-15 15:01:30.000,17,101.7793843502217,60,64.2,280.6
2024-08-15 16:01:30.000,2024-08-15 16:01:30.000,7,93.4558690644223,41,42.7,195.1
2024-08-15 17:01:30.001,2024-08-15 17:01:30.001,0,83.24754873833848,25,41.4,85.5
