,cond_vol
0,759.8347573778227
1,711.068411401971
2,670.859937316039
3,637.9750310671069
4,611.2880704425011
5,589.7872580917752
6,572.578195670538
7,558.8883204124628
8,548.1561454963057
9,1061.1600514796523
10,1014.5359445368754
11,968.4506872110205
12,1000.454167051109
13,919.6753956680142
14,866.1551833717732
15,800.2491541123408
16,875.0829021594164
17,991.0703799527413
18,910.3458730780364
19,878.3166193944703
20,1016.8562670777882
21,927.6603834975539
22,1125.9105137025847
23,1093.873340584641
24,1084.073858368001
25,987.5701052976552
26,945.1309099630761
27,932.7435811562384
28,875.3559720854051
29,828.3144859690939
30,789.3227203726793
31,735.5230921758059
32,691.2730809705806
33,695.470747601554
34,717.71846822573
35,676.4867816097687
36,845.6128320651042
37,818.2592569895794
38,1659.4477417418584
39,1961.2996614115973
40,1742.9891803645094
41,1553.9125974526794
42,1397.2598108373054
43,1318.1512492394947
44,1196.3154732312335
45,1109.2263089065302
46,1079.4444134124763
47,980.6547570384564
48,923.218662836913
49,853.655222203438
50,891.1832508189264
51,824.9605340671321
52,1065.497882393637
53,968.6375256053593
54,912.7076715820832
55,840.814480146583
56,946.4553288058962
57,944.788470497836
58,866.9073559905072
59,812.6134478821335
60,1059.795204636067
61,1099.0491417896885
62,997.2828718738303
63,951.967968795341
64,876.955980185077
65,808.7647438203346
66,753.1320041158482
67,709.4359338076584
68,685.8966701295657
69,657.8242967858785
70,628.4199348645885
71,605.1555052883222
72,657.6554747216796
73,640.5181172170246
74,637.1241788087225
75,626.3372146111008
76,604.8768917558715
77,625.7295844857837
78,797.071948438566
79,762.2404656513359
80,722.7368734633496
81,1040.1761927303
82,2034.482940248665
83,2286.1287080184634
84,2091.1226233352563
85,1883.2500250089124
86,1696.3740605402731
87,1615.344832195736
88,1491.4852653587286
89,1344.5439610621456
90,1280.706067379559
91,1200.4593300110605
92,1289.7383919251354
93,1178.3031549903708
94,1092.0527460017267
95,1000.1370598674835
96,1102.350201112255
97,1128.6817115523138
98,1038.7668315154067
99,1177.456031398803
100,1163.6795152884129
101,1052.9753569348168
102,1080.5234995482713
103,1273.1196930847648
104,2239.863984500683
105,2836.3553167209798
106,2588.945064260451
107,2349.79272565575
108,2762.600039998202
109,2714.682653521322
110,2405.8471958198343
111,2537.87342606831
112,4269.941705363277
113,3780.7018192049823
114,3408.7229990236306
115,3117.129211524583
116,2767.988043356473
117,2448.895178748727
118,2304.8710069951553
119,2528.9554559933913
120,2678.8136583376704
121,2607.3596344843445
122,2386.3657845957327
123,2127.7080860214182
124,1889.3578029895532
125,1686.4674570945422
126,1503.9364038909432
127,1345.9717711537605
128,1389.4090811973865
129,1261.704523344798
130,1140.0362600074588
131,1056.6199354638734
132,965.6940431186068
133,909.1745851614398
134,840.5746562306605
135,810.7561730632032
136,854.6581763659275
137,1008.1732050667588
138,928.0599423031449
139,1584.0718124504679
140,1461.5923977037885
141,1382.8625796450135
142,1291.6023704120244
143,1380.306627892906
144,1277.8926093346959
145,1150.849185668756
146,1041.297711539067
147,1181.4578599586298
148,1169.17427779251
149,1221.622285934781
150,1155.815363631766
151,1066.4280958417412
152,1022.1443055507584
153,1677.1914101149803
154,1830.2548975184914
155,1810.2216635045493
156,1675.2445878377948
157,1836.019037674316
158,1634.0625641471206
159,1525.1504095659327
160,1363.8778068219367
161,1299.3521374112797
162,1169.53414332576
163,1072.4170057106219
164,984.1624602209251
165,1272.024464091718
166,1311.287244734214
167,1198.949930926888
168,1386.105218003828
169,1376.9590334378154
170,1276.0340035565703
171,1200.8752607606853
172,1089.2252268490306
173,992.6259754795874
174,1039.4767264038628
175,1069.559008383572
176,1064.3863398947913
177,1026.2425381501218
178,2751.4879272012786
179,2599.6010088727094
180,3640.683380363426
181,3289.121820102507
182,2912.714565251645
183,2765.544209314622
184,2446.0375450374827
185,2210.420519383066
186,2075.297915897107
187,1901.787454384862
188,1710.4026686278462
189,1527.3711163814153
190,1366.0710952413015
191,1231.9891242919728
192,1361.026150611179
193,1222.0292032442915
194,1102.3294201595982
195,1042.6598688917747
196,968.0345351700922
197,1009.7471165865578
198,1909.1525057340484
199,1697.6478577795338
200,1516.0634800902083
201,1472.580203556642
202,1491.008069149677
203,1357.4294055421574
204,1218.8762350642203
205,1138.52855946939
206,1031.396151069141
207,1314.208767477029
208,1200.8488922597867
209,1100.3801204783815
210,1090.0138448428397
211,1175.732953843843
212,1083.2645844776346
213,1019.3699905904184
214,941.8723296307082
215,990.2145337207677
216,906.0812406999567
217,834.9166004084798
218,775.4557469774576
219,737.9837702694571
220,1235.906721586755
221,1136.7485936628575
222,1114.5514751172814
223,1010.7046759236006
224,921.8647963221014
225,855.7316598511826
226,814.5213706707816
227,904.0264678235175
228,893.1678771051169
229,1101.3775581760767
230,1031.3258372133405
231,954.9805293344368
232,1022.7909556237672
233,1067.5862489499145
234,1136.8811933913962
235,1052.381981508646
236,959.8697871694196
237,887.5506025697802
238,836.0232438397139
239,776.5596417251442
240,734.5972855031267
241,738.7067544975201
242,819.1785910971691
243,764.180794615482
244,762.1507789036551
245,729.0263178670347
246,687.7616239184873
247,670.3865818732213
248,638.4491495272373
249,785.7500476563247
250,876.186094430927
251,947.0455391638595
252,985.9549351624477
253,904.2105636917331
254,831.9006036132484
255,783.790046142332
256,858.4495758066604
257,841.5638387489034
258,951.6222411282455
259,1016.3245971171418
260,1011.6363106288771
261,923.1675220132654
262,867.8706697007013
263,915.8027684741478
264,864.6728806432375
265,800.6426462430242
266,751.6496625942752
267,710.5264992910435
268,670.4623099146689
269,927.2449821238158
270,1619.4546407464113
271,2029.7838568125092
272,1883.8662944413638
273,1676.6870485750603
274,2063.768493059462
275,1833.6187504412462
276,1660.3374146271772
277,1820.8678766331966
278,1620.7929225608493
279,1449.4922045158687
280,1352.0066829055345
281,1272.016503322131
282,1147.3338416435304
283,1051.6687426961591
284,971.0390798266386
285,913.989149416628
286,839.9970881643726
287,879.5000433181493
288,828.0375660168917
289,768.6612686842604
290,718.9844100066365
291,681.154569536142
292,678.4265374140251
293,747.5150854139631
294,1068.5696492794305
295,973.8906152017253
296,916.756274387316
297,870.8560426017914
298,888.0019149155137
299,1318.038426834175
300,1262.6222604336667
301,1181.68981863133
302,1497.1852660319519
303,1529.403771196706
304,1448.2808246741106
305,1303.7868843764356
306,1284.6015758010199
307,1156.1351537487
308,1126.9161168483097
309,1030.2924596978369
310,1038.6680368228363
311,1029.5420275223858
312,937.8489429853287
313,896.2131198659181
314,907.102708542629
315,1162.5116577545436
316,1092.9283393767462
317,1027.0032105256632
318,1130.911760190276
319,1209.3182877838876
320,1126.0413032530807
321,1024.970169279492
322,947.8349895819301
323,927.2563665771879
324,967.2590108286771
325,1363.6318873107944
326,1225.1225642074855
327,1105.7063725389964
328,1051.2681038726541
329,975.9563009531835
330,911.3493826639489
331,967.5666886945758
332,1145.05557571054
333,1184.8326435197657
334,1121.0127252285472
335,1025.743716302251
336,1319.7075086930624
337,1195.4801122069412
338,1079.6144511922307
339,991.1019576800071
340,1001.219008266598
341,927.4645805295593
342,940.2960930761561
343,871.553551791821
344,926.2758603519441
345,928.0864483262043
346,1077.0672673870079
347,1104.44424153967
348,1009.6834601428623
349,1060.2496609272273
350,1087.8934114744634
351,998.3209820784361
352,1177.6647582590438
353,1322.4095463936633
354,1903.8622336506103
355,1699.8490566370165
356,1590.7440829320574
357,1844.611301627041
358,2479.3576879953
359,2321.2578719019884
360,2205.560129675795
361,2347.863823548169
362,2123.0265750847666
363,1976.2565540691285
364,1758.867661524669
365,2327.4678249683284
366,2088.3611808062838
367,2490.0824320143747
368,2252.8098305358226
369,2030.2211450000746
370,2210.0933335653117
371,1982.6449854174912
372,2241.1057838039733
373,2417.125094442145
374,2522.0257931586343
375,2614.6066109796807
376,2314.0269133793745
377,2148.8015374212328
378,2100.4114223160705
379,2026.6528959360178
380,1961.170716013214
381,2185.4906195260596
382,3800.7297577826735
383,3723.478415693201
384,3328.258369368942
385,3166.896364386035
386,3107.295698246974
387,2975.1869773580283
388,2682.125679757966
389,2505.1782083687012
390,2264.1721078749265
391,2223.174435003732
392,2130.0663519213285
393,2260.5949097897733
394,2046.47044337135
395,1923.2973294319845
396,2444.1957386245363
397,2199.2345777784712
398,2598.226975138782
399,3002.856563996867
400,2674.697625893401
401,3024.350053745652
402,3484.5879219370913
403,3256.0781441803288
404,3291.5548717092643
405,3922.0847911079363
