,cond_vol
0,-10213.547382848765
1,-10414.149934826017
2,-9848.846583247449
3,-9565.623400415381
4,-9860.605234659222
5,-9398.886384373078
6,-9808.63017381084
7,-8718.321562669167
8,-9166.447210247645
9,-9208.190239979169
10,-9495.983175479983
11,-9187.383257903706
12,-9751.738649877094
13,-9471.587678416028
14,-8970.991774293183
15,-9711.723556006214
16,-8932.770988484692
17,-8950.383052657102
18,-8880.235748891693
19,-8962.308990313139
20,-9870.177914006412
21,-9249.5036539564
22,-9090.977657589385
23,-10057.314549028468
24,-8837.778503057772
25,-9851.183324261588
26,-8779.65582086533
27,-9392.354927644012
28,-9129.759706599902
29,-9860.038848132554
30,-9818.131965020051
31,-9414.19642336608
32,-9213.271255627962
33,-8078.785860354828
34,-9415.643532806647
35,-9324.670521677815
36,-8792.502053130425
37,-9052.114274318837
38,-9349.369743578802
39,-8540.084705670153
40,-8746.42074931489
41,-9434.756216600194
42,-9233.290334181658
43,-9820.255779670071
44,-9724.680845908419
45,-9140.986451269067
46,-9248.79523422167
47,-9633.847845401864
48,-9264.661833483853
49,-9869.295981117244
50,-9844.319581018726
51,-9514.85236667441
52,-9241.937408989903
53,-9652.315752302235
54,-9593.320561046126
55,-9658.153343831098
56,-9782.373162623271
57,-9361.316096018969
58,-9654.31032403632
59,-9582.927303101324
60,-9494.119823132785
61,-9043.029735313445
62,-9963.687544614957
63,-9186.508388408618
64,-8734.497108198446
65,-9204.481478439991
66,-9666.114302980415
67,-8123.24963508567
68,-9327.7791138452
69,-9588.071580290285
70,-8692.730734410665
71,-9401.575703044766
72,-9001.870402610262
73,-9079.11137023115
74,-9336.739282273491
75,-9730.590294746124
76,-9252.967903875538
77,-9956.108500892307
78,-9253.236110511625
79,-9489.08644186436
80,-9304.539927875148
81,-9244.235789622802
82,-8726.827635045991
83,-9403.447293005498
84,-9215.548654629121
85,-9099.8146178254
86,-10002.121901875684
87,-9237.783716909224
88,-9411.839946424769
89,-9435.80394589054
90,-9075.847521667509
91,-10156.520733781268
92,-10609.108887927221
93,-9246.116272858604
94,-9922.34930092313
95,-9213.385805558959
96,-9407.41689239497
97,-9247.577752719704
98,-9727.363049262289
99,-9438.337108883456
100,-9350.813166573344
101,-8934.855910728304
102,-10130.238949686784
103,-9380.518605478264
104,-8987.86970126142
105,-9168.556886975979
106,-9221.31641975374
107,-9219.554579333264
108,-9241.642990521917
109,-8860.443987496395
110,-9603.651203033178
111,-9742.008759488492
112,-9934.376366291537
113,-8817.384228952315
114,-9022.813249454277
115,-10440.929083775123
116,-9999.962585715235
117,-9659.377036016807
118,-8844.071791598955
119,-8903.538029786974
120,-9650.078555741897
121,-8980.763466195325
122,-8815.118131532583
123,-9222.01199764893
124,-9587.40234223978
125,-8837.056938093492
126,-9425.216632598385
127,-8921.405945872493
128,-9070.073391673144
129,-9465.986570321144
130,-9378.127141258583
131,-9066.342768001077
132,-9002.293229082348
133,-9266.8402483225
134,-8805.838980471806
135,-8619.972453518594
136,-9774.029472421831
137,-9426.305348226417
138,-9205.405905279422
139,-9151.139364443015
140,-9544.926049934335
141,-8808.532269850186
142,-9422.607347956524
143,-8989.915816066317
144,-8632.790314996388
145,-9450.385944261088
146,-8986.24596775203
147,-9092.661673435017
148,-9325.289783525033
149,-9191.591485130462
150,-9521.411214979498
151,-9161.62080755845
152,-9320.510119933739
153,-9655.941624634916
154,-9532.05701538941
155,-8867.037334918818
156,-9326.814876367773
157,-9126.871267834014
158,-9334.921356020252
159,-9039.145270574449
160,-8760.184828401158
161,-9345.185235277713
162,-9556.715793576652
163,-9061.028231691851
164,-9540.950158498948
165,-9222.625013206343
166,-9257.020982130492
167,-9518.622671914989
168,-9083.773705212117
169,-9506.080792351782
170,-9503.596427510365
171,-9237.152266128094
172,-9357.129998413266
173,-8976.56105910241
174,-9425.10789006924
175,-9230.294565402815
176,-8785.55285549836
177,-9277.088286824934
178,-8891.476375291913
179,-9556.69595024692
180,-9251.485973259398
181,-9470.334613594001
182,-8780.315150922863
183,-9476.526344709966
184,-9182.561952926155
185,-9289.43619273148
186,-9178.59805083334
187,-9805.786509187565
188,-9456.90429048863
189,-9639.773468248733
190,-8897.94283006605
191,-9647.699502928768
192,-9099.372761793375
193,-9139.86100519068
194,-9339.30655276151
195,-9970.889384458136
196,-9601.508675132998
197,-9012.819758322079
198,-9501.639411385466
199,-9258.578139869462
200,-9954.40808364377
201,-9180.63220510237
202,-9552.985814281676
203,-9359.0668870261
204,-8995.363058317518
205,-9468.94582419044
206,-9624.328176328441
207,-9424.022713139193
208,-9055.169938640143
209,-8696.5056095648
210,-9228.754221998686
211,-8622.841021759463
212,-9224.973901465779
213,-9504.316237224473
214,-9511.507859772235
215,-9918.608493120759
216,-8981.862794980894
217,-9704.000547742458
218,-9219.751325973284
219,-9142.11876138227
220,-9351.790702224629
221,-9189.016948382217
222,-8894.24428399996
223,-8967.154387305949
224,-9631.159232840551
225,-9661.132402560568
226,-9160.567325261298
227,-9589.652029921093
228,-9311.02023313141
229,-9451.918413212323
230,-9241.285742923235
231,-9725.703108281947
232,-9331.625034235405
233,-9418.958517088024
234,-9577.906003722355
235,-9475.006512640926
236,-9398.220911767066
237,-8974.372851695083
238,-9481.973496067705
239,-9165.098520815416
240,-8751.927903558997
241,-9088.429505896382
242,-9248.80828083896
243,-9436.705544166698
244,-9520.32199641278
245,-9693.189323254572
246,-10352.502450534043
247,-9501.127781071527
248,-9477.637639054641
249,-9245.539829220323
250,-9155.055252658773
251,-9174.911212684645
252,-9160.48769238804
253,-8731.33976339629
254,-9042.698629223343
255,-9813.37855880207
256,-9893.066154131988
257,-8999.253090829337
258,-9643.719490343132
259,-9559.856684477101
260,-8836.733233324609
261,-9731.73624612235
262,-9854.676899392307
263,-10097.342125031842
264,-8712.960940450499
265,-10008.67823733337
266,-9998.991582084838
267,-9226.405888197034
268,-9252.785520470756
269,-9781.598106629996
270,-9079.14827520524
271,-8503.871739428814
272,-9882.831102907092
273,-9095.517865785043
274,-10298.159350649228
275,-8156.4022369907625
276,-9567.383926697323
277,-10114.30733717622
278,-9513.608481911653
279,-9534.311627563653
280,-9146.16569261451
281,-9498.924935045627
282,-9301.813977541964
283,-8776.394435222748
284,-9091.608188877472
285,-9791.20001316645
286,-9486.887284721588
287,-8369.798419362676
288,-8374.366457492322
289,-9657.904872993895
290,-9515.508115374589
291,-8986.13546796387
292,-9046.62844012576
293,-9119.446024531604
294,-10048.431671673163
295,-10210.520932374855
296,-9472.435295155236
297,-8565.007600043828
298,-10082.448141979034
299,-8425.982019006004
300,-9413.47878267304
301,-9632.363404369402
302,-9033.893212461146
303,-8378.98772992382
304,-8675.545865391352
305,-8642.55312272386
306,-9133.779496018687
307,-8908.693141237554
308,-9457.690512090578
309,-9472.272189157058
310,-8450.07914620371
311,-9121.054264597722
312,-8703.802131948363
313,-8525.723498993033
314,-9177.184527086138
315,-9270.714350481278
316,-9184.193920380787
317,-9886.093937999105
318,-9838.152891697395
319,-9199.351023888661
320,-8780.792514995299
321,-9929.719599135202
322,-9775.667227493865
323,-9626.8245663041
324,-9075.781976057639
325,-9158.955654267578
326,-8825.762793118127
327,-8822.115139433066
328,-8819.732081452525
329,-9348.013382018651
330,-9678.186978971205
331,-9259.013804779503
332,-9112.210905538726
333,-8778.590381922375
334,-9170.983963912897
335,-9449.92384249059
336,-9805.367778618129
337,-9511.9243720327
338,-9546.804803049108
339,-9758.369630176956
340,-9500.742039305853
341,-9005.548997370322
342,-9505.989264179978
343,-10208.198946964947
344,-9249.560556522556
345,-9864.743776389141
346,-9318.222216471719
347,-9077.14115503686
348,-9863.545346825045
349,-9003.272945820432
350,-10047.876650667578
351,-8658.920672107606
352,-9051.896990161977
353,-9874.607472372018
354,-8885.568530476581
355,-9235.521597735793
356,-8975.14869678189
357,-9945.634220247308
358,-8853.69158458957
359,-9501.746723268192
360,-8681.270177971142
361,-9017.187818837534
362,-9234.491229139572
363,-8849.33329502124
364,-9429.02182559577
365,-8809.691877631054
366,-10409.564094092724
367,-9367.581673428056
368,-9407.995271682654
369,-9541.081537451942
370,-9578.389988278728
371,-9246.264576285033
372,-9550.966988789318
373,-10734.55378906253
374,-9575.450109783866
375,-8921.87998781926
376,-9545.762317979725
377,-9660.05762905931
378,-9603.21463700266
379,-9197.449963094325
380,-9064.437536031628
381,-9851.077993024981
382,-10570.411008352716
383,-9646.119624347857
384,-8612.715478695418
385,-9829.39706963585
386,-9606.940939852955
387,-9505.237680452025
388,-9651.115185967572
389,-9565.856681314614
390,-9542.359074266165
391,-9679.981251472338
392,-9400.991031871943
393,-9567.908966382956
394,-9234.236006301402
395,-9203.08766842649
396,-9930.685005863697
397,-9580.777943349265
398,-9057.871512310936
399,-9699.061263675287
400,-9559.915365412913
401,-9605.456520890764
402,-9127.996963556463
403,-9691.603144905488
404,-8810.572283994032
405,-9774.960474193937
406,-9111.820847652554
