,cond_vol
0,-367.5951033347132
1,-281.4456818194201
2,66.54247263845559
3,-638.7339287216433
4,-174.94267158037437
5,-607.7864696717467
6,-617.2190530671604
7,1466.7027542821204
8,-559.2617891006423
9,-126.5269905001395
10,372.2958349765195
11,-154.24490034282556
12,-1229.9681654787191
13,-995.8342230395991
14,1190.9772991539692
15,-311.3414414666777
16,-1826.50829952051
17,61.908802326185814
18,-601.6737775621294
19,-697.8128473029735
20,-1167.8903184403598
21,1633.2474385436867
22,2632.0828712455327
23,-539.8714099996404
24,-163.69229385820128
25,-220.94266931004486
26,-781.9594337269181
27,42.04384147123113
28,594.7515812909098
29,-247.20301565136063
30,465.1785586141661
31,585.2801216874451
32,907.987890997536
33,-80.45648119792777
34,-385.65188512257816
35,-190.6293482085534
36,-20.0508015691081
37,-1226.3990473441793
38,-2388.5691628048185
39,-2605.6300375315477
40,26.794892659298444
41,-131.38492174807888
42,-840.8429911136467
43,1920.9311076349516
44,-473.7160108502022
45,-521.7626648647832
46,-733.9654370608073
47,1199.4543423780945
48,1291.8690279981708
49,-544.0969376670117
50,384.5516405422823
51,522.0104912306615
52,-1846.3261322250528
53,-2001.9504019663368
54,-1603.1625026906092
55,2262.8744913627925
56,252.4835997581357
57,285.5744788133073
58,-213.99148652878867
59,-473.0839852368687
60,2475.9886539447066
61,-1236.7114681711678
62,304.4062817956063
63,2479.9841195477243
64,-366.2069623514303
65,-108.03755095843633
66,-314.89941621954154
67,-1005.1637604341146
68,-195.8509997363383
69,1045.8964242936813
70,-268.46131597997453
71,23.384233786812537
72,-1172.41336507995
73,-2144.897779889527
74,883.6466853324688
75,-1320.9314810298254
76,-472.29537205536894
77,-381.9072689962159
78,1636.1629181146889
79,-1401.8657440824645
80,724.0255947973052
81,-2901.998531766928
82,1881.4644353373603
83,3044.24123670962
84,416.11282113146245
85,493.54689606654654
86,160.64943179358914
87,1189.5458866671597
88,-807.0739812687648
89,2750.2065871823334
90,-623.623961549409
91,-234.47665994201992
92,-395.9374710163602
93,-162.05740212481285
94,-921.5189133206852
95,-494.6957557910623
96,-2568.6996690448545
97,-2929.7464804847464
98,-1741.4642686797113
99,88.3977919368157
100,1879.8612923021242
101,-2049.2069831274316
102,-384.33530205961415
103,-2600.67776846747
104,1701.087151699709
105,-1851.6467582709388
106,8227.850787903852
107,-2058.1500806327804
108,3356.033368465976
109,-970.4148387053507
110,-776.3361700197711
111,1343.984517616033
112,-6887.835300045626
113,3254.457784928612
114,-2037.0597011023417
115,1565.696476131115
116,1325.620713591271
117,-3458.1251086661027
118,-1276.2485146261774
119,-141.62764223730005
120,-1963.7758095560043
121,1117.8735499399663
122,602.3284553780543
123,-611.1490951788219
124,927.8202468151106
125,-61.675842976100895
126,-673.8381281108087
127,766.0424254271024
128,-320.5719319574176
129,889.311038304219
130,-706.0320306821548
131,-589.7636189944717
132,-489.48441480891296
133,-6.986540378855549
134,-1748.584483959923
135,189.23686710545215
136,-335.66348218912907
137,-571.531759489756
138,-1582.871846277585
139,-58.170772676858135
140,188.3120124988558
141,1002.1114210594985
142,-320.9353486967174
143,581.1195070707089
144,582.2883230524395
145,-587.2337991013833
146,8.09227858602399
147,-2314.0881224149625
148,-1730.260630536816
149,275.6040284238176
150,303.5895088913209
151,-380.3575797299133
152,-55.888464133053986
153,2526.379680972149
154,-2794.30518939332
155,617.7010255601735
156,-3373.8654701760393
157,-1518.309892861417
158,581.4558071531594
159,-176.92628719519806
160,-1304.5636482385714
161,2001.7557412358956
162,-1301.606741537166
163,-1511.111589908913
164,60.86597770340088
165,-1512.76680665971
166,1106.8943093388975
167,-166.86402879134158
168,252.12983293594868
169,659.5916015616498
170,1411.5398966889354
171,60.12754368801358
172,-423.42225927626095
173,-713.0941424020045
174,-179.25392277876094
175,575.5887899233385
176,477.94643678599266
177,-1286.477029320819
178,1102.0305819919583
179,-2605.192585927739
180,-2500.467699847313
181,8125.670414032099
182,-1791.9494688874984
183,3483.3083927012453
184,-1393.641951059333
185,1777.8981298456163
186,-139.61216994363352
187,194.11586414956562
188,2482.8557125538237
189,597.8918657497305
190,-479.2252399121909
191,-588.1015595551752
192,-897.1778782785996
193,1594.468298034024
194,885.4018083601807
195,-542.579094158579
196,86.65542897545352
197,1942.0817603177336
198,302.1237410002191
199,-688.8928506348591
200,3042.088781043908
201,402.1853831814238
202,389.9089141832897
203,1874.6695035847654
204,1730.325974773536
205,1262.2506361252754
206,-664.2259768359778
207,-1037.486783940511
208,-642.7447796744175
209,394.8388776328446
210,-901.4719804393146
211,823.4049219924154
212,-1118.2597996385218
213,-139.76112432703093
214,-35.62788067072039
215,698.7063289587455
216,-1013.8003171191115
217,35.82152716727993
218,1101.9982559960267
219,655.4980365591498
220,-2491.044535740836
221,1095.0841398820667
222,1595.364438402903
223,-857.6129019845324
224,-1576.098054162549
225,-554.356973410069
226,425.46703611907554
227,-2205.793755657499
228,-91.19464497230038
229,2488.938440522182
230,-772.6913414103682
231,574.3082622121584
232,832.1567685358781
233,-509.0292656549618
234,-2940.3336958479504
235,551.6437100658522
236,43.60889492466247
237,999.7466715471376
238,-913.5652224333338
239,843.8269200197186
240,531.3753573235691
241,-256.876441194696
242,648.2908359063932
243,-694.8245913222967
244,1120.138402892428
245,726.0226160839006
246,731.2583059269278
247,271.2097781042561
248,-183.21244066560462
249,-1262.3668761583392
250,532.885630823938
251,701.086302601604
252,582.5912907991803
253,-191.54174358592905
254,1433.5598315105242
255,-1063.6218398747628
256,1010.1126993729965
257,135.4257669673829
258,-652.4032450196294
259,-2180.9504952836187
260,-1195.9671804467537
261,-429.4834120864346
262,-339.8265715120529
263,1403.6354575790951
264,2131.3920990614993
265,-346.25170026226533
266,1225.2317058675496
267,-926.5469522244455
268,-185.18600392181966
269,761.6301448250183
270,1802.6762576114243
271,-1479.6660935978311
272,-3058.0469013150464
273,-3255.878145792293
274,-4149.76102462595
275,-1077.445185015179
276,917.6702416019006
277,2466.788449857768
278,314.44275755421984
279,2311.412149668811
280,-1220.8915526396145
281,-688.4841819731489
282,987.2163075814268
283,13.160380907100768
284,-1057.3076168068053
285,-2195.0145707538322
286,108.19060061670754
287,-382.9877695046135
288,37.00756103927879
289,-1425.7052338354586
290,926.0376871287341
291,551.2543478944621
292,-98.29959042158458
293,-1748.5056690039823
294,-372.4411752755455
295,1702.3256726984666
296,852.2868405943271
297,-1039.425096955912
298,577.7219645412016
299,2469.8651960321044
300,1246.7169582747954
301,-551.5423179126518
302,-2146.225698597378
303,320.2611940464752
304,-346.02117427353636
305,1550.2961186997752
306,-2436.7224342699083
307,-1876.9675106827913
308,3521.416935358289
309,799.0275720991451
310,1408.6393182835961
311,1734.8013069716585
312,-1214.554286941778
313,-1280.1341087617245
314,1541.3229822155017
315,-1939.1359879428117
316,1121.9313157214506
317,-329.3053711190535
318,-1191.2971843108785
319,-2871.3473925114818
320,921.3315269055925
321,480.8095562633998
322,117.23848179440671
323,-445.3843787225108
324,-1848.8402757310412
325,1345.5308772434723
326,-1929.6998133777142
327,1349.0307294006182
328,-1246.0270714547808
329,-221.06159274425326
330,-64.35581552014635
331,1057.6804239114724
332,1600.1978742713634
333,553.5153447809269
334,-870.0317059498514
335,846.3778461533059
336,-2049.5976420076186
337,1298.4426112719893
338,1251.0322038313545
339,-986.7064383168813
340,1360.3426777314849
341,-742.7947348650454
342,-1354.9605804029977
343,792.6700469147506
344,1243.1190721921187
345,-759.4770030474593
346,-2507.599667501651
347,-3534.5190024172134
348,2274.6924280752323
349,-294.68902724009115
350,705.4520349936973
351,1730.6990251389932
352,-1079.8720353398314
353,-3112.31848249261
354,-239.67882316681178
355,-93.63963983447623
356,213.55812566098277
357,-1223.4571948769435
358,67.79610107589605
359,-6294.525493931889
360,-801.7385216813492
361,-1311.3986735369176
362,-1166.7256915744117
363,491.527304778815
364,-1211.7760028598332
365,-3871.828482849639
366,-2370.5672416968796
367,220.25930932572626
368,-375.04983631436767
369,-517.8568461665735
370,-1467.2499656420173
371,1668.291760118687
372,3914.6780065238636
373,-5331.326487679735
374,-1623.422109883448
375,-271.31301949656535
376,-1340.0683079349062
377,-2697.9879076000047
378,-559.2622012869022
379,-1715.8952117024187
380,-1903.8287505350854
381,908.0847342332199
382,5844.132850976772
383,1522.1028294909502
384,3212.50123185359
385,-2627.2878589370525
386,1820.1800110538907
387,23.781420728571707
388,-67.75098385387537
389,-35.93545450372502
390,1757.0604182825762
391,-2302.7265306362237
392,-506.56761277318174
393,4390.763977418224
394,-265.3884912043814
395,-1160.776820807284
396,4138.227261723002
397,-2765.024429471304
398,-3515.409961194869
399,5845.308537399762
400,303.59329492494095
401,1425.1250304899124
402,5694.937186954364
403,2171.0467532863395
404,-230.92256637506395
405,533.7172864909497
406,3734.7450645098625
407,-5278.757646624418
408,465.56237525041655
409,-4944.346213126891
410,-614.3612383401113
411,-2860.584600973214
412,4907.537183796775
413,-896.814962602041
414,3187.9913998259435
415,-34.01935035530974
416,-324.2881034026407
417,-302.5608913271553
418,-6040.424487300691
419,3632.1518108562127
420,3263.089346691097
421,809.1230210012448
422,941.3507596121648
423,1106.5048414498633
424,3102.1911126017844
425,708.6356886867771
426,3247.991275964754
427,-3846.41501858765
428,-124.81844712562244
429,-1667.2737410087332
430,678.4258440937218
431,1243.256196261928
432,-965.8536265482611
433,4131.501536474696
434,-578.4577119408639
435,-704.1815575588328
436,-202.53568922293613
437,1402.1448497420843
438,191.90652311460047
439,451.2601806938732
440,2914.8392411228306
