"","x"
"1",5.94266412411557
"2",3.99536650814872
"3",3.15563299665733
"4",2.76392343678469
"5",2.38665758867031
"6",1.90762823616255
"7",-4.8135679381921
"8",-23.277838690855
"9",-1924.51381483051
"10",-661.540881934999
"11",-603.965256548136
"12",-978.935677993868
"13",-231.805567972168
"14",403.360093697744
"15",62.5730109323416
"16",-968.220471736404
"17",-1211.13945503908
"18",-205.448985560805
"19",561.674396397065
"20",1295.01381333016
"21",-74.0016801912368
"22",-1551.60453517859
"23",832.519687279566
"24",-918.025702508738
"25",-170.97964306931
"26",-593.570597173088
"27",-728.677866057154
"28",388.072005529672
"29",389.378026711496
"30",-383.654127731963
"31",-0.452893775344332
"32",-42.5236507546772
"33",-494.542762940673
"34",-603.359739182553
"35",-31.6108202748488
"36",1157.79891040207
"37",-504.035903436067
"38",-3107.4523316137
"39",2709.79933492388
"40",13.1287805313388
"41",116.528161488105
"42",323.543942061353
"43",860.404250383608
"44",-345.547317697117
"45",530.420271494527
"46",825.903299347427
"47",57.1840914006265
"48",466.349291194454
"49",211.887947409411
"50",871.835010022997
"51",-175.912151524284
"52",1561.62235829719
"53",-46.2950937295507
"54",-460.833430926537
"55",-121.171491128262
"56",1133.77071519902
"57",-789.103435998772
"58",-87.1502856553335
"59",296.480474119108
"60",-1566.64449306834
"61",-1113.54693033335
"62",-49.1819594146301
"63",-586.192984856733
"64",-196.313267887774
"65",-2.45733006207239
"66",97.6037134439011
"67",-156.824634591842
"68",-313.824766850905
"69",209.783056877799
"70",76.4524268161954
"71",92.1593634548368
"72",633.409326125452
"73",273.332258104558
"74",363.205890752972
"75",293.868963700788
"76",126.40177220139
"77",-469.68518198598
"78",-1101.76705376713
"79",-367.798412772257
"80",-248.336196059507
"81",-1657.03522529788
"82",-3792.72028252169
"83",-2950.12403623657
"84",-1086.5792637012
"85",669.876941964491
"86",-565.690506588073
"87",-1195.05809230515
"88",-801.977649815686
"89",341.702294126352
"90",-897.351738904704
"91",-705.58185726272
"92",-1472.49468278114
"93",-429.26378261734
"94",510.504112984282
"95",283.520885814065
"96",1301.72698394006
"97",-1103.02885850796
"98",-387.657743028271
"99",1477.64591560923
"100",992.077287072554
"101",-80.3207340106487
"102",1053.74368358649
"103",1708.60245797353
"104",4053.07868305267
"105",4264.98162604288
"106",1353.26448289533
"107",1097.26567716538
"108",3824.20294338089
"109",2491.69860059134
"110",308.423621490717
"111",-2902.48921512185
"112",-7647.90934336629
"113",-707.678721014956
"114",1473.4484110467
"115",1708.4557237804
"116",585.106625409619
"117",-134.128796966535
"118",1643.40032012716
"119",3139.81680817347
"120",3098.15519216095
"121",2289.39598054409
"122",-1282.03070163459
"123",-505.996209833042
"124",143.516370492434
"125",303.587056278345
"126",-41.2966121325308
"127",75.1494822962728
"128",-1442.08836486951
"129",-411.658593915992
"130",-191.021027858444
"131",-477.194443559607
"132",-204.014588109232
"133",-450.973258567648
"134",187.113610466857
"135",-478.562471510213
"136",-850.036988692411
"137",1319.06684674643
"138",263.028818227597
"139",-2812.97737536961
"140",-771.600738107313
"141",940.056388222259
"142",-755.293985957876
"143",-1568.60722710402
"144",-662.166964820301
"145",-71.5125205515374
"146",-0.641216982104935
"147",-1485.67329921325
"148",1004.31307095167
"149",-1290.00559971602
"150",734.312353567481
"151",442.278608269373
"152",684.006355325611
"153",-2937.61171065184
"154",-2221.58507806835
"155",1663.48921105718
"156",964.774817204646
"157",-2247.57964890067
"158",54.8427190420865
"159",-940.579541850152
"160",-9.90544814037263
"161",915.81827179157
"162",-86.0705782761036
"163",-377.913848214184
"164",-292.924099806201
"165",1894.8848683672
"166",1344.94720588353
"167",457.615920621669
"168",1823.3462129514
"169",1245.0187382817
"170",-670.167157358177
"171",737.103576990937
"172",220.736707608207
"173",187.557497377918
"174",1071.6993753536
"175",1050.1667222958
"176",914.265246713712
"177",-721.147651424158
"178",-5450.36312643844
"179",1925.11901250678
"180",-5942.95076398918
"181",1479.18299975096
"182",-451.097423548838
"183",2125.48066044891
"184",-49.0427955160898
"185",925.718468558047
"186",1434.54197544871
"187",993.249696610102
"188",539.373374557539
"189",193.558136965478
"190",58.0264426807297
"191",248.413615494335
"192",1656.19686845046
"193",-23.5983868241906
"194",3.0119629646698
"195",-623.090064418034
"196",402.986520089703
"197",-1021.74054548564
"198",-3522.28362667684
"199",40.5750247175698
"200",184.836757750732
"201",-1209.4794368984
"202",-1466.85071361373
"203",525.451217038527
"204",-3.60947088051863
"205",-621.528860364166
"206",76.677332063424
"207",-1935.82950752073
"208",-450.856679513646
"209",-396.60237112509
"210",-922.496721484162
"211",-1338.13025217312
"212",-443.394662129542
"213",-564.247644797963
"214",-325.199272027461
"215",-1020.95694387403
"216",-116.927171714236
"217",-110.686796421043
"218",-114.896217147024
"219",301.071425183882
"220",-2155.34690553193
"221",474.006096880201
"222",900.780527895874
"223",63.7353222205285
"224",27.9797715335293
"225",263.10753029017
"226",-409.662353043731
"227",-1042.44571294832
"228",-686.719949412238
"229",-1543.01119001061
"230",-539.602604538496
"231",363.055887607698
"232",1117.05913738492
"233",1096.53340033659
"234",1248.31270367626
"235",-461.247934332879
"236",-150.27485132829
"237",263.74132456549
"238",366.961811961198
"239",-120.197870357993
"240",-250.269327586452
"241",-554.421023603736
"242",917.995383170633
"243",-160.133144945252
"244",557.779701419599
"245",-320.38382436022
"246",-114.108736809835
"247",-330.491098346387
"248",69.8292522082526
"249",1038.81719115344
"250",-1012.44094715638
"251",1040.05201067252
"252",-985.613737145006
"253",-166.052109469731
"254",-39.8374168128396
"255",-296.855304624299
"256",948.221537822462
"257",-592.016818040101
"258",1150.91699316204
"259",-1100.60404466476
"260",855.353584211492
"261",-70.5085512796023
"262",-392.15121335742
"263",934.535531162482
"264",-419.216314386788
"265",124.601669733651
"266",211.062320493226
"267",-197.808345407174
"268",17.2362334822715
"269",-1417.88031259472
"270",-2901.87340957007
"271",3001.01747354653
"272",-1152.20813729115
"273",-132.085635982194
"274",2995.83700232948
"275",-144.632849286682
"276",-645.958669625439
"277",2230.84833194705
"278",42.3097758242418
"279",-186.345340368511
"280",-793.972695951963
"281",798.555735856475
"282",-144.084021300134
"283",352.209543460794
"284",351.300617236038
"285",454.692860025939
"286",-23.331333883154
"287",-864.760003531058
"288",352.976301684427
"289",77.2481198290512
"290",-62.4167347751061
"291",151.202312727261
"292",-434.061279608582
"293",798.863198978917
"294",-1698.88131600112
"295",157.751653581936
"296",458.433969150986
"297",-466.199901481972
"298",795.651781025703
"299",2176.66647689329
"300",-918.535258101136
"301",676.414524850826
"302",-2210.55669991301
"303",1554.03649817961
"304",-1004.18472235484
"305",-272.686998817809
"306",1104.74361669135
"307",11.7603438908041
"308",-884.088880909394
"309",-293.564467966586
"310",937.691747199978
"311",-857.900358003581
"312",-24.3089048175419
"313",530.752813021643
"314",794.482566212946
"315",-1705.47496294338
"316",629.378326830578
"317",561.611283614181
"318",-1338.02721229484
"319",1354.1901902423
"320",583.609277142867
"321",-210.777370792354
