"","x"
"1",5.94266405636011
"2",3.99536661723041
"3",3.1556333691268
"4",2.76392442807049
"5",2.38665886560749
"6",1.90762955791916
"7",-4.81356865365949
"8",-23.2778641774349
"9",-1895.50677838171
"10",-707.02530380262
"11",-659.111168775472
"12",-1116.73588381386
"13",-302.819035689912
"14",382.377737364559
"15",156.931364833365
"16",-893.332583331603
"17",-1180.46616298659
"18",-242.410849001204
"19",496.94355687935
"20",1311.89191164067
"21",44.8036421145183
"22",-1427.82418015841
"23",827.707913561571
"24",-916.871518503011
"25",-230.682532459549
"26",-593.606270727757
"27",-774.145629131882
"28",370.390742719975
"29",429.498458024145
"30",-327.809755817026
"31",51.196334586704
"32",-10.8529578332083
"33",-500.255511269446
"34",-604.566903833057
"35",-43.2165113501428
"36",1165.82378370173
"37",-442.314452421531
"38",-3051.92685830722
"39",2635.43098403348
"40",33.3366015319184
"41",103.426267655665
"42",453.954543109078
"43",883.214888560651
"44",-315.655094973227
"45",507.892936667678
"46",821.7019634044
"47",14.8071747937745
"48",431.708301778765
"49",185.678322121506
"50",822.519528245092
"51",-207.291746253253
"52",1476.86480561846
"53",-55.693359319644
"54",-548.704625958769
"55",-194.775374448787
"56",1012.98947791494
"57",-830.235004929162
"58",-164.126862185653
"59",249.474301704382
"60",-1621.94699108427
"61",-1198.33286155469
"62",-117.627227172391
"63",-623.544520366284
"64",-173.363909261635
"65",57.3151132531646
"66",159.486735613093
"67",-79.0378343101269
"68",-261.152010342868
"69",254.799905569609
"70",127.838764430516
"71",144.922326228981
"72",676.076979644819
"73",320.284419669158
"74",387.685384875852
"75",298.598243076275
"76",117.787350896456
"77",-482.326484588025
"78",-1133.16966830205
"79",-438.483246647396
"80",-305.012617467318
"81",-1683.72433909574
"82",-3810.70536735167
"83",-3012.62120648729
"84",-1151.03014438136
"85",693.740823662849
"86",-347.511970162644
"87",-902.162011518476
"88",-538.509293901784
"89",500.305949018082
"90",-707.593671280686
"91",-524.004655576833
"92",-1278.16039931157
"93",-325.211661645079
"94",632.601476141282
"95",418.496636637171
"96",1442.32290990873
"97",-924.641321363145
"98",-304.373917145512
"99",1536.23717666686
"100",1027.36895653512
"101",-3.8822414143163
"102",1096.5319688563
"103",1698.38736671249
"104",3995.04087955604
"105",4305.50215289322
"106",1420.7791066555
"107",1047.12094914971
"108",3605.1952117048
"109",2208.83794617701
"110",11.9329394603834
"111",-3210.36434104083
"112",-8097.32105403733
"113",-1376.06303854564
"114",994.031499308553
"115",1493.49976719211
"116",753.062226643439
"117",44.9886583519761
"118",1711.28315548561
"119",3141.44516193588
"120",3175.40879295019
"121",2405.08691631286
"122",-1200.53619869053
"123",-657.574676058644
"124",-137.409312611241
"125",-35.9708598731163
"126",-290.994206705655
"127",-62.3778670672571
"128",-1529.8026071101
"129",-539.398688092143
"130",-285.506814000698
"131",-571.169358988668
"132",-235.144250178004
"133",-464.413190443612
"134",230.236969734354
"135",-405.892647855914
"136",-792.601469446797
"137",1358.58849344706
"138",321.149570345627
"139",-2751.90782927143
"140",-786.515738757235
"141",951.060636943054
"142",-729.876390790645
"143",-1472.79979297433
"144",-556.85019228829
"145",-41.3448068424171
"146",24.7089334039375
"147",-1392.06885327079
"148",1135.06813558156
"149",-1144.37777456939
"150",781.015858168404
"151",609.464924651463
"152",758.08732215063
"153",-2838.36823182896
"154",-2273.43252583177
"155",1671.36918265428
"156",966.282988053292
"157",-2118.27517147601
"158",203.616846003809
"159",-850.496330937461
"160",-83.9298306474682
"161",941.477968644157
"162",94.9511186798187
"163",-260.871164595976
"164",-230.970542922808
"165",1948.07535273657
"166",1414.8272238154
"167",469.302430316585
"168",1832.12561650156
"169",1334.72196113395
"170",-704.3094190159
"171",612.823661405133
"172",145.233549190271
"173",28.7860781767318
"174",892.550326371017
"175",918.148910235431
"176",912.62324209934
"177",-792.311007339009
"178",-5582.99147788866
"179",1687.50568329364
"180",-6048.46180222914
"181",1151.66650970707
"182",-327.333364845292
"183",2219.25253029172
"184",254.447019557099
"185",1019.07114040496
"186",1710.36126860027
"187",1025.78018486812
"188",602.39447684375
"189",203.719107475391
"190",126.822746457517
"191",142.671440060549
"192",1476.29117778195
"193",14.0119275505647
"194",-131.47411826281
"195",-704.177738821019
"196",247.612790030114
"197",-1006.74212267235
"198",-3643.29466591675
"199",-156.299660555789
"200",195.008766923738
"201",-1281.57274426673
"202",-1385.75061601271
"203",592.470787659471
"204",184.157373083291
"205",-563.197044523726
"206",177.711144989816
"207",-1730.19599501339
"208",-478.414229110808
"209",-358.026240095562
"210",-863.2405910178
"211",-1145.02072496306
"212",-426.45957971992
"213",-505.287987901949
"214",-160.293320480418
"215",-943.386286912316
"216",-38.6172977782046
"217",17.9609006226721
"218",75.0775945067022
"219",371.237720939474
"220",-2063.79481934595
"221",570.537483993751
"222",909.527373687004
"223",97.9113468746774
"224",153.765238796105
"225",419.796141158308
"226",-423.172716599435
"227",-1099.00929102234
"228",-644.054397928006
"229",-1629.03369187588
"230",-613.319778177
"231",378.553832888586
"232",1244.7880555749
"233",1174.65521106877
"234",1315.66130517296
"235",-284.971081625684
"236",-200.537389259409
"237",202.355274620485
"238",302.929250348546
"239",-77.9351074419225
"240",-328.238553888665
"241",-662.826503100844
"242",883.750580114031
"243",-259.107874932496
"244",496.487453508666
"245",-289.286709186565
"246",-72.5155409719243
"247",-392.211103626884
"248",-45.1244928868032
"249",1061.75643290253
"250",-1079.11057434101
"251",993.683490595401
"252",-953.237040471414
"253",-159.957749641879
"254",-86.4506316173051
"255",-402.473728850021
"256",1003.41634473571
"257",-650.182167137221
"258",1142.49643280585
"259",-1058.26255871353
"260",874.770058932315
"261",-85.7421437756914
"262",-499.376812425033
"263",1007.32057945794
"264",-521.487101295919
"265",108.634149484924
"266",182.542719245769
"267",-156.701752619084
"268",-46.6301496278496
"269",-1505.60385061034
"270",-2873.7677797874
"271",2797.39046974519
"272",-1091.29614856936
"273",-147.434833524332
"274",3212.47253744444
"275",-91.2217750233232
"276",-671.133496236435
"277",2312.77177590818
"278",-18.3632667874308
"279",-243.820265305355
"280",-844.93842919992
"281",783.809275824142
"282",-267.674480824848
"283",170.859934235656
"284",398.326862924482
"285",366.550018204756
"286",-56.2789866151043
"287",-944.691708950026
"288",408.006621705172
"289",-19.2810814432598
"290",-203.108649390341
"291",215.604896239986
"292",-481.301569021322
"293",760.533999286019
"294",-1743.46450535808
"295",225.098942419618
"296",421.238362524121
"297",-575.789653961912
"298",897.758079006876
"299",2187.37600760816
"300",-843.813026159596
"301",609.802024902657
"302",-2069.99092956642
"303",1373.1714777623
"304",-1111.87115388378
"305",-286.104186544786
"306",1124.21613906761
"307",-7.96696757968472
"308",-936.538436931411
"309",-212.579572704631
"310",900.721043107737
"311",-966.702493479447
"312",44.2399164105247
"313",577.004195453047
"314",779.415377650395
"315",-1741.45245038058
"316",675.406487920812
"317",583.092605832015
"318",-1481.47071280014
"319",1424.5991994715
"320",652.979231943556
"321",-208.173859999175
"322",-408.657858900073
"323",732.612186948782
"324",966.609252796469
"325",-2323.28833048101
"326",128.335348568335
"327",87.6771046724008
"328",589.676904566763
"329",343.35686532587
"330",508.636533754156
"331",1092.27667853796
"332",-1679.46755744463
"333",-1178.06945245908
"334",670.469491567336
"335",-357.124523452046
"336",-2075.39428397333
"337",-231.591691923069
"338",77.9584314398127
"339",-487.827971898267
"340",1045.21887543565
"341",-167.212412628854
"342",918.857699108191
"343",246.496702208054
"344",1087.20142038332
"345",-659.851192054418
"346",-1597.19830040939
"347",1101.21417717335
"348",276.03210157388
"349",1110.70131377278
"350",1017.37708696816
"351",430.626010742888
"352",-1525.22221992493
"353",-1949.44076052004
"354",3083.76216575689
"355",345.073283342633
"356",1054.26190769657
"357",2482.97440366265
"358",-3810.14384846185
"359",-1734.23525070821
"360",1293.73261926197
"361",-2755.50597507734
"362",-927.91778411449
"363",-1172.0672283668
"364",-307.281666632376
"365",-3525.84176328953
"366",682.112701112512
"367",3456.55022036005
"368",-672.713056297613
"369",-487.468543632909
"370",-2470.61116152761
"371",-716.854862011565
"372",2879.74584862641
"373",-2786.95612773532
"374",-2841.73978412989
"375",3007.11374040024
"376",158.126385508612
"377",-1248.23634656162
"378",-1721.23164898318
"379",1693.09058718584
"380",1654.68766240015
"381",2745.66175456173
"382",-6534.40585107404
"383",3325.73921031712
