"","x"
"1",349.061385868767
"2",83.5488446462661
"3",70.4832744222768
"4",103.208143386581
"5",187.169929299707
"6",207.997859483782
"7",-261.093394770958
"8",-1726.52766091719
"9",172299.033087586
"10",51580.7372920718
"11",-59044.9666854559
"12",39128.2571855581
"13",4146.28526233131
"14",370970.682909244
"15",318692.964449311
"16",20437.6142527243
"17",-18009.995424795
"18",259672.771365914
"19",109773.82416437
"20",-185658.471472913
"21",-516201.824790404
"22",-928679.621561991
"23",-172920.799777366
"24",9366.47919877727
"25",73466.467542663
"26",-3302.19004864148
"27",-63140.0995925954
"28",193354.556483327
"29",385290.688748708
"30",349709.016590358
"31",204442.24857499
"32",-331595.671338459
"33",-170130.188876399
"34",-130424.675246165
"35",-42845.9160319658
"36",-70115.4037987668
"37",-63520.8300075368
"38",-265826.477793827
"39",-120164.345004706
"40",-92859.1915619113
"41",-92412.6136036178
"42",-34275.1196819437
"43",-55453.4631662038
"44",-1246.67476182815
"45",-91446.0468000063
"46",-134594.905653836
"47",135661.643526663
"48",-6608.06919869948
"49",-320006.915021522
"50",-67787.6720983561
"51",57354.2121078386
"52",-110225.935266751
"53",-185355.403790778
"54",-109523.529294687
"55",-21187.3397851998
"56",29407.3337960795
"57",-140079.74489838
"58",114658.48917357
"59",-175140.996976702
"60",105681.675776078
"61",5980.19352782708
"62",85033.0888400069
"63",-329045.084834984
"64",-191128.821513668
"65",129071.760547878
"66",95344.6240748939
"67",-249330.938350871
"68",1799.56787392182
"69",-142375.548537999
"70",50402.935504782
"71",125212.847500888
"72",-33408.1420330667
"73",-35511.2038012984
"74",-43718.5869330789
"75",196085.500580156
"76",128654.256325349
"77",77908.9033824238
"78",223962.787707243
"79",91733.3961259552
"80",-120461.275719928
"81",49798.100930199
"82",-55490.013873386
"83",-21034.9034676439
"84",116648.043948002
"85",103604.821858728
"86",70994.2380430939
"87",-131717.295191774
"88",-660865.854547541
"89",188454.482518861
"90",-763297.774742209
"91",261690.42857858
"92",-111585.360326027
"93",313206.376701275
"94",-15693.4019128531
"95",161815.46145331
"96",151530.699250255
"97",109787.047253103
"98",68763.2568642513
"99",5680.89049759493
"100",-44152.8407816691
"101",-2660.21909830855
"102",171694.507511283
"103",-54293.3006007069
"104",-22112.6926952804
"105",-102770.950560043
"106",37095.5643469097
"107",-184526.620647341
"108",-425624.824662779
"109",2932.96851618276
"110",-31175.9387670793
"111",-124137.817307078
"112",-130144.748126659
"113",91690.7139940496
"114",-14550.1494651792
"115",-40644.9349756454
"116",26793.300477563
"117",-248430.841569909
"118",-21469.3618694475
"119",-39524.5338586913
"120",-71537.8428208395
"121",-159261.727275441
"122",-22932.6531844494
"123",-48824.6527895986
"124",-38997.9302949279
"125",-91065.8730255597
"126",27869.9452131297
"127",10203.3162752791
"128",-16202.676009303
"129",54598.7934627435
"130",-222254.597874863
"131",46712.3358322005
"132",87262.2966969586
"133",35136.7605186954
"134",26203.68239412
"135",6832.32173477793
"136",-47155.4806245424
"137",-112351.244072304
"138",-110848.706180719
"139",-162085.135617621
"140",-34820.563192903
"141",50476.6152839421
"142",112663.421016352
"143",139435.743451096
"144",147675.997904042
"145",-81381.7444695008
"146",-16052.2754997469
"147",13982.2196053234
"148",33662.9208517139
"149",-48918.0419861062
"150",-32535.4562275939
"151",-72999.9306810666
"152",71934.018824013
"153",-38663.8515643853
"154",80724.3905185517
"155",-43692.0744514384
"156",-29952.6153433272
"157",-46686.0097707408
"158",3858.64624916166
"159",90560.528443766
"160",-127122.248578103
