"","x"
"1",5509.9165870958
"2",1096.40231000425
"3",1010.99638812831
"4",1709.0859738882
"5",3402.39393348775
"6",3875.50993564568
"7",-4189.79508798951
"8",-27590.52913273
"9",3299995.43565145
"10",1030475.98554215
"11",-1145034.58238242
"12",863767.376670634
"13",158503.176438994
"14",7918904.79290793
"15",7216076.29575251
"16",394261.121731178
"17",-336091.914120306
"18",6011101.46223391
"19",3134083.98674596
"20",-4116561.04801399
"21",-11523613.8622966
"22",-19499622.2811719
"23",-4330418.0985074
"24",-257462.129765332
"25",1120927.18746217
"26",-235732.900704485
"27",-1381080.06793914
"28",4295115.14495513
"29",8243966.01142456
"30",8373906.24641535
"31",5076152.71730754
"32",-7666118.39588347
"33",-3649590.49214199
"34",-2893529.20735386
"35",-893289.502337365
"36",-2081594.46086134
"37",-1388506.12482484
"38",-6025260.37802618
"39",-2657242.60708845
"40",-2004926.76577753
"41",-1975312.63352766
"42",-725429.600724363
"43",-1617949.66810435
"44",10134.8075430487
"45",-2028667.17953051
"46",-2948666.17374549
"47",3260533.0323326
"48",-25736.3116439941
"49",-7101393.08273972
"50",-1823299.92329635
"51",1242115.52664092
"52",-2465900.74694756
"53",-4043405.66031002
"54",-2481539.29020978
"55",-369035.983182332
"56",661790.51458282
"57",-3289408.36972241
"58",2503287.15285608
"59",-3844664.36148996
"60",2368372.28334442
"61",205306.845275405
"62",2032681.90976965
"63",-7149522.24068291
"64",-4183421.41107691
"65",2571089.94954286
"66",2131046.32458784
"67",-5407798.58004293
"68",-74922.5186616632
"69",-3004752.83057519
"70",1088038.78761698
"71",2493615.9422174
"72",-707668.350773899
"73",-755484.144211668
"74",-897095.216991956
"75",4403336.60736724
"76",3003262.93919887
"77",1764191.07457712
"78",4899623.61168662
"79",2331262.59583764
"80",-2727801.44300005
"81",1180278.6188169
"82",-1077019.14019596
"83",-406512.09715081
"84",2712622.5672437
"85",2201468.43603263
"86",1908314.78642798
"87",-3050339.16039925
"88",-14412445.808072
"89",3853077.80800897
"90",-16407079.5730332
"91",5242342.42668061
"92",-2728004.89754237
"93",6887252.5003959
"94",-427801.763968553
"95",3527741.4792546
"96",3728541.76122091
"97",2418957.50588087
"98",1691117.45545422
"99",-65130.0801320931
"100",-811175.62968074
"101",-36872.165912123
"102",3938455.6873866
"103",-924866.563310964
"104",-611453.590762584
"105",-2290746.94512484
"106",650591.445778716
"107",-4117143.90624265
"108",-9537671.7463838
"109",-103204.513447131
"110",-706764.707431309
"111",-2893901.53919779
"112",-2862261.05844379
"113",1806154.63353069
"114",-301843.667790746
"115",-956078.125714567
"116",569616.140538024
"117",-5529572.72286118
"118",-470429.778927705
"119",-858978.475123536
"120",-1663258.07521274
"121",-3543531.7221544
"122",-498638.558272889
"123",-1036525.45428123
"124",-1008376.94635289
"125",-1892903.66640124
"126",613502.448990917
"127",129260.122938394
"128",-449368.786806396
"129",1202274.65542698
"130",-4564001.91462995
"131",720493.705099218
"132",1930069.63807353
"133",780377.250941991
"134",504923.684938948
"135",85123.861385947
"136",-972778.126471948
"137",-2304822.28951592
"138",-2578932.48535127
"139",-3230784.93398125
"140",-712076.16846124
"141",956141.683113286
"142",2237427.4221138
"143",3008283.94200506
"144",3144817.68331768
"145",-1828086.52534729
"146",-301810.861669419
"147",348598.438567791
"148",674007.851483819
"149",-1098225.56442704
"150",-645920.562457095
"151",-1499926.99028317
"152",1393878.53152201
"153",-807193.07834568
"154",1769340.63976278
"155",-970587.375966536
"156",-708613.739787255
"157",-953271.080367207
"158",94821.4944170316
"159",1873182.28129871
"160",-2707344.66642959
"161",3082256.31710338
"162",-2844793.02639733
"163",-543924.626976034
"164",-426561.577772571
"165",-631695.072853315
"166",1796463.07477328
"167",-1709356.24600822
"168",3424776.39154635
"169",-3043205.75161189
"170",2052983.56541643
"171",-788170.229104055
"172",-719529.860258429
"173",1702903.0578797
"174",-1516043.00641402
"175",827987.562126154
"176",130401.482383193
"177",-939739.579945259
"178",15239.3939534993
"179",-3368199.56401709
"180",-6979626.6385995
"181",7006190.93077682
"182",-3219609.49506709
"183",1105011.01820299
"184",6948776.16314294
"185",-804008.310708203
"186",-1091627.07791905
"187",4882131.79581349
"188",-911259.175274887
"189",-79652.659361511
"190",-2595442.16378907
"191",1530512.97766122
"192",-1099240.76150864
"193",654413.157902501
"194",215131.564863839
"195",983136.122642206
"196",-90569.3477364568
"197",-2315948.69034561
"198",648556.771756425
"199",-267319.107810203
"200",-324788.856956581
"201",1318.23442641993
"202",-1161734.55661144
"203",2277521.00353673
"204",-4490191.35011653
"205",648266.106694904
"206",628584.970695954
"207",-1100657.38230411
"208",1939117.27728605
"209",5583938.50385683
"210",-2444168.17635587
"211",1904175.42306384
"212",-6448289.62453684
"213",4339933.32804497
"214",-3870255.90970949
"215",-281896.472578232
"216",2527595.68522332
"217",103317.953754355
"218",-2124879.85382264
"219",-990612.321285216
"220",2361318.59824308
"221",-2607435.92958483
"222",75588.1311911412
"223",1277569.52679866
"224",2270037.07550712
"225",-4446017.83825974
"226",1676178.6376667
"227",988881.835825505
"228",-3372512.28902445
"229",3494354.40275722
"230",1090863.61655024
"231",-29780.9108980654
"232",-1338732.07115998
"233",1532847.4913891
"234",2434221.05757172
"235",-6002644.78980915
"236",323945.496962474
"237",-327021.337647144
"238",2098046.41189343
"239",473311.289698224
"240",1238977.38383014
