"date.range","brgkt","tiba","passenger"
2023-01-01,4521,5772,10293
2023-01-02,5283,6737,12020
2023-01-03,5352,7307,12659
2023-01-04,5989,7137,13126
2023-01-05,5884,7443,13327
2023-01-06,6299,6943,13242
2023-01-07,6002,6801,12803
2023-01-08,6354,7200,13554
2023-01-09,5380,7035,12415
2023-01-10,5660,7112,12772
2023-01-11,5878,7078,12956
2023-01-12,5630,6642,12272
2023-01-13,6313,6126,12439
2023-01-14,6148,6592,12740
2023-01-15,6292,6752,13044
2023-01-16,5512,6621,12133
2023-01-17,5188,6330,11518
2023-01-18,5894,6344,12238
2023-01-19,6453,6580,13033
2023-01-20,7702,6803,14505
2023-01-21,6865,6747,13612
2023-01-22,5755,5922,11677
2023-01-23,5831,7154,12985
2023-01-24,5437,6532,11969
2023-01-25,6355,6184,12539
2023-01-26,6175,5996,12171
2023-01-27,6493,5668,12161
2023-01-28,6374,6222,12596
2023-01-29,5764,6791,12555
2023-01-30,5300,6963,12263
2023-01-31,5790,6394,12184
2023-02-01,6126,6532,12658
2023-02-02,6204,5917,12121
2023-02-03,6403,5615,12018
2023-02-04,6010,6072,12082
2023-02-05,6303,6783,13086
2023-02-06,5823,6501,12324
2023-02-07,4358,4514,8872
2023-02-08,6570,6882,13452
2023-02-09,6790,6069,12859
2023-02-10,7166,5832,12998
2023-02-11,7166,5832,12998
2023-02-12,6792,6767,13559
2023-02-13,6057,6695,12752
2023-02-14,5962,6552,12514
2023-02-15,7170,7160,14330
2023-02-16,7140,6597,13737
2023-02-17,7705,6518,14223
2023-02-18,7315,6685,14000
2023-02-19,6951,7716,14667
2023-02-20,6230,7678,13908
2023-02-21,6725,8015,14740
2023-02-22,7459,7848,15307
2023-02-23,7299,6948,14247
2023-02-24,7718,6699,14417
2023-02-25,8149,7346,15495
2023-02-26,7459,6892,14351
2023-02-27,7220,6923,14143
2023-02-28,7080,7002,14082
2023-03-01,7000,6576,13576
2023-03-02,6561,6044,12605
2023-03-03,7210,6293,13503
2023-03-04,6619,6636,13255
2023-03-05,6679,6681,13360
2023-03-06,6231,7169,13400
2023-03-07,6465,6760,13225
2023-03-08,7095,6973,14068
2023-03-09,6874,6490,13364
2023-03-10,7455,6610,14065
2023-03-11,7263,6847,14110
2023-03-12,7144,6965,14109
2023-03-13,7138,7378,14516
2023-03-14,7062,7093,14155
2023-03-15,7859,7401,15260
2023-03-16,7575,7256,14831
2023-03-17,7967,7136,15103
2023-03-18,7228,7216,14444
2023-03-19,6406,6957,13363
2023-03-20,6359,6961,13320
2023-03-21,6758,6294,13052
2023-03-22,6404,6206,12610
2023-03-23,4694,4328,9022
2023-03-24,4133,4036,8169
2023-03-25,4439,4511,8950
2023-03-26,5278,5552,10830
2023-03-27,5034,5508,10542
2023-03-28,4731,4640,9371
2023-03-29,5134,4907,10041
2023-03-30,5500,4720,10220
2023-03-31,5180,4539,9719
2023-04-01,4917,4498,9415
2023-04-02,4189,4226,8415
2023-04-03,4151,4468,8619
2023-04-04,4738,4494,9232
2023-04-05,5515,4896,10411
2023-04-06,6257,4708,10965
2023-04-07,5134,4363,9497
2023-04-08,4956,4275,9231
2023-04-09,5453,5432,10885
2023-04-10,5851,5488,11339
2023-04-11,5516,4809,10325
2023-04-12,6565,5427,11992
2023-04-13,7383,5239,12622
2023-04-14,9547,6314,15861
2023-04-15,10906,7272,18178
2023-04-16,10741,6359,17100
2023-04-17,11050,5371,16421
2023-04-18,12021,6612,18633
2023-04-19,12388,7655,20043
2023-04-20,11618,6345,17963
2023-04-21,10021,4271,14292
2023-04-22,5159,2139,7298
2023-04-23,5808,3904,9712
2023-04-24,7209,5658,12867
2023-04-25,7411,7303,14714
2023-04-26,7538,8245,15783
2023-04-27,6954,7631,14585
2023-04-28,7420,8629,16049
2023-04-29,8118,9968,18086
2023-04-30,8970,10929,19899
2023-05-01,9472,11004,20476
2023-05-02,7850,9545,17395
2023-05-03,7657,9824,17481
2023-05-04,7515,9460,16975
2023-05-05,7646,9679,17325
2023-05-06,7336,9572,16908
2023-05-07,7525,9732,17257
2023-05-08,6769,9168,15937
2023-05-09,6509,9261,15770
2023-05-10,7562,9320,16882
2023-05-11,6471,9551,16022
