"","tanggal","brgkt","tiba"
"1",2019-05-28,9285,5755
"2",2019-05-29,9985,6983
"3",2019-05-30,10636,7614
"4",2019-05-31,10708,7319
"5",2019-06-01,10697,6777
"6",2019-06-02,10620,5893
"7",2019-06-03,10466,5495
"8",2019-06-04,8365,4174
"9",2019-06-05,7236,2764
"10",2019-06-06,6765,3854
"11",2019-06-07,7407,5941
"12",2019-06-08,8426,8437
"13",2019-06-09,10343,10676
"14",2019-06-10,8639,10092
"15",2019-06-11,7422,9260
"16",2019-06-12,8075,10039
"17",2019-06-13,7283,9077
"18",2019-06-14,7730,10036
"19",2019-06-15,7887,10719
"20",2019-12-18,9664,8516
"21",2019-12-19,9768,8245
"22",2019-12-20,10195,8484
"23",2019-12-21,9773,8221
"24",2019-12-22,10162,8583
"25",2019-12-23,9110,7927
"26",2019-12-24,8466,7231
"27",2019-12-25,8296,7200
"28",2019-12-26,7518,6770
"29",2019-12-27,7398,6278
"30",2019-12-28,7430,7297
"31",2019-12-29,7151,7407
"32",2019-12-30,6250,6562
"33",2019-12-31,6175,6380
"34",2020-01-01,5658,6286
"35",2020-01-02,6442,7416
"36",2020-01-03,6907,8243
"37",2020-01-04,7395,8548
"38",2020-01-05,7774,9464
"39",2020-01-06,6675,9440
"40",2020-01-07,6464,8738
"41",2020-01-08,6542,8985
"42",2020-04-01,2508,2400
"43",2020-04-02,1815,1650
"44",2020-04-03,1636,1369
"45",2020-04-04,1239,1131
"46",2020-04-05,1390,1310
"47",2020-04-06,1060,1056
"48",2020-04-07,1279,1024
"49",2020-04-08,1410,1132
"50",2020-04-09,1374,1186
"51",2020-04-10,1470,1067
"52",2020-04-11,1035,750
"53",2020-04-12,1615,1529
"54",2020-04-13,1101,1003
"55",2020-04-14,949,898
"56",2020-04-15,1880,1541
"57",2020-04-16,1506,1462
"58",2020-04-17,2134,1670
"59",2020-04-18,1515,1153
"60",2020-04-19,2078,1939
"61",2020-04-20,2079,1939
"62",2020-04-21,1382,1025
"63",2020-04-22,2156,1841
"64",2020-04-23,2238,1571
"65",2020-04-24,1900,1192
"66",2020-04-25,0,0
"67",2020-04-26,0,0
"68",2020-04-27,3,3
"69",2020-04-28,18,0
"70",2020-04-29,101,71
"71",2020-04-30,38,29
"72",2020-05-01,11,0
"73",2020-05-02,57,0
"74",2020-05-03,58,49
"75",2020-05-04,109,109
"76",2020-05-05,102,105
"77",2020-05-06,83,156
"78",2020-05-07,50,52
"79",2020-05-08,86,35
"80",2020-05-09,87,94
"81",2020-05-10,84,48
"82",2020-05-11,91,116
"83",2020-05-12,415,407
"84",2020-05-13,268,296
"85",2020-05-14,397,350
"86",2020-05-15,0,400
"87",2020-05-16,311,185
"88",2020-05-17,337,152
"89",2020-05-18,466,346
"90",2020-05-19,612,280
"91",2020-05-20,527,374
"92",2020-05-21,0,368
"93",2020-05-22,685,334
"94",2020-05-23,223,180
"95",2020-05-24,4,4
"96",2020-05-25,74,60
"97",2020-05-26,255,405
"98",2020-05-27,10,0
"99",2020-05-28,217,159
