"","x"
"1",5.43575067876486
"2",1.65634410129562
"3",1.25674350079047
"4",1.47733567228029
"5",2.24495000385725
"6",2.37751412071749
"7",-3.98970561258594
"8",-26.4035767957366
"9",1740.80013127197
"10",554.049091413697
"11",-576.30348342943
"12",293.941496566126
"13",7.3648346699446
"14",3220.66213189943
"15",2678.93530288777
"16",346.404368378733
"17",-118.784400836103
"18",2023.61356952332
"19",640.344417671851
"20",-1465.8152941409
"21",-4200.19349773738
"22",-8637.11455428671
"23",-1587.24438640016
"24",133.68080201261
"25",726.631544989582
"26",-23.2651074620017
"27",-607.469278330544
"28",1498.56770327658
"29",3400.69639911788
"30",2685.75426376052
"31",1563.54455686996
"32",-2385.24782099075
"33",-1542.39107931637
"34",-1125.21813400355
"35",-464.537171644837
"36",-313.032351518415
"37",-601.40662569159
"38",-2179.39817030306
"39",-1159.08686922727
"40",-928.020570989881
"41",-929.518428361685
"42",-411.547235103241
"43",-294.950028530374
"44",-113.62854230887
"45",-808.331077319872
"46",-1211.74018227415
"47",848.543221685398
"48",-118.782658556746
"49",-2649.78888716388
"50",-523.959356720165
"51",408.584348703347
"52",-938.823794395829
"53",-1656.44109408461
"54",-1008.45730708047
"55",-345.098158872201
"56",152.43244921222
"57",-1065.07849059301
"58",856.384391336372
"59",-1446.73207105289
"60",718.215956392169
"61",22.5954708706767
"62",578.170245215415
"63",-2745.95150454735
"64",-1771.17663334308
"65",1113.26649620519
"66",755.08627822481
"67",-2117.19502646632
"68",-65.2221500282147
"69",-1277.63008710452
"70",295.272572203629
"71",1179.61122626194
"72",-255.199703179862
"73",-342.855124647896
"74",-435.019222820062
"75",1529.84404645855
"76",1045.03095189753
"77",671.539168166342
"78",1955.24427921404
"79",741.665330153398
"80",-881.056253025445
"81",351.816424914857
"82",-486.134166968895
"83",-224.03352078788
"84",881.731272590287
"85",976.451745636771
"86",475.317515793952
"87",-976.9516473441
"88",-5615.19464989925
"89",1403.61711597471
"90",-6553.88784576064
"91",1997.39652072465
"92",-697.266604578819
"93",2434.45900314257
"94",8.7053394515618
"95",1273.61134253473
"96",1145.5850029606
"97",942.705972627725
"98",580.254730594562
"99",243.509642519316
"100",-372.14920945913
"101",-47.6496238990813
"102",1320.00734282576
"103",-490.365538562883
"104",-160.653198368867
"105",-806.120978339959
"106",367.319546733612
"107",-1459.61500478853
"108",-3560.02280055793
"109",-134.556957890432
"110",-308.508864770233
"111",-1070.47785763344
"112",-1184.17925404094
"113",775.467780431575
"114",-130.971951742826
"115",-403.137320973793
"116",171.763242875243
"117",-2032.02394977928
"118",-358.014790979907
"119",-381.704353628217
"120",-591.798468598909
"121",-1359.32895645341
"122",-359.842727848665
"123",-507.619832462555
"124",-324.03392644204
"125",-913.488763884314
"126",140.436275721483
"127",133.93104963725
"128",-109.135321001872
"129",383.834432552109
"130",-2060.69670572708
"131",432.591794904707
"132",688.321117723348
"133",294.960215831309
"134",292.094863774581
"135",109.266947085155
"136",-456.818698266305
"137",-1096.28130440967
"138",-909.185838025651
"139",-1660.83470658678
"140",-447.87086049076
"141",466.741335886574
"142",1058.16497060674
"143",1189.3118510278
"144",1311.85268883389
"145",-577.469357147761
"146",-210.392983329353
"147",109.934468651424
"148",353.509529690262
"149",-360.377379235894
"150",-353.663921668573
"151",-717.93518307252
"152",637.177053913652
"153",-362.950495525077
"154",643.774282946145
"155",-294.461118570721
"156",-241.462569598815
"157",-469.611680474399
"158",-44.8975715432516
"159",795.668435859277
"160",-1119.77607362106
"161",1148.34494121356
"162",-1043.94426726607
"163",-199.812696647946
"164",-241.472648995911
"165",-358.465615815377
"166",795.512452139881
"167",-723.92693094037
"168",1302.58055322658
"169",-1127.07491555358
"170",826.485979218804
"171",-310.036334512191
"172",-386.598947194236
"173",735.146264978478
"174",-615.489609348985
"175",258.477914786333
"176",142.215852100885
"177",-327.782885776985
"178",-68.2946680548912
"179",-1542.49550022159
"180",-2954.86599289936
"181",2788.19788934259
"182",-1253.46580561121
"183",394.583994118078
"184",2771.9328776148
"185",-144.340467594444
"186",-492.049444570794
"187",1912.87851587247
"188",-205.755622375174
"189",-71.6130717495012
"190",-948.732293289003
"191",604.621869173116
"192",-418.796783039398
"193",230.389715486095
"194",123.806547994
"195",357.676387229469
"196",-50.7340588425404
"197",-882.432468156858
"198",251.557538491303
"199",-132.444937156867
"200",-155.161672373746
"201",27.6640852565427
"202",-500.462541855555
"203",829.814084375382
"204",-1760.49366196134
"205",252.241819379396
"206",219.063182130496
"207",-479.077260947567
"208",776.760001898249
"209",2074.11920858572
"210",-811.64187880215
"211",760.825032633306
"212",-2438.70575904227
"213",1520.22673293078
"214",-1437.63831888977
"215",-137.947683716811
"216",951.25318832646
"217",44.4985957132463
"218",-806.929624268483
"219",-380.042528880998
"220",845.787172218858
"221",-1015.2781412942
"222",34.2929846702238
"223",472.298081507629
"224",845.882842696001
"225",-1708.74911496434
"226",630.722997046959
"227",381.321465412532
"228",-1400.24064034656
"229",1342.47969116648
"230",477.503571825909
"231",-17.2270576291875
"232",-448.38814225808
"233",560.029749070751
"234",897.126387088563
"235",-2370.39602347992
"236",138.252944734535
"237",-124.322811538891
"238",768.552369571224
"239",303.08833302706
"240",427.995669224002
"241",1066.87529042194
"242",-1814.13202584073
"243",-1167.86794032947
"244",541.38348760495
"245",-328.910704376349
"246",-1923.52856044011
"247",-282.199675868021
"248",41.4622529489952
"249",-457.75408295408
"250",1008.98223740172
"251",-173.414145547073
"252",1089.79613552188
"253",118.01622785661
"254",1044.71620075189
"255",-736.191570434851
"256",-1625.22684001782
"257",934.229872893557
"258",165.017497737553
"259",1298.23926860639
"260",885.055466893074
"261",350.147114970064
"262",-1861.40754774957
"263",-1860.38409157224
"264",2907.80555232517
"265",207.1391966333
"266",1434.21947279131
"267",2249.18899697168
"268",-3937.50956220675
"269",-1484.6086906321
"270",748.680531417994
"271",-2724.96813343931
"272",-582.46408158037
"273",-1255.75037820002
"274",-32.9951016132228
"275",-3609.30660640923
"276",996.657638768478
"277",3118.13272794062
"278",-534.655715566051
"279",-184.269430093908
"280",-2576.56403578736
"281",-527.631355957697
"282",2562.52286366681
"283",-2765.90572276209
"284",-2508.78325035285
"285",2731.92397950218
"286",61.1646270496793
"287",-831.391825979081
"288",-1764.78473048499
"289",1595.65385031416
"290",1484.0193291914
"291",-487.810863345124
"292",-4517.86055966744
"293",3643.67953002111
"294",809.983941926126
"295",-1925.67432256076
"296",-2685.89868360275
"297",2338.36248095168
"298",955.080592683724
"299",-1450.88673077491
"300",1314.64733109682
"301",-2118.95763865176
"302",1757.60085548713
"303",-2951.73835882283
"304",1247.77036778369
"305",1061.35430859871
"306",-3678.10015279816
"307",1239.81468044888
"308",-3967.40601304817
"309",4344.73021183648
"310",-1222.55473920406
"311",-822.385239512567
"312",-1233.74314446538
"313",2207.29649996767
"314",-1265.21595575523
"315",-1947.43075005496
"316",3807.55363290333
"317",1556.46306241165
"318",-1199.65925151852
"319",-1873.48594619268
"320",1518.92877923971
"321",-793.920002804574
"322",-2366.16522009497
"323",3497.29135659148
"324",2347.01709570449
"325",444.711205095157
"326",2371.2789934189
"327",-3514.94049136431
"328",4570.92203205317
"329",-2909.87388587661
"330",1651.11598074608
"331",-2021.43419659813
"332",1935.55529338083
"333",4070.26980066917
"334",-4522.72188442444
"335",-1650.84665798206
"336",5968.49292604334
"337",980.144589156245
"338",1916.29552052293
"339",-1096.42100265802
"340",123.007084509127
"341",-4766.9082090412
"342",131.004298121699
"343",-3187.41678783595
"344",-11.3654508447921
"345",-1796.03054073973
"346",1273.53001033985
"347",-925.900819524259
"348",-1980.7714787965
"349",222.905922056543
"350",2905.4396687018
"351",-2799.08062588352
"352",456.160352388794
"353",493.205990875726
"354",161.655903023798
"355",1287.05296719935
"356",751.174539462492
"357",1602.37332030907
"358",363.3428341758
"359",711.490129578124
"360",1927.2644660654
"361",3213.92278425189
"362",1634.61820164905
"363",3015.60300620186
"364",4265.84246030779
"365",3605.11422564234
"366",-539.860552830604
"367",489.312390477452
"368",-1834.26159617178
"369",-7979.24405208636
"370",-4417.49051416284
"371",430.81021542325
"372",24.897334432268
"373",5989.43360932329
"374",5154.33688230609
"375",1998.70960746384
"376",-968.282871214871
"377",-489.384388870803
"378",-149.451117476867
"379",2316.73967391415
"380",937.01128387099
"381",-2537.63856376573
"382",-835.15670575033
"383",-75.5874356966962
"384",-2072.90326288202
"385",-223.174079785706
"386",-308.949381460476
"387",-456.284795994183
"388",-967.280698994207
"389",589.128336255284
"390",-237.538442903288
"391",-1718.40256472915
"392",948.373192493751
"393",-1442.81087112223
"394",720.055997705779
"395",-488.309889302794
"396",-1030.98797880486
"397",2019.40849727305
"398",-916.663731853777
"399",-2316.89244250264
"400",-1971.83466303546
"401",1515.89375628637
"402",-569.022338771596
"403",-523.104291560899
"404",693.052738498515
"405",-439.44057208946
"406",1648.66463766699
"407",-1758.08206020957
"408",-463.789256405057
"409",101.697155490987
"410",-1748.42723495283
"411",856.917941667301
"412",-304.164584656031
"413",-1425.48936900074
"414",-1721.85786489394
"415",2709.19856626196
"416",-963.184040698074
"417",-225.456366925014
"418",-2183.82421979982
"419",1459.59541099359
"420",70.9331875995091
"421",-65.8179962551222
"422",103.505080024676
"423",627.546379504243
"424",67.9564652342511
"425",1160.79372586745
"426",1068.12445344823
"427",621.457775266378
"428",-617.095568602109
"429",10.0572702695631
"430",516.470045353581
"431",-566.168135499504
"432",817.752400283644
"433",-540.678177554346
"434",3169.02907487532
"435",-103.835327213726
