"","x"
"1",5.94266401325177
"2",3.99536623789773
"3",3.15563360676446
"4",2.76392452446248
"5",2.38665915491596
"6",1.90762950641222
"7",-4.81356888692726
"8",-23.2778576461148
"9",-1877.71809814113
"10",-616.209532211803
"11",-810.124964548347
"12",-1034.64016200731
"13",-374.332631542802
"14",423.634841770446
"15",181.463711998669
"16",-825.637180388699
"17",-1126.50947345707
"18",-260.904931401196
"19",480.206085424791
"20",1281.2783129925
"21",98.3802956446419
"22",-1351.87233009726
"23",801.789312488844
"24",-1046.46207895836
"25",-61.9514873318391
"26",-699.878002958506
"27",-725.055880812935
"28",376.465874430757
"29",410.154941078063
"30",-250.833062503583
"31",87.2501683332955
"32",-43.4265345931584
"33",-465.561198130144
"34",-617.8541631924
"35",-37.9342538753853
"36",1143.70533487182
"37",-440.244842243978
"38",-2912.39316932298
"39",2639.35135590663
"40",-247.476034930688
"41",449.596695763299
"42",286.854330992242
"43",903.449160187928
"44",-353.678542186073
"45",533.046103173132
"46",702.841409261511
"47",15.6399671723574
"48",393.92642912406
"49",97.9374376849607
"50",812.662515848958
"51",-286.697319488135
"52",1486.74076898137
"53",-204.651264882148
"54",-453.356518969662
"55",-331.31637456797
"56",958.994379165079
"57",-874.950627248921
"58",-66.3073522835832
"59",121.594449393033
"60",-1574.64787836309
"61",-1112.13116641836
"62",-207.69475377394
"63",-569.939911386804
"64",-56.8786983187853
"65",71.2630436946481
"66",229.522188357083
"67",-37.1867815069427
"68",-221.27072435055
"69",249.605540200953
"70",123.279710075831
"71",182.590512062092
"72",662.471672823341
"73",299.269693171619
"74",404.354468191861
"75",243.911867410843
"76",81.4990987123744
"77",-506.055159416254
"78",-1134.9931385235
"79",-448.76282409263
"80",-341.347559423888
"81",-1614.51593297316
"82",-3693.67312663973
"83",-2910.49337677592
"84",-1126.73448199642
"85",838.082740795017
"86",-153.937766704986
"87",-618.82069226931
"88",-445.155408133013
"89",555.158347679596
"90",-665.078176735953
"91",-364.898883375844
"92",-1273.79462524568
"93",-215.706441773942
"94",615.766417953629
"95",486.292720989791
"96",1499.95960181477
"97",-975.860802390827
"98",-176.672843056402
"99",1369.66788595313
"100",988.382058316401
"101",57.3096164761998
"102",1049.54341953286
"103",1547.64155526105
"104",3895.23184384458
"105",4098.56290432226
"106",1344.65373890447
"107",926.83523567834
"108",3226.62093886794
"109",1854.23181149082
"110",-84.0171028533372
"111",-3441.91359901107
"112",-8184.98698454355
"113",-1407.24479620755
"114",608.476951597954
"115",1891.79096100798
"116",935.552691927846
"117",211.91457685783
"118",1705.27409413633
"119",3002.67962049361
"120",3137.80077587131
"121",2355.16498595913
"122",-1285.36380384284
"123",-715.439916097263
"124",-471.405389702426
"125",-136.420626893524
"126",-374.566012948325
"127",-65.7239280985547
"128",-1533.93388137612
"129",-452.336733317842
"130",-357.619330383255
"131",-485.594315968844
"132",-194.766695035114
"133",-450.050340608762
"134",321.750962882697
"135",-381.566211714163
"136",-673.962469314548
"137",1374.42178628715
"138",257.594078505851
"139",-2600.59071788241
"140",-738.088576205226
"141",808.828401060026
"142",-622.33823498497
"143",-1286.22158297246
"144",-529.523392739291
"145",-34.5593899080844
"146",72.6882363919712
"147",-1332.14259621457
"148",1268.34456521738
"149",-1235.12946037009
"150",1024.84105274021
"151",460.523172326131
"152",893.908426354517
"153",-2894.63101957703
"154",-2144.54098264199
"155",1541.51407687395
"156",923.919637465858
"157",-1858.90304801634
"158",321.747217839633
"159",-1005.84144179009
"160",54.8198075994461
"161",826.348219754714
"162",204.027301597095
"163",-170.296708790857
"164",-257.157896640963
"165",1953.88244577722
"166",1319.35914903226
"167",498.729209134238
"168",1718.32317476441
"169",1220.60593023162
"170",-717.352609233481
"171",530.971522886959
"172",-40.1301778704391
"173",45.8837354450611
"174",742.26890435013
"175",811.219673527593
"176",947.579090677488
"177",-862.50854931374
"178",-5560.23564763976
"179",1787.64344612053
"180",-6438.04650337997
"181",1837.63472429486
"182",-873.996283585757
"183",2897.10802966764
"184",102.479134792173
"185",1253.88260369789
"186",1620.99923365592
"187",978.228935297919
"188",565.899991421186
"189",92.5519392950998
"190",141.018871696781
"191",35.0350112078106
"192",1350.72475199532
"193",-22.9494375670734
"194",-127.633678453547
"195",-837.802463560917
"196",211.881642240781
"197",-1002.28322561976
"198",-3554.47775941499
"199",-133.783908684597
"200",97.6393369494171
"201",-1076.93125466724
"202",-1269.24914910026
"203",619.036244145285
"204",281.496186911235
"205",-439.21858794548
"206",200.757671804801
"207",-1660.77599784577
"208",-387.214868166687
"209",-474.169542483985
"210",-734.753641520131
"211",-990.11443710015
"212",-416.398583360691
"213",-490.427837149795
"214",-3.14400815488751
"215",-946.305690743142
"216",42.1736818215019
"217",-4.11974784934798
"218",240.256577276783
"219",345.376972931925
"220",-2058.59532485081
"221",736.282786816278
"222",665.521712249846
"223",220.514897980532
"224",171.588039199184
"225",455.248050771184
"226",-488.370220531107
"227",-1125.14720513125
"228",-612.918192420018
"229",-1705.63587669395
"230",-545.656372366976
"231",339.791315331189
"232",1393.09305467189
"233",1168.70513174565
"234",1302.29270662146
"235",-276.352401789522
"236",-252.926164707569
"237",39.412270726572
"238",256.004402217943
"239",-22.4302093088894
"240",-374.069608070756
"241",-737.82441627279
"242",906.103245751373
"243",-407.286680035526
"244",573.653988878868
"245",-386.789583928137
"246",73.4776615093528
"247",-495.890319294215
"248",-72.0198667208778
"249",1070.41631372278
"250",-1171.58325548684
"251",1087.76686351727
"252",-1139.26498404354
"253",94.0015465405483
"254",-272.242163560971
"255",-388.109557643191
"256",1067.4174228324
"257",-785.894393720187
"258",1261.62552015715
"259",-1230.64049077838
"260",1115.38862635211
"261",-332.789286037106
"262",-417.508152188099
"263",1009.86099631361
"264",-681.589697168662
"265",228.695787875349
"266",29.9205578048574
"267",-37.1303160845909
"268",-102.295893654925
"269",-1582.23535895745
"270",-2719.30953182878
"271",2701.17286540435
"272",-1271.96402177404
"273",267.889265740777
"274",3069.81156789582
"275",-153.548907400512
"276",-532.864787482328
"277",2160.9996501951
"278",-228.271400590903
"279",-100.981173688629
"280",-1050.75007759638
"281",897.164244327993
"282",-446.357718838086
"283",181.790168248701
"284",370.490786153467
"285",317.835714901146
"286",-79.834917318791
"287",-994.170439313863
"288",535.878594031822
"289",-166.416652146894
"290",-202.147994085706
"291",262.163361782084
"292",-543.23471367126
"293",795.824177773568
"294",-1875.68179167671
"295",518.997952014191
"296",184.845178859539
"297",-527.612944367801
"298",1004.20876264495
"299",2048.21289919024
"300",-821.129291190495
"301",642.706080457512
"302",-2161.97003454913
"303",1475.88630386107
"304",-1477.27891263955
"305",73.8274766003369
"306",927.323332161975
"307",18.6152240394931
"308",-922.919578595133
"309",-136.074342434535
"310",822.963545637198
"311",-1068.12544863068
"312",244.709664570228
"313",454.100433543597
"314",821.954522725275
"315",-1822.91348088556
"316",861.824562087801
"317",371.268058628451
"318",-1462.70310679897
"319",1549.8928437334
"320",473.665254215934
"321",-36.5420389494016
"322",-567.574322829786
"323",798.652995783912
"324",893.069775171531
"325",-2433.78801737794
"326",335.065609869901
"327",-138.779028937578
"328",742.452832350569
"329",189.585599434717
"330",666.655574296886
"331",1068.38772837514
"332",-1881.60906574533
"333",-975.207996603847
"334",519.283680106689
"335",-349.629777798951
"336",-2052.42813543582
"337",-75.0024792834493
"338",26.9247601385395
"339",-547.667310903195
"340",1200.40470148883
"341",-180.196881480226
"342",1070.94202413211
"343",8.88687489435912
"344",1273.40049512061
"345",-728.542692230364
"346",-1712.24832095568
"347",1121.59924892607
"348",159.991637409527
"349",1288.0461687415
"350",785.518503810319
"351",583.590868517914
"352",-1863.01032860221
"353",-1960.91570528591
"354",3093.97963162719
"355",218.160058636562
"356",1432.38493672486
"357",2166.41557685964
"358",-3705.5086534305
"359",-1525.79837342434
"360",651.019278638045
"361",-2536.83747417319
"362",-624.173601844467
"363",-1279.91304445013
"364",-158.779056955797
"365",-3434.42575613327
"366",937.244397840318
"367",3037.81558224929
"368",-335.500592095112
"369",-198.855170687959
"370",-2591.7495864713
"371",-652.614505214734
"372",2739.93737660666
"373",-2772.89045629728
"374",-2614.00564846499
"375",2890.40175164203
"376",62.0699200152723
"377",-853.577188121609
"378",-1873.28130274158
"379",1763.1389194966
"380",1475.52552165357
"381",-554.380517505227
"382",-4349.05966601281
"383",3602.62504043831
"384",819.222030175465
"385",-2025.57515608857
"386",-2522.83574197119
"387",2299.76889743439
"388",893.726796117223
"389",-1284.14947533292
"390",1305.9655484675
"391",-2127.83137368247
"392",1642.11205286357
"393",-2772.85831241544
"394",1209.60856407459
"395",999.800479028685
"396",-3524.09220550955
"397",1210.62636918343
"398",-3992.04454813957
"399",4214.68703614588
"400",-1033.55520110972
"401",-849.190972368834
"402",-1309.41355584446
"403",2343.16118530161
"404",-1250.57322873505
"405",-1990.4644808732
"406",3712.84111473537
"407",1744.87800758629
"408",-1194.13480950008
"409",-1944.26069035054
"410",1657.61380267711
"411",-782.930233256452
"412",-2407.02272698827
"413",3406.14838962775
"414",2532.58143600835
"415",458.862528966086
"416",2326.0068360144
"417",-3341.23113328584
"418",4562.04005944035
"419",-2897.15026995462
"420",1566.15042446253
"421",-1848.12913706032
"422",1912.77114534557
"423",4035.18812575428
"424",-4352.54965529661
"425",-1675.80746587143
"426",5935.95372822849
"427",963.541275121773
"428",2087.60786881072
"429",-1068.99504635427
"430",71.5739914956321
"431",-4631.93649809447
"432",94.9602829423625
"433",-3225.96835476788
"434",-118.528896358694
"435",-1668.62394911781
"436",1233.8790840674
"437",-986.284776945677
"438",-1880.18150774392
"439",200.833205435114
"440",2872.08197434565
"441",-2849.08512307179
"442",572.325050756363
"443",488.432012773468
"444",104.893520440692
"445",1409.66922038281
"446",768.436475199261
"447",1590.8506541955
"448",323.802512054488
"449",863.49635266525
"450",1940.67888885932
"451",3192.93462490821
"452",1798.22446446307
"453",3060.94996530953
"454",4301.48265811261
"455",3618.15794643802
"456",-336.584346774631
"457",518.515838341634
"458",-1853.77090997928
"459",-7874.68356999954
"460",-4485.98499675959
"461",349.157014391458
"462",-64.3019988559956
"463",6103.70756669809
"464",5197.51617944042
"465",2004.86882478676
"466",-814.145454838618
"467",-467.187079521397
"468",-156.603229068275
"469",2273.25026635317
"470",1096.07009043014
"471",-2526.30329754967
"472",-896.114787987323
"473",26.9053368932794
"474",-2076.87961976798
"475",-267.186860424338
"476",-374.15853764487
"477",-344.208342138247
"478",-984.613974947325
"479",525.891238531459
"480",-135.217533336653
"481",-1724.66636247798
"482",909.731790016322
"483",-1496.8607590841
"484",823.867904533139
"485",-492.029634282246
"486",-1088.90472088229
"487",2111.86839553042
"488",-900.560432249207
"489",-2348.74896027393
"490",-2047.72890795036
"491",1608.98777071719
"492",-573.405620989731
"493",-582.608654998337
"494",783.900288251892
"495",-435.412200234032
"496",1625.31731615233
"497",-1796.14192405695
"498",-364.416068860187
"499",92.672927604883
"500",-1799.20722582846
"501",934.574603149813
"502",-298.950592089706
"503",-1454.31001943439
"504",-1787.86902786168
"505",2801.1780656652
"506",-953.59012657258
"507",-279.904563524189
"508",-2094.87934263558
"509",1440.95212999162
"510",59.776659164352
"511",-115.741971991604
"512",210.735492296107
"513",624.557943115004
"514",32.6491238479677
"515",1257.04108749868
"516",1086.11083661124
"517",619.935980730153
"518",-648.037279272682
"519",117.504877967197
"520",518.194764586087
"521",-599.639025678858
"522",906.321643680682
"523",-529.384344201358
"524",3152.47685422188
"525",-114.259736364653
"526",-2127.98307885929
"527",-5427.42038675656
"528",2094.32612930739
"529",1435.83204345722
"530",409.81972584414
"531",852.58117580754
"532",903.274244921797
"533",1356.2527067688
"534",1352.96431982267
"535",316.285745889647
"536",1702.09437329344
