"","as.character(dt[1:435, ""tanggal""])","model_fix$residuals"
"1","2023-04-01","5.43575067876486"
"2","2023-04-02","1.65634410129562"
"3","2023-04-03","1.25674350079047"
"4","2023-04-04","1.47733567228029"
"5","2023-04-05","2.24495000385725"
"6","2023-04-06","2.37751412071749"
"7","2023-04-07","-3.98970561258594"
"8","2023-04-08","-26.4035767957366"
"9","2023-04-09","1740.80013127197"
"10","2023-04-10","554.049091413697"
"11","2023-04-11","-576.30348342943"
"12","2023-04-12","293.941496566126"
"13","2023-04-13","7.3648346699446"
"14","2023-04-14","3220.66213189943"
"15","2023-04-15","2678.93530288777"
"16","2023-04-16","346.404368378733"
"17","2023-04-17","-118.784400836103"
"18","2023-04-18","2023.61356952332"
"19","2023-04-19","640.344417671851"
"20","2023-04-20","-1465.8152941409"
"21","2023-04-21","-4200.19349773738"
"22","2023-04-22","-8637.11455428671"
"23","2023-04-23","-1587.24438640016"
"24","2023-04-24","133.68080201261"
"25","2023-04-25","726.631544989582"
"26","2023-04-26","-23.2651074620017"
"27","2023-04-27","-607.469278330544"
"28","2023-04-28","1498.56770327658"
"29","2023-04-29","3400.69639911788"
"30","2023-04-30","2685.75426376052"
"31","2023-05-01","1563.54455686996"
"32","2023-05-02","-2385.24782099075"
"33","2023-05-03","-1542.39107931637"
"34","2023-05-04","-1125.21813400355"
"35","2023-05-05","-464.537171644837"
"36","2023-05-06","-313.032351518415"
"37","2023-05-07","-601.40662569159"
"38","2023-05-08","-2179.39817030306"
"39","2023-05-09","-1159.08686922727"
"40","2023-05-10","-928.020570989881"
"41","2023-05-11","-929.518428361685"
"42","2023-05-12","-411.547235103241"
"43","2023-05-13","-294.950028530374"
"44","2023-05-14","-113.62854230887"
"45","2023-05-15","-808.331077319872"
"46","2023-05-16","-1211.74018227415"
"47","2023-05-17","848.543221685398"
"48","2023-05-18","-118.782658556746"
"49","2023-05-19","-2649.78888716388"
"50","2023-05-20","-523.959356720165"
"51","2023-05-21","408.584348703347"
"52","2023-05-22","-938.823794395829"
"53","2023-05-23","-1656.44109408461"
"54","2023-05-24","-1008.45730708047"
"55","2023-05-25","-345.098158872201"
"56","2023-05-26","152.43244921222"
"57","2023-05-27","-1065.07849059301"
"58","2023-05-28","856.384391336372"
"59","2023-05-29","-1446.73207105289"
"60","2023-05-30","718.215956392169"
"61","2023-05-31","22.5954708706767"
"62","2023-06-01","578.170245215415"
"63","2023-06-02","-2745.95150454735"
"64","2023-06-03","-1771.17663334308"
"65","2023-06-04","1113.26649620519"
"66","2023-06-05","755.08627822481"
"67","2023-06-06","-2117.19502646632"
"68","2023-06-07","-65.2221500282147"
"69","2023-06-08","-1277.63008710452"
"70","2023-06-09","295.272572203629"
"71","2023-06-10","1179.61122626194"
"72","2023-06-11","-255.199703179862"
"73","2023-06-12","-342.855124647896"
"74","2023-06-13","-435.019222820062"
"75","2023-06-14","1529.84404645855"
"76","2023-06-15","1045.03095189753"
"77","2023-06-16","671.539168166342"
"78","2023-06-17","1955.24427921404"
"79","2023-06-18","741.665330153398"
"80","2023-06-19","-881.056253025445"
"81","2023-06-20","351.816424914857"
"82","2023-06-21","-486.134166968895"
"83","2023-06-22","-224.03352078788"
"84","2023-06-23","881.731272590287"
"85","2023-06-24","976.451745636771"
"86","2023-06-25","475.317515793952"
"87","2023-06-26","-976.9516473441"
"88","2023-06-27","-5615.19464989925"
"89","2023-06-28","1403.61711597471"
"90","2023-06-29","-6553.88784576064"
"91","2023-06-30","1997.39652072465"
"92","2023-07-01","-697.266604578819"
"93","2023-07-02","2434.45900314257"
"94","2023-07-03","8.7053394515618"
"95","2023-07-04","1273.61134253473"
"96","2023-07-05","1145.5850029606"
"97","2023-07-06","942.705972627725"
"98","2023-07-07","580.254730594562"
"99","2023-07-08","243.509642519316"
"100","2023-07-09","-372.14920945913"
"101","2023-07-10","-47.6496238990813"
"102","2023-07-11","1320.00734282576"
"103","2023-07-12","-490.365538562883"
"104","2023-07-13","-160.653198368867"
"105","2023-07-14","-806.120978339959"
"106","2023-07-15","367.319546733612"
"107","2023-07-16","-1459.61500478853"
"108","2023-07-17","-3560.02280055793"
"109","2023-07-18","-134.556957890432"
"110","2023-07-19","-308.508864770233"
"111","2023-07-20","-1070.47785763344"
"112","2023-07-21","-1184.17925404094"
"113","2023-07-22","775.467780431575"
"114","2023-07-23","-130.971951742826"
"115","2023-07-24","-403.137320973793"
"116","2023-07-25","171.763242875243"
"117","2023-07-26","-2032.02394977928"
"118","2023-07-27","-358.014790979907"
"119","2023-07-28","-381.704353628217"
"120","2023-07-29","-591.798468598909"
"121","2023-07-30","-1359.32895645341"
"122","2023-07-31","-359.842727848665"
"123","2023-08-01","-507.619832462555"
"124","2023-08-02","-324.03392644204"
"125","2023-08-03","-913.488763884314"
"126","2023-08-04","140.436275721483"
"127","2023-08-05","133.93104963725"
"128","2023-08-06","-109.135321001872"
"129","2023-08-07","383.834432552109"
"130","2023-08-08","-2060.69670572708"
"131","2023-08-09","432.591794904707"
"132","2023-08-10","688.321117723348"
"133","2023-08-11","294.960215831309"
"134","2023-08-12","292.094863774581"
"135","2023-08-13","109.266947085155"
"136","2023-08-14","-456.818698266305"
"137","2023-08-15","-1096.28130440967"
"138","2023-08-16","-909.185838025651"
"139","2023-08-17","-1660.83470658678"
"140","2023-08-18","-447.87086049076"
"141","2023-08-19","466.741335886574"
"142","2023-08-20","1058.16497060674"
"143","2023-08-21","1189.3118510278"
"144","2023-08-22","1311.85268883389"
"145","2023-08-23","-577.469357147761"
"146","2023-08-24","-210.392983329353"
"147","2023-08-25","109.934468651424"
"148","2023-08-26","353.509529690262"
"149","2023-08-27","-360.377379235894"
"150","2023-08-28","-353.663921668573"
"151","2023-08-29","-717.93518307252"
