,0
0,-156.02263
1,-362.1421
2,79.70873
3,-174.28967
4,-177.18758
5,-151.2207
6,-238.96753
7,-197.33336
8,-263.30063
9,-167.02576
10,-194.23843
11,-288.22043
12,-385.06113
13,-265.7809
14,-370.3502
15,-461.586
16,-413.82474
17,-96.116196
18,-176.88243
19,5.3215294
20,408.26346
21,199.01857
22,-172.3063
23,-140.49133
24,-580.7886
25,-524.05383
26,-293.6771
27,-62.44602
28,-100.08468
29,-126.80043
30,-317.8646
31,-211.80803
32,59.719868
33,-72.90425
34,-132.60233
35,23.86406
36,-121.008995
37,-114.26729
38,-102.68616
39,-62.525352
40,-184.68513
41,-119.88
42,-3.7069368
43,-212.69116
44,-25.238033
45,-194.90623
46,-100.16837
47,-57.522907
48,-295.25684
49,-66.50081
50,42.735264
51,16.020384
52,-256.64087
53,-93.82334
54,-97.4335
55,-192.79994
56,-104.01044
57,-266.86108
58,-0.61288255
59,-102.09595
60,-146.51816
61,-1.3652548
62,-205.57372
63,-114.643906
64,-26.593697
65,-3.4366758
66,-347.4582
67,-62.84705
68,-120.8294
69,32.454876
70,-252.29924
71,-144.10411
72,-133.36952
73,-146.6594
74,-187.68591
75,-143.87047
76,-229.18843
77,-221.99774
78,-187.2099
79,-90.044044
80,-139.3266
81,-179.00616
82,-94.04739
83,-202.52324
84,-96.05169
