,0
0,1121.1803
1,2248.2498
2,2700.4146
3,3036.8936
4,3191.7847
5,3131.4072
6,2817.9285
7,3375.7588
8,2532.381
9,2792.766
10,2926.2769
11,2436.9368
12,2555.6482
13,2777.6895
14,3005.5183
15,2347.0796
16,1930.7112
17,2439.0337
18,3006.246
19,4119.815
20,3447.5144
21,2074.0947
22,2974.2075
23,2231.7444
24,2634.221
25,2376.9568
26,2372.0886
27,2684.7253
28,2655.5383
29,2444.6294
30,2391.5767
31,2721.8347
32,2338.0605
33,2257.8884
34,2302.7454
35,3020.103
36,2476.1492
37,318.0571
38,3313.96
39,2906.7146
40,3027.4011
41,3027.4011
42,3443.0205
43,2856.84
44,2670.4802
45,4024.7292
46,3578.315
47,3956.9507
48,3773.2058
49,4274.4966
50,3695.619
51,4333.055
52,4774.481
53,3959.2583
54,4109.7476
55,4973.741
56,4047.884
57,3885.5554
58,3836.5652
59,3455.0051
60,2748.3027
61,3387.697
62,3212.4531
63,3287.9678
64,3297.6177
65,3171.1414
66,3804.4792
67,3278.324
68,3817.4612
69,3854.158
70,3841.918
71,4158.5845
72,3880.1917
73,4754.627
74,4441.161
75,4645.264
76,4143.846
77,3327.3428
78,3299.8455
79,3088.8425
80,2779.8425
81,473.11072
82,43.781666
83,454.75848
84,1573.4385
85,1387.7616
86,678.5771
87,1073.6444
88,1175.7744
89,878.7198
90,682.6036
91,135.95747
92,245.79155
93,586.06915
94,1289.8271
95,1650.4733
96,750.26447
97,614.4819
98,1642.6766
99,1959.5024
100,1302.319
101,2392.2727
102,2860.4485
103,5359.6216
104,7295.5557
105,6393.3267
106,5844.672
107,7630.0703
108,8808.055
109,7073.714
110,4112.071
111,-354.56674
112,925.0363
113,3061.748
114,4445.872
115,5311.1685
116,4347.9116
117,5506.948
118,7211.939
119,8721.073
120,9194.032
121,6662.0728
122,6724.8203
123,6303.643
124,6596.8823
125,6246.103
126,6533.381
127,5459.9414
128,5315.2026
129,6223.9194
130,5513.4346
131,5695.461
132,5311.1685
133,5958.283
134,5675.1113
135,4966.5474
136,7141.576
137,6581.2104
138,4213.746
139,4151.601
140,5781.8374
141,5203.172
142,3936.9666
143,4803.891
144,4688.0083
145,4847.6616
146,3610.0286
147,5270.029
148,4202.859
149,4838.9023
150,6000.0244
151,5890.417
152,3242.0247
153,2061.2263
154,4665.837
155,5377.4023
156,3101.3066
157,4507.9736
158,3570.0176
159,3688.7874
160,4237.094
161,4646.054
162,4236.315
163,3718.4072
164,6276.512
165,6347.2373
166,5846.305
167,6577.9097
168,7484.3467
169,6104.9077
170,6123.7715
171,7041.4424
172,6497.9346
173,6972.7793
174,7213.5923
175,8127.153
176,6836.3545
177,2197.4333
178,6219.812
179,1492.5691
180,4056.3792
181,3985.4219
182,6670.3257
183,5946.8306
184,5770.422
185,7846.078
186,7210.282
187,7060.4727
188,6567.1875
