,0
0,1533.0631
1,633.8208
2,1465.6893
3,646.77484
4,1750.2733
5,2567.948
6,3533.3242
7,4426.1704
8,1922.1787
9,3925.759
10,3620.1833
11,2837.7183
12,3885.1067
13,5146.144
14,5955.7363
15,4320.7334
16,4795.368
17,6162.385
18,4811.928
19,7353.3423
20,8450.432
21,9615.62
22,6889.428
23,5771.9443
24,5499.572
25,5365.801
26,6060.3677
27,7542.9795
28,7912.467
29,6126.0723
30,7244.9736
31,6177.3506
32,4169.3135
33,3805.596
34,5688.744
35,5473.214
36,5317.1826
37,6387.571
38,7052.441
39,7647.812
40,10780.634
41,10546.784
42,10230.549
43,11007.223
44,8088.024
45,10052.33
46,10622.289
47,12196.557
48,10901.312
49,9144.528
50,9651.214
51,9996.318
52,9206.078
53,10602.009
54,11361.491
55,14711.597
56,10869.064
57,10258.966
58,10550.943
59,9948.24
60,10279.856
61,10122.357
62,10558.358
63,9678.805
64,6825.0854
65,8356.49
66,7523.5024
67,8446.359
68,11564.35
69,11556.557
70,9755.97
71,10960.435
72,11075.538
73,12452.194
74,14513.541
75,14246.603
76,16349.441
77,16255.177
78,16529.422
79,15455.852
80,15860.494
81,15477.156
82,18469.246
83,17585.404
84,15891.192
85,15655.348
86,14425.858
87,13701.772
88,13192.288
89,13288.994
90,10599.159
91,11091.78
92,10783.602
93,10403.029
94,12167.591
95,14008.0625
96,15114.068
97,17609.477
98,20057.54
99,21280.047
100,21997.414
101,19384.727
102,22031.926
103,22605.43
104,23750.326
105,23301.977
106,24172.494
107,21606.55
108,21612.055
109,19757.098
110,20905.912
111,22160.129
112,23087.414
113,23905.092
114,20974.254
115,23371.928
116,21421.695
117,21066.12
118,23559.982
119,24473.73
120,25008.629
121,25739.697
122,25045.346
123,24717.559
124,25572.156
125,24389.98
126,24369.807
127,25119.162
128,25368.25
129,24896.42
130,20567.291
131,26892.102
132,28363.31
133,29981.752
134,30027.982
135,34108.344
136,32983.68
137,33240.13
138,35701.44
139,37420.63
140,37991.35
141,37649.715
142,37591.258
143,37118.76
144,37540.34
145,37600.746
146,37167.63
147,37361.992
148,40584.21
149,41092.87
150,40630.695
151,40301.605
152,40183.34
153,39271.03
154,38767.28
155,40100.06
156,39894.37
157,42039.1
158,42670.695
159,43187.6
160,42640.69
161,44663.016
162,42815.875
163,44183.996
164,46228.2
165,45825.484
166,47944.133
167,46710.37
168,47154.77
169,46359.793
170,44843.168
171,43541.26
172,43242.133
173,43253.855
174,40422.32
175,40004.348
176,39772.23
177,41007.035
178,42858.867
179,41244.32
180,43254.25
181,44203.863
182,40939.47
183,41437.207
184,38918.086
185,40045.164
186,39503.324
187,40831.617
188,41268.875
189,37545.43
190,36522.367
191,38875.734
192,40368.516
193,40287.93
194,40047.688
195,39278.527
196,43373.043
197,45532.17
198,40252.598
199,39347.402
200,42238.168
201,39825.082
202,37224.273
203,32945.348
204,21731.494
205,16662.422
206,15086.19
207,19392.416
208,22666.53
209,22774.88
210,23514.393
211,27185.838
212,27715.377
213,30399.736
214,27488.512
215,27699.184
216,25953.135
217,28056.238
218,27601.887
219,26370.523
220,24188.066
221,26171.812
222,26355.234
223,23892.45
224,25152.62
225,26571.268
226,28075.568
227,27213.033
228,28466.154
229,31341.842
230,27189.576
231,25249.25
232,23935.545
233,24814.943
234,24885.838
235,26820.676
236,27162.344
237,26980.416
238,25770.885
239,25391.838
240,26098.664
241,23579.684
242,24886.469
243,25432.512
244,26484.344
245,21496.514
246,17944.006
247,19625.246
248,19632.94
249,17267.465
250,22064.395
251,19830.867
252,18884.766
253,18849.336
254,19634.537
255,17276.775
256,17966.088
257,20077.16
258,19908.86
259,20272.287
260,23892.146
261,26454.758
262,25364.436
263,25984.252
264,25442.58
265,21983.527
266,23055.693
267,21725.04
268,24059.35
269,22793.088
270,16041.323
271,17954.148
272,14425.125
273,25634.96
274,34978.56
275,44430.184
276,45491.645
277,43737.703
278,43633.77
279,42433.06
280,38758.027
281,39780.363
282,41386.7
283,39893.61
284,40594.023
285,42855.637
286,44488.02
287,43544.703
288,44361.45
289,44235.594
290,42424.46
291,40626.043
292,41827.832
293,40132.395
294,43090.855
295,44740.543
296,43548.3
297,41260.305
298,42549.125
299,41670.902
300,39278.164
301,38344.16
302,38177.75
303,39715.41
304,39280.637
305,38909.83
306,39290.043
307,40269.65
308,43467.336
309,39214.32
310,39245.918
311,37530.43
312,32963.055
313,38351.14
314,41525.49
315,38456.395
316,40299.64
317,40244.0
318,39571.324
319,39049.906
320,43564.535
321,40330.188
322,39698.938
323,40357.332
324,43201.016
325,46397.77
326,45206.418
327,47311.348
328,44606.023
329,46377.2
330,46833.242
331,47601.254
332,45805.63
333,43335.72
334,45533.24
335,45445.605
336,44484.957
337,45799.113
338,45348.855
339,43096.34
340,43768.074
341,45067.348
342,44009.242
343,48025.895
344,45098.33
345,44176.645
346,44918.242
347,46418.746
348,52588.492
349,46584.305
350,48411.027
351,45694.54
352,44825.258
353,45568.44
354,47394.793
355,50315.94
356,48485.168
357,48514.152
358,49419.535
359,50136.754
360,52870.633
361,51168.773
362,51536.293
363,55369.93
364,53355.09
365,54878.758
366,61155.188
367,62702.605
368,60706.98
369,64643.02
370,63871.113
371,65030.094
372,62117.977
373,61345.96
374,64376.58
375,64763.348
376,66671.836
377,66928.2
378,68663.25
379,67881.54
380,70698.305
381,71740.89
382,70387.85
383,70538.96
384,68680.04
385,67972.62
386,67148.055
387,67825.65
388,67842.26
389,66591.82
390,69024.555
391,67866.734
392,68266.6
393,68791.6
394,65080.7
395,66752.34
396,65780.2
397,64820.586
398,67341.04
399,68735.0
400,65316.844
401,66210.62
402,66303.43
403,62584.57
404,63334.684
405,63258.156
406,63622.16
407,60049.875
408,65260.754
409,65107.92
410,64785.23
411,68412.21
412,70879.22
413,66697.95
414,66230.37
415,66330.63
416,66743.33
417,63471.453
418,66154.945
419,69994.664
420,68214.71
421,65506.598
422,66267.76
423,65949.6
424,62457.38
425,61655.37
426,61723.117
427,60474.457
428,59452.51
429,61226.906
430,62743.043
431,60742.33
432,62976.14
433,62721.32
434,60345.168
435,60049.332
436,62535.83
437,61432.266
438,57002.445
439,60214.37
440,58740.945
441,56992.29
442,58651.086
443,62973.832
444,61825.16
445,59857.305
446,63350.57
447,59098.01
448,61454.31
449,64021.41
450,60230.6
451,64473.12
452,62000.508
453,63228.07
454,62969.316
455,64165.957
456,64735.414
457,62914.98
458,64402.8
459,64200.957
460,61801.82
461,58119.44
462,55750.176
463,54655.22
464,59919.133
465,56294.336
466,58554.465
467,57386.945
468,58857.38
469,57548.08
470,55432.625
471,58632.5
472,63466.816
473,62794.1
474,57260.86
475,56060.754
476,61092.785
477,56871.69
478,53976.504
479,56308.438
480,53271.445
481,55326.29
482,55218.727
483,52085.016
484,51013.703
485,52136.79
486,48535.438
487,51994.79
488,50012.742
489,44068.94
490,44716.16
491,42975.953
492,52441.89
493,47922.54
494,48455.42
495,44746.6
496,48353.99
497,49133.855
498,39897.02
499,49849.8
500,52671.277
501,55273.625
502,46680.51
503,42319.387
504,42414.77
505,36114.695
506,39653.03
507,40866.402
508,42528.207
509,41157.43
510,36284.996
511,42822.887
512,33467.387
513,37304.62
514,31077.924
515,36040.01
516,37504.926
517,29231.238
518,26074.04
519,27881.262
520,26347.31
521,31337.422
522,29365.363
523,31437.855
524,28384.053
525,31432.072
526,31523.771
527,29686.639
528,28155.418
529,26804.426
530,24445.057
531,22871.629
532,24433.479
533,27070.463
534,22427.88
535,28550.64
536,24639.408
537,34305.38
538,27602.332
539,23056.756
540,22064.357
541,20865.176
542,21743.86
543,26360.549
544,29558.457
545,26791.342
546,29280.742
547,28726.11
548,30906.434
549,34851.66
550,37008.258
551,40010.938
552,40615.086
553,38974.08
554,38786.184
555,35540.85
556,26537.98
557,28376.78
558,36255.438
559,33290.0
560,40651.29
561,42664.457
562,43457.06
563,45647.258
564,44285.695
565,37188.906
566,37076.473
567,37904.676
568,32999.2
569,31190.041
570,34059.21
571,34910.477
572,35646.78
573,35262.914
574,35786.977
575,34237.1
576,33685.914
577,35700.402
578,31965.56
579,30585.154
580,28700.838
581,32875.11
582,33109.297
583,29567.184
584,34010.51
585,36099.395
586,29106.354
587,25877.48
588,28603.781
589,30580.342
590,27969.52
591,29709.254
