,0
1,397.05078
2,373.26562
3,351.77344
4,332.2539
5,314.4922
6,298.2578
7,283.39062
8,269.73438
9,257.13672
10,245.51953
11,234.75781
12,224.77344
13,215.5
14,206.85938
15,198.80078
16,191.26562
17,184.21094
18,177.59766
19,171.38281
20,165.55078
21,160.05078
22,154.86328
23,149.97266
24,145.34766
25,140.97266
26,136.82812
27,132.89844
28,129.17188
29,125.62891
30,122.265625
31,119.05469
32,116.00781
33,113.09375
34,110.32422
35,107.67969
36,105.14453
37,102.72656
38,100.41797
39,98.19922
40,96.078125
41,94.046875
42,92.10547
43,90.234375
44,88.44141
45,86.71875
46,85.06641
47,83.47656
48,81.94531
49,80.47266
50,79.0625
51,77.69531
52,76.37891
