,0
0,12426.066
1,12426.066
2,12426.066
3,12426.066
4,12903.9375
5,12962.016
6,12978.636
7,12953.633
8,12798.6045
9,12680.798
10,12671.5625
11,12596.85
12,12555.573
13,12372.363
14,12267.736
15,12378.634
16,12680.798
17,12808.735
18,12608.269
19,12733.151
20,12799.339
21,12843.543
22,12717.014
23,12374.113
24,12226.121
25,12353.986
26,12248.815
27,12280.111
28,12297.44
29,12290.159
30,12269.338
31,12194.571
32,12271.812
33,12280.693
34,11801.068
35,11915.533
36,12022.232
37,12164.349
38,12297.588
39,12366.528
40,12428.987
41,12962.898
42,13092.108
43,13221.447
44,13402.0625
45,13549.887
46,13713.379
47,13883.933
48,14212.048
49,14355.839
50,14430.828
51,14459.339
52,14678.75
53,14632.421
54,14666.879
55,14570.361
56,14315.971
57,14074.146
58,13939.39
59,13608.907
60,13462.691
61,13353.099
62,13226.754
63,13299.277
64,13411.208
65,13494.114
66,13620.269
67,13730.791
68,13895.438
69,14032.578
70,14208.218
71,14424.064
72,14576.526
73,14625.526
74,14516.041
75,14340.246
76,14177.878
77,13787.153
78,12930.84
79,11919.143
80,11135.356
81,10781.695
82,10400.645
83,9908.28
84,9574.135
85,9728.934
86,9931.865
87,9993.308
88,9677.044
89,9430.461
90,9412.825
91,9459.826
92,9555.012
93,9526.571
94,9503.048
95,9822.441
96,10182.76
97,10329.913
98,10545.007
99,10773.11
100,11670.908
101,12973.194
102,13889.537
103,14637.406
104,15843.241
105,16977.08
106,17704.117
107,17492.846
108,15978.1
109,14910.109
110,14389.077
111,13811.645
112,13183.282
113,12686.66
114,12944.661
115,14534.252
116,16011.343
117,17078.281
118,17444.498
119,17673.541
120,17991.953
121,18159.988
122,18004.91
123,17652.863
124,17035.037
125,16810.094
126,16726.705
127,16593.527
128,16440.744
129,16278.004
130,16177.098
131,16214.124
132,16146.852
133,16299.506
134,16476.059
135,16206.749
136,15987.661
137,15946.679
138,15853.412
139,15660.153
140,15240.073
141,14896.227
142,15011.846
143,14910.837
144,14820.787
145,14632.567
146,14792.989
147,15002.074
148,15211.887
149,14899.005
150,14574.911
151,14459.339
152,14671.715
153,14339.068
154,14057.935
155,13613.48
156,13691.835
157,14120.568
158,14100.97
159,13881.867
160,13992.919
161,14309.348
162,14818.591
163,15208.981
164,15624.013
165,16118.854
166,16442.572
167,16862.865
168,16993.516
169,17020.973
170,17212.918
171,17318.904
172,17425.512
173,17547.297
174,16847.322
175,16701.738
176,15755.322
177,15222.207
178,14625.526
179,14364.369
180,14198.6455
181,14884.536
182,15173.654
183,16255.497
184,16787.29
185,17243.557
186,17328.713
187,17500.281
188,17784.787
189,17849.852
190,17841.73
191,17752.984
192,17783.586
193,17702.51
194,17180.592
195,16666.271
196,16363.36
197,15966.818
198,15543.126
199,15236.15
200,15105.987
201,15331.931
202,15404.511
203,15091.716
204,14952.0205
205,14954.21
206,14696.775
207,14293.162
208,14006.1875
209,13664.832
210,13596.365
211,13384.511
212,13216.4375
213,13148.366
214,13201.407
215,13275.691
216,13029.988
217,12949.222
218,13123.477
219,13213.491
220,13260.213
221,13324.049
222,13247.534
223,13333.338
224,13208.774
225,12773.796
226,12401.835
227,12184.833
228,12127.18
229,12253.327
230,12609.589
231,12826.944
232,13144.096
233,13460.626
234,13684.016
235,13686.819
236,13541.327
237,13230.881
238,13256.525
239,13272.002
240,13330.98
241,13273.92
242,13243.998
243,13213.194
244,13280.85
245,13348.823
246,13266.845
247,13297.511
248,13216.142
249,13158.237
250,13158.825
251,13100.501
252,13055.891
253,13072.968
254,13101.679
255,13087.103
256,13223.071
257,13299.866
258,13335.257
259,13372.122
260,13423.45
261,13324.491
262,13455.609
263,13394.688
264,13378.76
265,13219.09
266,12567.572
267,12650.164
268,12476.899
269,12290.741
270,12603.731
271,12738.578
272,12906.73
273,13734.922
274,13852.363
275,14104.95
276,14211.752
277,14037.298
278,13977.438
279,14115.265
280,13972.571
281,13973.751
282,14014.594
283,14037.592
284,14009.284
285,14037.001
286,14007.368
287,13973.159
288,13832.3
289,13869.18
290,13757.349
291,13660.258
292,13649.043
293,13570.543
294,13607.433
295,13998.816
296,13990.561
297,14332.448
298,14211.456
299,14328.624
300,14335.979
301,14211.898
302,14014.74
303,14027.861
304,13809.433
305,13931.72
306,13919.332
307,13918.742
308,13947.648
309,13887.62
310,13963.428
311,13876.703
312,13955.316
313,13953.547
314,13873.606
315,14026.388
316,14131.179
317,14061.177
318,14211.456
319,14324.505
320,14472.563
321,14444.792
322,14277.267
323,14120.717
324,14154.75
325,14280.063
326,14320.975
327,14369.223
328,14482.259
329,14370.695
330,14405.3955
331,14296.987
332,13889.242
333,13532.034
334,13148.072
335,13034.107
336,13208.4795
337,13120.676
338,13195.956
339,13519.492
340,13883.785
341,13989.822
342,13910.039
343,13914.022
344,14014.594
345,14135.747
346,14345.837
347,14409.218
348,14307.29
349,14246.795
350,14540.71
351,14749.656
352,14906.017
353,15254.886
354,14900.319
355,14755.953
356,15131.462
357,14550.839
358,14036.8545
359,13380.089
360,12562.889
361,11995.748
362,11858.833
363,11939.219
364,12115.57
365,12152.149
366,11893.016
367,11617.756
368,12297.296
369,12148.2295
370,11166.186
371,11066.796
372,11043.52
373,11126.353
374,10942.828
375,10637.607
376,11000.951
377,11475.575
378,10690.555
379,10689.314
380,10997.944
381,11071.355
382,10506.931
383,10282.852
384,10359.282
385,10741.153
386,10974.735
387,10779.549
388,10782.457
389,11124.876
390,10751.593
391,10641.39
392,10609.78
393,9802.042
394,9546.037
395,9130.777
396,9133.498
397,9289.7295
398,9036.705
399,8554.24
400,8920.781
401,8822.072
402,8878.028
403,8880.5625
