,0
0,11748.568
1,11964.103
2,12167.614
3,12363.835
4,12555.569
5,12739.228
6,12862.508
7,12822.382
8,12736.431
9,12648.63
10,12584.053
11,12511.209
12,12414.105
13,12329.124
14,12305.225
15,12392.181
16,12527.016
17,12603.028
18,12626.893
19,12649.37
20,12682.56
21,12666.875
22,12557.243
23,12395.383
24,12260.98
25,12205.176
26,12203.775
27,12201.684
28,12205.994
29,12202.206
30,12184.582
31,12175.844
32,12140.494
33,12031.597
34,11924.31
35,11894.226
36,11961.162
37,12078.314
38,12203.218
39,12334.584
40,12506.535
41,12740.881
42,12979.001
43,13153.843
44,13311.181
45,13478.995
46,13653.395
47,13851.304
48,14052.481
49,14209.902
50,14322.587
51,14423.914
52,14504.2705
53,14541.719
54,14512.919
55,14393.789
56,14204.734
57,14003.577
58,13801.644
59,13601.245
60,13420.092
61,13289.933
62,13218.586
63,13224.572
64,13309.463
65,13422.989
66,13542.565
67,13675.153
68,13811.72
69,13959.738
70,14126.944
71,14295.281
72,14417.522
73,14447.652
74,14385.399
75,14238.863
76,13964.611
77,13472.202
78,12750.1
79,11947.815
80,11258.918
81,10736.092
82,10309.577
83,9952.893
84,9736.186
85,9700.682
86,9766.542
87,9770.255
88,9656.067
89,9506.172
90,9422.036
91,9423.298
92,9447.051
93,9485.746
94,9599.286
95,9802.716
96,10045.51
97,10275.628
98,10544.515
99,11012.397
100,11781.284
101,12747.596
102,13732.614
103,14719.166
104,15725.202
105,16595.182
106,17013.918
107,16764.3
108,15986.166
109,15071.667
110,14319.571
111,13715.68
112,13221.498
113,13058.415
114,13481.856
115,14476.78
116,15674.22
117,16605.22
118,17166.074
119,17495.309
120,17710.557
121,17802.666
122,17692.248
123,17389.984
124,17031.783
125,16744.877
126,16567.955
127,16443.502
128,16319.015
129,16191.456
130,16093.61
131,16059.958
132,16104.074
133,16172.367
134,16176.045
135,16086.611
136,15944.287
137,15806.447
138,15661.412
139,15452.152
140,15198.454
141,14984.122
142,14855.6455
143,14782.35
144,14704.884
145,14680.12
146,14753.304
147,14875.198
148,14904.256
149,14769.377
150,14583.77
151,14465.842
152,14365.162
153,14197.467
154,13959.016
155,13786.829
156,13774.586
157,13858.497
158,13910.894
159,13920.409
160,14022.817
161,14309.038
162,14702.606
163,15131.227
164,15543.721
165,15932.149
166,16306.234
167,16596.64
168,16792.9
169,16927.094
170,17037.762
171,17147.332
172,17191.57
173,17079.986
174,16797.791
175,16319.442
176,15747.065
177,15160.953
178,14679.041
179,14417.877
180,14436.66
181,14759.376
182,15324.097
183,15960.855
184,16539.98
185,16930.863
186,17183.81
187,17372.252
188,17515.104
189,17601.168
190,17619.344
191,17596.4
192,17527.248
193,17337.344
194,17018.676
195,16623.287
196,16217.2705
197,15830.523
198,15486.393
199,15249.05
200,15151.339
201,15160.114
202,15146.0625
203,15044.391
204,14906.703
205,14748.203
206,14525.547
207,14228.985
208,13924.692
209,13668.384
210,13469.65
211,13323.209
212,13204.123
213,13134.873
214,13114.917
215,13068.185
216,12999.034
217,12980.029
218,13029.093
219,13110.182
220,13174.902
221,13208.956
222,13204.764
223,13142.6875
224,12982.8955
225,12701.97
226,12399.846
227,12202.571
228,12165.291
229,12286.616
230,12507.486
231,12775.1045
232,13053.942
233,13311.871
234,13481.061
235,13506.059
236,13410.454
237,13282.066
238,13202.919
239,13193.816
240,13200.702
241,13189.569
242,13167.226
243,13170.628
244,13200.97
245,13217.488
246,13209.769
247,13179.188
248,13133.337
249,13089.604
250,13057.917
251,13036.202
252,13008.534
253,12999.492
254,13015.535
255,13052.633
256,13119.246
257,13193.368
258,13256.12
259,13284.895
260,13293.784
261,13310.955
262,13316.021
263,13303.041
264,13201.108
265,12973.305
266,12727.9375
267,12523.372
268,12408.283
269,12409.211
270,12508.783
271,12718.98
272,13041.23
273,13420.874
274,13745.977
275,13924.38
276,14002.506
277,13996.405
278,13960.873
279,13948.847
280,13930.845
281,13903.849
282,13905.753
283,13925.218
284,13937.204
285,13939.723
286,13919.263
287,13855.627
288,13789.698
289,13725.228
290,13662.422
291,13606.329
292,13563.631
293,13571.205
294,13655.689
295,13802.066
296,13972.183
297,14085.718
298,14161.771
299,14196.776
300,14175.182
301,14107.099
302,14002.207
303,13898.962
304,13832.599
305,13803.947
306,13820.044
307,13829.622
308,13837.768
309,13850.134
310,13842.8545
311,13838.234
312,13835.492
313,13835.558
314,13867.224
315,13927.977
316,13993.673
317,14052.521
318,14127.516
319,14226.225
320,14284.38
321,14275.906
322,14206.351
323,14131.155
324,14117.907
325,14156.949
326,14221.93
327,14283.395
328,14314.539
329,14320.288
330,14256.562
331,14072.009
332,13777.12
333,13452.286
334,13205.241
335,13079.175
336,13059.36
337,13113.193
338,13227.673
339,13442.122
340,13679.366
341,13815.573
342,13855.434
343,13872.129
344,13939.266
345,14061.787
346,14190.216
347,14254.007
348,14251.142
349,14305.452
350,14438.778
351,14625.083
352,14822.721
353,14902.706
354,14872.407
355,14815.179
356,14689.649
357,14383.973
358,13865.044
359,13248.524
360,12613.777
361,12130.231
362,11941.483
363,11925.997
364,11942.257
365,11912.883
366,11855.461
367,11885.062
368,11896.645
369,11719.782
370,11396.322
371,11108.908
372,10977.433
373,10919.74
374,10880.814
375,10884.37
376,10916.093
377,10917.965
378,10855.798
379,10801.755
380,10813.976
381,10743.764
382,10564.511
383,10404.371
384,10407.58
385,10580.157
386,10745.437
387,10809.108
388,10823.211
389,10798.943
390,10726.206
391,10551.195
392,10254.758
393,9884.863
394,9517.475
395,9282.888
396,9165.385
397,9068.499
398,8930.974
399,8810.431
400,8779.077
401,8816.262
402,8870.628
403,8975.53
404,9095.629
405,9180.425
406,9248.462
407,9280.749
408,9265.635
409,9277.449
410,9349.404
411,9510.054
412,9784.376
413,10133.478
414,10526.179
415,10882.512
416,11171.466
417,11306.264
418,11329.945
419,11410.321
420,11499.733
421,11484.857
422,11483.594
423,11617.128
424,11956.085
425,12362.804
426,12746.6875
427,13161.55
428,13670.727
429,14166.263
430,14381.215
431,14202.981
432,13782.66
433,13153.962
434,12376.124
435,11543.036
436,10795.851
437,10215.07
438,9809.718
439,9590.872
440,9563.515
441,9662.421
442,9902.696
443,10209.849
444,10491.384
445,10692.809
446,10817.545
447,10938.892
448,11080.585
449,11183.108
450,11212.331
451,11225.161
452,11435.642
453,11933.191
454,12644.395
455,13530.133
456,14559.809
457,15705.002
458,16812.797
459,17689.049
460,18165.256
461,18109.465
462,17536.285
463,16605.082
464,15585.651
465,14863.322
466,14670.96
467,14992.699
468,15678.735
469,16597.598
470,17572.771
471,18398.523
472,18921.266
473,19041.158
474,18811.617
475,18476.115
476,18210.383
477,18000.754
478,17763.908
479,17459.285
480,17134.564
481,16913.135
482,16792.246
483,16670.19
484,16543.129
485,16443.305
486,16368.886
487,16309.563
488,16257.437
489,16218.53
490,16161.678
491,16030.331
492,15809.948
493,15570.057
494,15390.525
495,15249.836
496,15096.271
497,14941.332
498,14874.799
499,14932.213
500,15015.994
501,15020.829
502,14930.444
503,14813.906
504,14665.158
505,14422.521
506,14121.808
507,13896.451
508,13814.902
509,13783.96
510,13674.881
511,13539.703
512,13454.638
513,13456.36
514,13497.467
515,13522.465
516,13574.037
517,13750.267
518,14041.722
519,14346.715
520,14573.141
521,14747.801
522,14911.743
523,15048.91
524,15133.108
525,15186.456
526,15284.399
527,15440.352
528,15513.239
529,15357.03
530,15080.5625
531,14873.445
532,14787.337
533,14726.097
534,14676.999
535,14779.6875
536,15182.772
537,15803.197
538,16407.793
539,16833.617
540,17153.844
541,17415.123
542,17597.21
543,17682.766
544,17717.484
545,17753.348
546,17794.29
547,17827.656
548,17821.426
549,17825.021
550,17864.99
551,17911.418
552,17940.318
553,17973.617
554,18000.14
555,17989.338
556,17796.482
557,17241.76
558,16502.615
559,15825.964
560,15340.031
561,14979.331
562,14646.563
563,14462.553
564,14572.928
565,14899.479
566,15174.436
567,15151.411
568,14967.599
569,14759.303
570,14611.557
571,14561.672
572,14514.222
573,14464.246
