,0
0,13997.299
1,13997.299
2,13997.299
3,12488.557
4,12974.188
5,13033.242
6,13050.142
7,13024.718
8,12867.095
9,12747.337
10,12737.952
11,12662.023
12,12620.086
13,12434.04
14,12327.89
15,12440.407
16,12747.337
17,12877.395
18,12673.63
19,12800.554
20,12867.839
21,12912.783
22,12784.15
23,12435.816
24,12285.689
25,12415.391
26,12308.7
27,12340.44
28,12358.019
29,12350.632
30,12329.513
31,12253.705
32,12332.021
33,12341.031
34,11855.639
35,11971.25
36,12079.16
37,12223.075
38,12358.166
39,12428.119
40,12491.521
41,13034.139
42,13165.514
43,13296.991
44,13480.509
45,13630.592
46,13796.429
47,13969.201
48,14300.78
49,14445.692
50,14521.155
51,14549.825
52,14770.06
53,14723.617
54,14758.16
55,14661.356
56,14405.54
57,14161.569
58,14025.325
59,13690.481
60,13542.077
61,13430.7705
62,13302.385
63,13376.088
64,13489.796
65,13573.981
66,13702.007
67,13814.078
68,13980.847
69,14119.5625
70,14296.919
71,14514.3545
72,14667.543
73,14716.705
74,14606.8125
75,14429.992
76,14266.308
77,13871.193
78,13001.544
79,11974.898
80,11187.377
81,10836.131
82,10461.516
83,9984.667
84,9666.538
85,9813.313
86,10007.299
87,10066.365
88,9763.995
89,9531.298
90,9514.765
91,9558.858
92,9648.481
93,9621.658
94,9599.502
95,9902.484
96,10249.405
97,10392.48
98,10602.922
99,10827.644
100,11724.392
101,13044.608
102,13974.875
103,14728.617
104,15924.08
105,17016.863
106,17698.266
107,17501.916
108,16055.813
109,15001.44
110,14479.148
111,13896.005
112,13258.2
113,12753.298
114,13015.597
115,14625.101
116,16088.219
117,17112.666
118,17456.791
119,17669.934
120,17963.504
121,18117.125
122,17975.377
123,17650.758
124,17071.766
125,16858.137
126,16778.57
127,16651.096
128,16504.25
129,16347.143
130,16249.378
131,16285.28
132,16220.023
133,16367.939
134,16538.25
135,16278.135
136,16065.136
137,16025.161
138,15934.03
139,15744.54
140,15329.765
141,14987.586
142,15102.893
143,15002.169
144,14912.219
145,14723.765
146,14884.423
147,15093.157
148,15301.802
149,14990.355
150,14665.924
151,14549.825
152,14763.009
153,14428.806
154,14145.1875
155,13695.122
156,13774.587
157,14208.458
158,14188.665
159,13967.111
160,14079.469
161,14398.869
162,14910.026
163,15298.917
164,15709.009
165,16192.827
166,16506.014
167,16908.383
168,17032.441
169,17058.451
170,17239.648
171,17339.229
172,17439.047
173,17552.654
174,16893.592
175,16754.71
176,15837.961
177,15312.038
178,14716.705
179,14454.28
180,14287.262
181,14975.913
182,15263.843
183,16325.358
184,16836.395
185,17268.473
186,17348.428
187,17508.852
188,17772.863
189,17832.885
190,17825.398
191,17743.479
192,17771.754
193,17696.773
194,17209.213
195,16720.787
196,16429.633
197,16044.8125
198,15629.377
199,15325.874
200,15196.598
201,15420.782
202,15492.576
203,15182.401
204,15043.259
205,15045.442
206,14788.12
207,14382.561
208,14092.886
209,13747.206
210,13677.757
211,13462.68
212,13291.9
213,13222.706
214,13276.622
215,13352.118
216,13102.354
217,13020.233
218,13197.401
219,13288.904
220,13336.389
221,13401.257
222,13323.505
223,13410.694
224,13284.11
225,12841.872
226,12463.956
227,12243.837
228,12185.417
229,12313.275
230,12674.97
231,12895.907
232,13218.365
233,13539.98
234,13766.658
235,13769.501
236,13621.907
237,13306.578
238,13332.644
239,13348.373
240,13408.297
241,13350.32
242,13319.91
243,13288.604
244,13357.361
245,13426.425
246,13343.13
247,13374.289
248,13291.6
249,13232.74
250,13233.339
251,13174.045
252,13128.691
253,13146.053
254,13175.244
255,13160.424
256,13298.64
257,13376.687
258,13412.642
259,13450.097
260,13502.23
261,13401.706
262,13534.888
263,13473.019
264,13456.838
265,13294.596
266,12632.277
267,12716.205
268,12540.174
269,12351.222
270,12669.018
271,12806.071
272,12977.027
273,13818.266
274,13937.242
275,14192.683
276,14300.483
277,14124.331
278,14063.811
279,14203.101
280,14058.889
281,14060.082
282,14101.382
283,14124.63
284,14096.016
285,14124.034
286,14094.079
287,14059.486
288,13916.924
289,13954.269
290,13840.995
291,13742.566
292,13731.193
293,13651.557
294,13688.983
295,14085.432
296,14077.082
297,14422.139
298,14300.187
299,14418.286
300,14425.695
301,14300.631
302,14101.53
303,14114.795
304,13893.764
305,14017.566
306,14005.03
307,14004.433
308,14033.681
309,13972.935
310,14049.643
311,13961.885
312,14041.438
313,14039.647
314,13958.748
315,14113.304
316,14219.169
317,14148.465
318,14300.187
319,14414.137
320,14563.119
321,14535.197
322,14366.542
323,14208.606
324,14242.967
325,14369.361
326,14410.579
327,14459.168
328,14572.866
329,14460.646
330,14495.571
331,14386.416
332,13974.577
333,13612.473
334,13222.407
335,13106.543
336,13283.812
337,13194.557
338,13271.079
339,13599.743
340,13969.053
341,14076.337
342,13995.627
343,13999.657
344,14101.382
345,14223.781
346,14435.621
347,14499.417
348,14396.794
349,14335.824
350,14631.586
351,14841.069
352,14997.357
353,15344.454
354,14991.67
355,14847.372
356,15221.926
357,14641.76
358,14123.884
359,13458.1875
360,12627.52
361,12052.364
362,11913.96
363,11995.193
364,12173.658
365,12210.714
366,11948.493
367,11670.865
368,12357.87
369,12206.741
370,11218.139
371,11119.049
372,11095.875
373,11178.399
374,10995.778
375,10693.968
376,11053.528
377,11527.915
378,10746.139
379,10744.915
380,11050.538
381,11123.59
382,10565.5625
383,10346.642
384,10421.125
385,10796.071
386,11027.472
387,10834.008
388,10836.884
389,11176.927
390,10806.382
391,10697.692
392,10666.581
393,9883.0
394,9640.012
395,9252.496
396,9255.007
397,9399.801
398,9165.955
399,8730.233
400,9059.994
401,8970.383
402,9021.112
403,9023.414
404,9296.292
405,9433.931
406,9426.892
407,9385.51
408,9441.153
409,9442.563
410,9425.659
411,9530.226
412,9805.401
413,10539.944
414,10384.047
415,11039.486
416,11556.769
417,11662.941
418,11261.076
419,11350.404
420,11778.7705
421,11907.409
422,11148.556
423,11718.253
424,12117.276
425,12626.256
426,12876.946
427,13008.12
428,13705.301
429,14822.158
430,14793.623
431,14603.27
432,13982.115
433,13526.648
434,12439.963
435,11624.662
436,10701.011
437,10336.214
438,9869.04
439,9718.164
440,9503.845
441,9935.061
442,9764.609
443,10321.345
444,10711.989
445,10823.949
446,11091.69
447,11105.504
448,11063.269
449,11554.045
450,11318.336
451,10994.255
452,11426.524
453,11951.265
454,12858.138
455,13619.512
456,14581.429
457,15780.013
458,17140.08
459,18012.377
460,18617.273
461,18727.693
462,17962.533
463,16774.041
464,15663.338
465,14445.692
466,14493.649
467,15030.733
468,15629.66
469,16797.605
470,17940.078
471,18568.22
472,19319.297
473,19452.582
474,18895.91
475,18430.246
476,18391.668
477,18213.635
478,18062.717
479,17646.146
480,17154.223
481,16994.973
482,16997.201
483,16862.639
484,16726.803
485,16738.158
486,16530.943
487,16493.262
488,16502.623
489,16229.399
490,16325.222
491,16474.39
492,16061.936
493,15691.29
494,15578.405
495,15432.118
496,15329.188
497,15019.077
498,14819.371
499,15216.283
500,15421.069
501,15191.819
502,15148.044
503,14963.215
504,14841.802
505,14775.933
506,14246.684
507,13863.72
508,14070.224
509,13954.717
510,13994.283
511,13545.372
512,13458.937
513,13617.415
514,13874.632
515,13610.825
516,13651.557
517,13752.144
518,14269.726
519,14551.007
520,14805.436
521,14962.775
522,15113.208
523,15273.953
524,15350.788
525,15416.907
526,15293.869
527,15629.233
528,15962.449
529,15861.6
530,15002.461
531,14910.465
532,14982.04
533,15059.998
534,14743.907
535,14656.644
536,15103.33
537,16268.92
538,16711.021
539,17037.674
540,17278.88
541,17692.553
542,17803.037
543,17931.936
544,17861.188
545,17976.59
546,17926.46
547,18039.021
548,17913.68
549,18046.004
550,17998.246
551,18059.111
552,18150.785
553,18062.234
554,18168.643
555,18245.332
556,18136.951
557,17918.307
558,16323.029
559,15763.768
560,15548.881
561,15173.854
562,14830.369
563,14472.49
564,14209.053
565,15526.6045
566,15538.745
567,15371.218
568,15143.838
569,14945.981
570,14775.494
571,14615.661
572,14492.614
573,13997.299
