,0
0,13869.978
1,13869.978
2,13869.978
3,12566.226
4,13037.206
5,13094.331
6,13110.674
7,13086.088
8,12933.545
9,12817.511
10,12808.411
11,12734.76
12,12694.05
13,12513.176
14,12409.745
15,12519.373
16,12817.511
17,12943.518
18,12746.0205
19,12869.09
20,12934.268
21,12977.781
22,12853.193
23,12514.905
24,12368.572
25,12495.019
26,12391.027
27,12421.981
28,12439.121
29,12431.919
30,12411.328
31,12337.349
32,12413.774
33,12422.559
34,11946.973
35,12060.714
36,12166.599
37,12307.428
38,12439.266
39,12507.409
40,12569.111
41,13095.198
42,13222.207
43,13349.245
44,13526.496
45,13671.456
46,13831.682
47,13998.736
48,14319.928
49,14460.637
50,14534.01
51,14561.906
52,14776.58
53,14731.251
54,14764.965
55,14670.531
56,14421.624
57,14184.964
58,14053.039
59,13729.31
60,13585.962
61,13478.459
62,13354.455
63,13425.646
64,13535.468
65,13616.776
66,13740.444
67,13848.74
68,14010.003
69,14144.274
70,14316.182
71,14527.394
72,14676.562
73,14724.507
74,14617.384
75,14445.378
76,14286.488
77,13903.955
78,13063.671
79,12064.299
80,11281.884
81,10925.631
82,10539.059
83,10034.689
84,9688.784
85,9849.422
86,10058.987
87,10122.222
88,9795.653
89,9539.05
90,9520.627
91,9569.705
92,9668.89
93,9639.284
94,9614.778
95,9946.127
96,10316.59
97,10466.96
98,10685.87
99,10916.953
100,11817.432
101,13105.323
102,14004.225
103,14736.13
104,15917.094
105,17032.662
106,17752.3
107,17542.768
108,16049.434
109,15002.968
110,14493.157
111,13927.942
112,13311.768
113,12823.288
114,13077.265
115,14635.202
116,16082.071
117,17132.604
118,17494.867
119,17721.953
120,18038.346
121,18205.66
122,18051.234
123,17701.434
124,17089.889
125,16867.904
126,16785.693
127,16654.488
128,16504.096
129,16344.041
130,16244.87
131,16281.255
132,16215.155
133,16365.183
134,16538.846
135,16274.006
136,16058.822
137,16018.596
138,15927.072
139,15737.535
140,15325.962
141,14989.383
142,15102.539
143,15003.68
144,14915.561
145,14731.3955
146,14888.358
147,15092.971
148,15298.364
149,14992.101
150,14674.983
151,14561.906
152,14769.696
153,14444.228
154,14169.093
155,13733.791
156,13810.574
157,14230.399
158,14211.217
159,13996.714
160,14105.448
161,14415.146
162,14913.412
163,15295.519
164,15702.105
165,16187.652
166,16505.895
167,16919.95
168,17048.887
169,17076.0
170,17265.674
171,17370.52
172,17476.06
173,17596.736
174,16904.62
175,16761.088
176,15830.852
177,15308.467
178,14724.507
179,14468.983
180,14306.815
181,14977.944
182,15260.93
183,16321.917
184,16845.414
185,17295.977
186,17380.227
187,17550.135
188,17832.396
189,17897.041
190,17888.969
191,17800.81
192,17831.203
193,17750.703
194,17233.713
195,16726.143
196,16427.973
197,16038.364
198,15622.824
199,15322.12
200,15194.686
201,15415.917
202,15487.009
203,15180.715
204,15043.985
205,15046.128
206,14794.22
207,14399.307
208,14118.438
209,13784.114
210,13717.017
211,13509.279
212,13344.324
213,13277.478
214,13329.567
215,13402.494
216,13161.159
217,13081.748
218,13253.024
219,13341.431
220,13387.302
221,13449.954
222,13374.856
223,13459.07
224,13336.802
225,12909.118
226,12542.293
227,12327.709
228,12270.617
229,12395.491
230,12747.321
231,12961.443
232,13273.281
233,13583.936
234,13802.912
235,13805.659
236,13663.065
237,13358.506
238,13383.682
239,13398.875
240,13456.757
241,13400.758
242,13371.383
243,13341.141
244,13407.558
245,13474.265
246,13393.8125
247,13423.909
248,13344.035
249,13287.17
250,13287.748
251,13230.455
252,13186.619
253,13203.399
254,13231.612
255,13217.29
256,13350.837
257,13426.224
258,13460.952
259,13497.125
260,13547.477
261,13450.39
262,13579.017
263,13519.264
264,13503.636
265,13346.929
266,12705.887
267,12787.321
268,12616.418
269,12432.495
270,12741.546
271,12874.435
272,13039.953
273,13852.79
274,13967.822
275,14215.112
276,14319.641
277,14148.892
278,14090.29
279,14225.208
280,14085.525
281,14086.682
282,14126.666
283,14149.18
284,14121.469
285,14148.602
286,14119.594
287,14086.104
288,13948.173
289,13984.291
290,13874.758
291,13779.633
292,13768.644
293,13691.706
294,13727.862
295,14111.221
296,14103.138
297,14437.748
298,14319.352
299,14434.008
300,14441.205
301,14319.783
302,14126.81
303,14139.653
304,13925.774
305,14045.53
306,14033.399
307,14032.821
308,14061.124
309,14002.348
310,14076.576
311,13991.657
312,14068.634
313,14066.901
314,13988.624
315,14138.212
316,14240.783
317,14172.267
318,14319.352
319,14429.976
320,14574.845
321,14547.67
322,14383.752
323,14230.545
324,14263.854
325,14386.489
326,14426.521
327,14473.732
328,14584.331
329,14475.172
330,14509.126
331,14403.048
332,14003.937
333,13653.954
334,13277.187
335,13165.208
336,13336.511
337,13250.275
338,13324.213
339,13641.658
340,13998.592
341,14102.416
342,14024.301
343,14028.2
344,14126.666
345,14245.254
346,14450.849
347,14512.865
348,14413.13
349,14353.933
350,14641.5205
351,14845.958
352,14998.965
353,15340.467
354,14993.388
355,14852.12
356,15219.625
357,14651.432
358,14148.457
359,13504.939
360,12701.267
361,12140.329
362,12004.392
363,12084.23
364,12259.116
365,12295.347
366,12038.353
367,11764.468
368,12438.976
369,12291.465
370,11312.834
371,11212.995
372,11189.588
373,11272.841
374,11088.226
375,10779.81
376,11146.759
377,11622.598
378,10833.44
379,10832.185
380,11143.732
381,11217.579
382,10647.192
383,10418.926
384,10496.911
385,10884.642
386,11120.365
387,10923.461
388,10926.4
389,11271.358
390,10895.2
391,10783.642
392,10751.599
393,9925.051
394,9659.55
395,9224.605
396,9227.474
397,9391.756
398,9125.27
399,8610.587
400,9002.422
401,8897.424
402,8956.99
403,8959.687
404,9274.549
405,9430.155
406,9422.245
407,9375.643
408,9438.266
409,9439.85
410,9420.862
411,9537.856
412,9840.81
413,10620.625
414,10458.133
415,11132.54
416,11651.283
417,11756.62
418,11355.978
419,11445.511
420,11871.16
421,11997.947
422,11242.767
423,11811.362
424,12203.9375
425,12700.038
426,12943.085
427,13070.033
428,13743.625
429,14827.473
430,14799.594
431,14613.937
432,14011.23
433,13571.059
434,12518.942
435,11718.681
436,10787.058
437,10407.98
438,9909.932
439,9745.501
440,9508.442
441,9981.295
442,9796.325
443,10392.36
444,10798.351
445,10913.175
446,11185.359
447,11199.316
448,11156.617
449,11648.577
450,11413.402
451,11086.679
452,11521.579
453,12041.075
454,12924.872
455,13660.753
456,14592.667
457,15772.9375
458,17161.275
459,18091.441
460,18759.28
461,18883.428
462,18037.291
463,16781.02
464,15656.615
465,14460.637
466,14507.257
467,15031.695
468,15623.106
469,16805.336
470,18012.94
471,18704.355
472,19561.291
473,19717.105
474,19073.955
475,18550.615
476,18507.824
477,18311.408
478,18146.26
479,17696.5
480,17176.074
481,17009.877
482,17012.197
483,16872.562
484,16732.338
485,16744.033
486,16531.375
487,16492.873
488,16502.434
489,16224.645
490,16321.777
491,16473.61
492,16055.6
493,15684.451
494,15572.165
495,15427.132
496,15325.394
497,15020.263
498,14824.751
499,15214.067
500,15416.2
501,15189.981
502,15146.917
503,14965.5
504,14846.676
505,14782.318
506,14267.461
507,13896.7295
508,14096.497
509,13984.725
510,14023.003
511,13589.145
512,13505.661
513,13658.727
514,13907.279
515,13652.362
516,13691.706
517,14563.057
518,14811.134
519,14965.07
520,15112.673
521,15270.895
522,15346.724
523,15412.083
524,15290.536
525,15622.685
526,15955.587
527,15854.505
528,15003.968
529,14913.843
530,14983.951
531,15060.414
532,14751.05
533,14665.935
534,15102.966
535,16264.668
536,16716.092
537,17054.336
538,17306.926
539,17746.178
540,17864.871
541,18004.111
542,13869.978
