"","Data","Trend","Remainder"
"1",8415,9562.6708923077,-1147.6708923077
"2",8619,9850.01678461539,-1231.01678461539
"3",9232,10137.3626769231,-905.36267692308
"4",10411,10424.7085692308,-13.7085692307737
"5",10965,10712.0544615385,252.945538461536
"6",9497,10999.4003538462,-1502.40035384616
"7",9231,11286.7462461538,-2055.74624615385
"8",10885,11574.0921384615,-689.092138461541
"9",11339,11861.4380307692,-522.438030769234
"10",10325,12148.7839230769,-1823.78392307692
"11",11992,12436.1298153846,-444.129815384616
"12",12622,12723.4757076923,-101.475707692309
"13",15861,13010.8216,2850.1784
"14",18178,13276.0816615385,4901.91833846154
"15",17100,13528.4629846154,3571.53701538461
"16",16421,13768.3143692308,2652.68563076923
"17",18633,13997.0662153846,4635.93378461539
"18",20043,14210.4081230769,5832.59187692308
"19",17963,14407.3480923077,3555.65190769231
"20",14292,14590.6589230769,-298.65892307692
"21",7298,14764.7710153846,-7466.77101538461
"22",9712,14945.1355692308,-5233.13556923076
"23",12867,15126.7941846154,-2259.79418461538
"24",14714,15299.9884615385,-585.98846153846
"25",15783,15461.5792,321.4208
"26",14585,15613.1248,-1028.1248
"27",16049,15756.336,292.663999999999
"28",18086,15884.3008,2201.6992
"29",19899,15993.248,3905.752
"30",20476,16079.0384,4396.9616
"31",17395,16141.0448,1253.9552
"32",17481,16184.2192,1296.7808
"33",16975,16211.2512,763.748799999999
"34",17325,16224.1968,1100.8032
"35",16908,16223.9168,684.083199999999
"36",17257,16212.4272,1044.5728
"37",15937,16191.0704,-254.070400000002
"38",15770,16159.6704,-389.670400000003
"39",16882,16121.28,760.719999999998
"40",16022,16081.72,-59.720000000003
"41",16237,16043.3824,193.617599999998
"42",15755,15999.808,-244.808000000003
"43",16545,15958.952,586.047999999999
"44",16198,15918.568,279.431999999999
"45",15296,15876.7008,-580.700800000001
"46",17959,15831.5008,2127.4992
"47",17274,15764.064,1509.936
"48",14330,15679.6448,-1349.6448
"49",14215,15591.6096,-1376.6096
"50",16258,15508.3872,749.612800000001
"51",15546,15425.2912,120.7088
"52",13950,15341.6768,-1391.6768
"53",15054,15266.4368,-212.436799999999
"54",14914,15201.048,-287.047999999999
"55",15122,15146.1888,-24.1887999999981
"56",13523,15102.1648,-1579.1648
"57",15642,15070.968,571.032000000001
"58",14261,15044.904,-783.903999999997
"59",15045,15028.4928,16.5072000000036
"60",16485,15020.2352,1464.7648
