"","x"
"1",4.8584005697348
"2",2.33075955719136
"3",2.04391938707986
"4",2.56322641145894
"5",2.54585762016819
"6",0.767917385426148
"7",-4.29944824117509
"8",-17.3855152813086
"9",161.248554967309
"10",-1046.62933654085
"11",-17.8910445539636
"12",-150.296915238604
"13",3279.21827689601
"14",3178.97971282774
"15",42.6433294005292
"16",-254.917404536119
"17",1864.69862163707
"18",713.531300270408
"19",-1525.26016777605
"20",-4268.74287125293
"21",-8760.67048545289
"22",-2918.76023069771
"23",-103.052593428088
"24",479.248846382606
"25",-121.708192159079
"26",-741.860777870317
"27",1491.36172422911
"28",3695.71688146037
"29",2576.48955622822
"30",1615.8871620774
"31",-2407.03379321379
"32",-1834.29740317771
"33",-1261.35775830412
"34",-502.786195271431
"35",-200.799368970223
"36",-943.838986080796
"37",-2338.8552914211
"38",-1448.96587741701
"39",-1068.77229024705
"40",-1068.58856098822
"41",-466.108313798807
"42",-240.682662269767
"43",-367.451025577864
"44",-900.63445170192
"45",-1366.60120064286
"46",701.933123821287
"47",-72.5340897994777
"48",-2666.11002530179
"49",-673.742811031255
"50",214.361451928181
"51",-989.025411726488
"52",-1822.89359141973
"53",-1187.4145297019
"54",-455.607217303295
"55",141.137683329131
"56",-997.273336668227
"57",591.570161577162
"58",-1415.73078978558
"59",506.03975822151
"60",78.8500234499621
"61",523.568168653561
"62",-2666.54005099768
"63",-1962.41873478336
"64",850.340359223839
"65",799.286147737044
"66",-2147.9637145125
"67",-298.209089351491
"68",-1277.78786827161
"69",185.288451716548
"70",1288.77783128922
"71",-307.959194382269
"72",-429.770724987208
"73",-498.169026848938
"74",1467.00516620239
"75",1166.29329120828
"76",762.594161230449
"77",2076.14992688969
"78",805.6653799026
"79",-869.82066812895
"80",253.572524571022
"81",-449.662261532876
"82",-290.838541694315
"83",904.24652036271
"84",1108.93848622334
"85",446.675958764698
"86",-973.02641076857
"87",-5738.27919899619
"88",907.593999738921
"89",-6375.17329210503
"90",1348.04598252078
"91",-375.802192225265
"92",2166.69918325791
"93",213.546514672846
"94",1183.01721680245
"95",1258.54576947458
"96",1011.28014522625
"97",682.530605066031
"98",339.358712114987
"99",-431.620031100959
"100",-97.1415209942394
"101",1308.80411254488
"102",-390.111786984659
"103",-231.480307929666
"104",-780.477816366818
"105",335.94835026092
"106",-1495.21851247402
"107",-3733.39387022406
"108",-450.237827760295
"109",-302.5174743187
"110",-1150.15745599721
"111",-1276.13870006916
"112",701.12100966969
"113",-134.029965024478
"114",-468.318432845745
"115",115.86674291283
"116",-2038.64185270348
"117",-558.552994528583
"118",-371.806430167332
"119",-619.701718958275
"120",-1480.55490182166
"121",-501.365194653211
"122",-551.208458903681
"123",-398.788331809328
"124",-953.87996768806
"125",62.3134025077408
"126",175.325316176162
"127",-170.738197126314
"128",354.157484802228
"129",-2048.03319244437
"130",227.853514702369
"131",757.338508939765
"132",337.611291724798
"133",333.169925943378
"134",83.3943419478417
"135",-462.149467055688
"136",-1148.72679715293
"137",-1009.01035140554
"138",-1735.91483300371
"139",-584.984875423927
"140",460.439741300772
"141",1037.31489171512
"142",1254.05108160692
"143",1389.641933006
"144",-480.854021797214
"145",-271.817249772069
"146",129.890328619005
"147",387.826671368903
"148",-374.094750537785
"149",-400.603461280902
"150",-750.778699693754
"151",569.832593545326
"152",-299.852126272741
"153",604.412118434794
"154",-207.552346459201
"155",-326.272933481614
"156",-491.015993007283
"157",-96.4504481536413
"158",790.49662516342
"159",-1056.65665188626
"160",1044.86738744177
"161",-900.350965624729
"162",-363.752855193139
"163",-240.892002522845
"164",-399.314350276778
"165",758.035645139102
"166",-653.534460553691
"167",1228.86108291127
"168",-976.152609884827
"169",659.511124340595
"170",-213.996977449232
"171",-448.348899844294
"172",707.850506062296
"173",-547.644564609521
"174",195.303380013726
"175",201.6823570538
"176",-363.611120973213
"177",-104.655167802782
"178",-1551.94097658879
"179",-3108.25416723937
"180",2551.63008252309
"181",-974.516875021008
"182",220.751735021406
"183",2815.11979494257
"184",67.9419470726239
"185",-549.347430055626
"186",1896.65642826382
"187",-26.6596587008397
"188",-110.454544970943
"189",-910.311893358977
"190",484.174511708059
"191",-353.143391990034
"192",171.932843135902
"193",151.082609401488
"194",358.851986314503
"195",-10.2196226930958
"196",-873.192531032357
"197",138.548691942112
"198",-103.731314844576
"199",-184.624601081491
"200",10.0226763944767
"201",-502.139482243477
"202",789.985646406364
"203",-1661.93594125317
"204",36.356131290436
"205",269.02312291373
"206",-489.289162050593
"207",724.797789656569
"208",2149.52575694489
"209",-640.101130713411
"210",686.977758147564
"211",-2375.33148648508
"212",1280.89503995225
"213",-1255.50972476434
"214",-323.235665492984
"215",973.614652589931
"216",118.658888567923
"217",-800.787571277684
"218",-478.22173581885
"219",815.938652549368
"220",-944.088333344871
"221",-82.1314117403817
"222",491.658710240601
"223",881.705565351724
"224",-1622.41231893569
"225",438.39045393387
"226",462.991117427517
"227",-1394.4914313732
"228",1212.52671319105
"229",613.907451011139
"230",-6.06150832995753
"231",-421.391585510729
"232",494.919867327394
"233",947.005294725565
"234",-2301.33978175096
"235",-89.2634782733147
"236",-73.3346092034308
"237",736.059147616289
"238",397.473555522988
"239",407.795758866356
"240",1096.2094482557
"241",-1717.255461078
"242",-1349.64047509075
"243",471.527518631502
"244",-277.614687225897
"245",-1954.32749366633
"246",-478.597092617644
"247",23.6960882844799
"248",-464.656323256524
"249",953.131997637911
"250",-92.4917522739967
"251",1052.31993680362
"252",249.498981548704
"253",1007.67053318111
"254",-646.146688999104
"255",-1695.35051988387
"256",808.823424636085
"257",260.907925861831
"258",1285.61766502955
"259",1030.97939764005
"260",380.811157000892
"261",-1105.66114709853
"262",-2423.20392263558
"263",2742.21564247212
"264",373.979401478581
"265",1338.9675919894
"266",2382.94517082974
"267",-3815.85800219234
"268",-1902.12000919865
"269",724.512546017507
"270",-2695.8535951009
"271",-864.859484952481
"272",-1276.80708771487
"273",-162.308634137333
"274",-3630.62380172642
"275",621.179585857871
"276",3282.4116137691
"277",-330.155661864617
"278",-285.182629080857
"279",-2567.19146143824
"280",-748.592574155003
"281",2548.44043199035
"282",-2588.02271203603
"283",-2786.85557336595
"284",2566.38202597011
"285",307.707380625798
"286",-894.097401434882
"287",-1806.74644955229
"288",1431.44609309031
"289",1626.26013069617
"290",3317.12016799189
"291",-6674.51200715719
"292",3101.15100539421
"293",717.486773900776
"294",-2185.33169889875
"295",-3063.10789480157
"296",1969.37892421097
"297",999.135836074927
"298",-1442.47198434774
"299",1131.97048746528
"300",-1994.49499943511
"301",1540.03074928215
"302",-2773.49154765715
"303",896.703181763656
"304",1143.43545069439
"305",-3580.87744873328
"306",896.022354546155
"307",-3778.26148023107
"308",3958.2546379002
"309",-763.812083353262
"310",4883.54225340891
"311",-4704.228783666
"312",1907.93812246117
"313",3644.07123734696
"314",-5591.94563684394
"315",3121.32831394845
"316",957.587332819761
"317",2908.26522187192
"318",-5075.15500221208
"319",965.115665202891
"320",-1630.55236783654
"321",-2808.1872953739
"322",2963.2891913783
"323",2457.69202543247
"324",71.4490721709008
"325",2396.17631125264
"326",-3298.7596312468
"327",4056.4467763081
"328",-2304.95069901451
"329",1286.70115884776
"330",-1767.88848023878
"331",1383.2379497614
"332",4405.86536199316
"333",-4129.82611812682
"334",-2219.95189508215
"335",6095.72119017193
"336",1521.4640748025
"337",1934.93431783615
"338",-1178.53496088358
"339",112.148611298506
"340",-4604.44870263762
"341",-407.145083783451
"342",-2953.3572300078
"343",-328.708822941668
"344",-1724.73928170189
"345",778.858193139317
"346",-700.349289596702
"347",-2010.74205492153
"348",-45.0725622508637
"349",3080.28983150679
"350",-2553.45884255089
"351",186.497624368855
"352",319.228071100353
"353",263.026178736831
"354",1411.34973704325
"355",760.066412891388
"356",1784.97517972455
"357",536.666859262298
"358",762.95545815796
"359",1736.63042400298
"360",3483.84772209112
"361",2017.26435730748
"362",3042.66545407961
"363",4687.02532996848
"364",4004.72549066517
"365",-197.83402534053
"366",186.839736342882
"367",-1630.19315595918
"368",-8030.77992658957
"369",-5181.90117609806
"370",262.443135523541
"371",61.5608459339159
"372",5955.00475019236
"373",5402.61327431807
"374",2430.96327766109
"375",-697.784469681211
"376",-638.926924189276
"377",-28.570342384375
"378",2339.37703042206
"379",1170.72466248104
"380",-2756.18874860473
"381",-967.941327142378
"382",22.9200470740174
"383",-2173.754477359
"384",-309.730714061153
"385",-295.787849771292
"386",-499.827572733231
"387",-1272.38912636481
"388",574.22606177739
"389",-69.4330600524367
"390",-1847.14345963935
"391",900.329905640691
"392",-1334.28020716035
"393",563.290471642566
"394",-647.564004125674
"395",-1035.3611319501
"396",2049.6751228579
"397",-804.824838463008
"398",-2348.4431756536
"399",-2138.03690936119
"400",1370.27877592748
"401",-671.688120941582
"402",-552.436231874175
"403",762.304865839094
"404",-453.785199199772
"405",1691.3253825121
"406",-1586.27184879047
"407",-651.575853449876
"408",-130.281884655918
"409",-1679.09841708175
"410",791.292536832999
"411",-271.202883152433
"412",-1395.8881980365
"413",-1821.07261999294
"414",2573.61447566801
"415",-942.599656623996
"416",-301.316165954137
"417",-2076.82815059272
"418",1189.25931962988
"419",328.206616298471
"420",-84.7780760987351
"421",104.161951011628
"422",412.941729768692
"423",197.57521945674
"424",1254.20438779688
"425",1112.49550805836
"426",794.234977002745
"427",-537.525933380465
"428",-42.1281474860773
"429",324.372042555054
"430",-446.717849939569
"431",854.828402530135
"432",-518.792588909148
"433",3194.51129282834
"434",225.065833343217
"435",-2301.83965387199
"436",-5782.16016249779
"437",1812.51052067125
"438",1691.66281763513
"439",368.770602616637
"440",972.475011885923
"441",1032.96937929361
"442",1318.91271153227
"443",1250.47936011803
"444",514.338871274158
"445",1711.08290497113
"446",-474.13167772405
"447",2010.14497989842
"448",-1078.98869034008
"449",753.583420199853
"450",-1067.55718966947
"451",926.198718185259
"452",28.7721718135845
"453",-73.7413176925289
"454",1085.51997500946
"455",-808.215402696094
"456",-806.60487015406
"457",465.248194448188
"458",-243.168132664696
"459",735.346992438328
"460",264.073630741292
"461",-157.434151547138
"462",380.861836659341
"463",-767.135121819252
"464",-860.074110450765
"465",-1703.99194609026
"466",-10667.4698028136
"467",3292.48497814072
"468",1358.3533781067
"469",550.646188732982
"470",-111.993083690954
"471",-598.407007943361
"472",-774.063806097827
"473",814.495130333631
"474",-657.425075219408
"475",663.099356890439
"476",-938.78747616473
"477",-669.461397089767
"478",-930.95328078505
"479",-941.158912503058
"480",894.797096479538
"481",-700.561003576639
"482",173.100492144545
"483",-168.530850315596
"484",-1194.18907126546
"485",253.427940742544
"486",751.248986066743
"487",313.929779438571
"488",-30.607331502632
