,0
0,532.7434
1,534.9929
2,536.96344
3,539.4424
4,541.9033
5,542.6412
6,538.4931
7,521.6984
8,677.3991
9,-335.1236
10,-352.47617
11,-498.23868
12,2661.3691
13,5680.7974
14,5720.991
15,5480.5703
16,7232.4824
17,7898.647
18,6471.795
19,2422.9546
20,-6119.752
21,-9026.432
22,-9129.543
23,-8650.303
24,-8771.946
25,-9514.341
26,-8023.5815
27,-4359.9395
28,-1834.0897
29,-262.8025
30,-2607.0642
31,-4408.1685
32,-5653.644
33,-6151.6226
34,-6350.739
35,-7288.421
36,-9624.071
37,-11079.073
38,-12155.945
39,-13235.507
40,-13707.2705
41,-13951.062
42,-14323.514
43,-15237.671
44,-16627.934
45,-15913.391
46,-15987.174
47,-18706.18
48,-19395.104
49,-19175.838
50,-20187.992
51,-22056.59
52,-23275.48
53,-23743.441
54,-23598.457
55,-24623.127
56,-24015.238
57,-25470.264
58,-24950.078
59,-24869.037
60,-24330.969
61,-27072.242
62,-29089.803
63,-28215.672
64,-27393.875
65,-29601.947
66,-29908.365
67,-31220.662
68,-31030.443
69,-29706.69
70,-30023.107
71,-30464.578
72,-30976.154
73,-29469.205
74,-28270.375
75,-27486.303
76,-25351.662
77,-24523.56
78,-25417.607
79,-25156.945
80,-25619.203
81,-25918.213
82,-24988.635
83,-23849.064
84,-23390.244
85,-24389.873
86,-30288.582
87,-29356.057
88,-35889.555
89,-34512.273
90,-34896.523
91,-32678.377
92,-32459.438
93,-31245.705
94,-29953.197
95,-28913.932
96,-28212.293
97,-27863.385
98,-28307.146
99,-28407.01
100,-27061.332
101,-27462.457
102,-27700.467
103,-28502.893
104,-28157.514
105,-29694.402
106,-33525.164
107,-33986.12
108,-34295.69
109,-35471.38
110,-36773.17
111,-36058.33
112,-36195.055
113,-36672.527
114,-36554.434
115,-38628.137
116,-39194.65
117,-39571.332
118,-40198.348
119,-41692.086
120,-42196.445
121,-42750.043
122,-43149.938
123,-44104.293
124,-44042.05
125,-43866.832
126,-44037.465
127,-43683.414
128,-45724.547
129,-45498.234
130,-44744.594
131,-44407.95
132,-44075.33
133,-43992.008
134,-44453.434
135,-45596.945
136,-46597.19
137,-48308.207
138,-48881.85
139,-48430.47
140,-47410.133
141,-46170.527
142,-44789.598
143,-45268.273
144,-45538.473
145,-45409.39
146,-45023.598
147,-45395.74
148,-45793.66
149,-46537.71
150,-45973.188
151,-46270.41
152,-45670.94
153,-45876.953
154,-46200.477
155,-46686.543
156,-46781.906
157,-45999.207
158,-47044.867
159,-46010.9
160,-46902.125
161,-47261.246
162,-47498.77
163,-47891.95
164,-47144.98
165,-47789.117
166,-46576.44
167,-47540.258
168,-46889.51
169,-47100.87
170,-47543.05
171,-46844.55
172,-47385.15
173,-47192.5
174,-46993.395
175,-47352.24
176,-47455.414
177,-48979.883
178,-51999.223
179,-49524.004
180,-50473.125
181,-50258.527
182,-47501.945
183,-47434.98
184,-47975.863
185,-46103.08
186,-46129.504
187,-46238.96
188,-47139.176
189,-46660.793
190,-47009.81
191,-46839.953
192,-46690.59
193,-46335.453
194,-46345.58
195,-47208.766
196,-47072.01
197,-47174.406
198,-47356.535
199,-47346.66
200,-47841.3
201,-47062.62
202,-48697.62
203,-48661.992
204,-48398.1
205,-48877.81
206,-48166.824
207,-46044.977
208,-46678.844
209,-45998.496
210,-48342.56
211,-47081.457
212,-48317.64
213,-48634.78
214,-47678.12
215,-47561.246
216,-48348.81
217,-48817.78
218,-48017.01
219,-48943.28
220,-49023.668
221,-48541.973
222,-47675.426
223,-49267.254
224,-48838.297
225,-48384.316
226,-49748.688
227,-48562.85
228,-47959.92
229,-47965.883
230,-48379.91
231,-47893.555
232,-46960.008
233,-49221.836
234,-49309.094
235,-49380.742
236,-48660.41
237,-48270.414
238,-47869.56
239,-46788.465
240,-48479.746
241,-49799.77
242,-49339.547
243,-49610.633
244,-51508.496
245,-51970.35
246,-51947.516
247,-52394.84
248,-51476.05
249,-51565.414
250,-50546.133
251,-50303.664
252,-49321.34
253,-49951.79
254,-51596.33
255,-50813.52
256,-50560.31
257,-49307.805
258,-48297.812
259,-47923.55
260,-49008.414
261,-51366.062
262,-48695.96
263,-48329.098
264,-47010.58
265,-44645.902
266,-48421.312
267,-50279.76
268,-49573.87
269,-52187.33
270,-53017.87
271,-54236.598
272,-54390.87
273,-57801.145
274,-57223.363
275,-54131.336
276,-54445.19
277,-54715.8
278,-57130.23
279,-57826.7
280,-55441.598
281,-57863.426
282,-60423.633
283,-58067.816
284,-57782.47
285,-58609.914
286,-60265.984
287,-58955.695
288,-57450.793
289,-54330.555
290,-60538.555
291,-57689.03
292,-57020.91
293,-59045.67
294,-61830.45
295,-60047.355
296,-59132.617
297,-60451.086
298,-59417.605
299,-61232.703
300,-59833.562
301,-62341.41
302,-61536.465
303,-60501.85
304,-63710.957
305,-62916.594
306,-66225.36
307,-62756.32
308,-63434.848
309,-59025.484
310,-63275.938
311,-61570.68
312,-58243.504
313,-63311.348
314,-60509.094
315,-59635.793
316,-56946.547
317,-61602.96
318,-60730.79
319,-62200.5
320,-64686.78
321,-62061.504
322,-59836.55
323,-59771.25
324,-57561.746
325,-60593.65
326,-56855.445
327,-58992.758
328,-57803.81
329,-59434.617
330,-58160.35
331,-54022.094
332,-57904.58
333,-59947.52
334,-54263.83
335,-52810.805
336,-50945.055
337,-52083.76
