"","x"
"1",NA
"2",NA
"3",NA
"4",12495.7142857143
"5",12961.5714285714
"6",13018
"7",13034.1428571429
"8",13009.8571428571
"9",12859.1428571429
"10",12744.4285714286
"11",12735.4285714286
"12",12662.5714285714
"13",12622.2857142857
"14",12443.1428571429
"15",12340.5714285714
"16",12449.2857142857
"17",12744.4285714286
"18",12869
"19",12673.7142857143
"20",12795.4285714286
"21",12859.8571428571
"22",12902.8571428571
"23",12779.7142857143
"24",12444.8571428571
"25",12299.7142857143
"26",12425.1428571429
"27",12322
"28",12352.7142857143
"29",12369.7142857143
"30",12362.5714285714
"31",12342.1428571429
"32",12268.7142857143
"33",12344.5714285714
"34",12353.2857142857
"35",11880.1428571429
"36",11993.5714285714
"37",12099
"38",12239
"39",12369.8571428571
"40",12437.4285714286
"41",12498.5714285714
"42",13018.8571428571
"43",13144.2857142857
"44",13269.7142857143
"45",13444.7142857143
"46",13587.8571428571
"47",13746.1428571429
"48",13911.2857142857
"49",14229.2857142857
"50",14368.8571428571
"51",14441.7142857143
"52",14469.4285714286
"53",14683
"54",14637.8571428571
"55",14671.4285714286
"56",14577.4285714286
"57",14330.1428571429
"58",14095.5714285714
"59",13965
"60",13645
"61",13503.4285714286
"62",13397.2857142857
"63",13274.8571428571
"64",13345.1428571429
"65",13453.5714285714
"66",13533.8571428571
"67",13656
"68",13763
"69",13922.4285714286
"70",14055.2857142857
"71",14225.5714285714
"72",14435.1428571429
"73",14583.4285714286
"74",14631.1428571429
"75",14524.5714285714
"76",14353.7142857143
"77",14196.1428571429
"78",13817.5714285714
"79",12987.7142857143
"80",11997.1428571429
"81",11212.2857142857
"82",10850.4285714286
"83",10453.5714285714
"84",9927.71428571428
"85",9560.71428571428
"86",9731.85714285714
"87",9953.28571428571
"88",10019.7142857143
"89",9674.71428571429
"90",9400
"91",9380.14285714286
"92",9433
"93",9539.42857142857
"94",9507.71428571428
"95",9481.42857142857
"96",9834.28571428571
"97",10222.8571428571
"98",10379
"99",10604.8571428571
"100",10841.5714285714
"101",11750.7142857143
"102",13028.8571428571
"103",13916.7142857143
"104",14642.7142857143
"105",15829.5714285714
"106",16979.7142857143
"107",17742.7142857143
"108",17518.5714285714
"109",15964.2857142857
"110",14908.8571428571
"111",14401.1428571429
"112",13841.2857142857
"113",13232.7142857143
"114",12750.1428571429
"115",13001.1428571429
"116",14542.2857142857
"117",15997.5714285714
"118",17084.5714285714
"119",17467.5714285714
"120",17710.1428571429
"121",18051.5714285714
"122",18233.8571428571
"123",18065.5714285714
"124",17688.1428571429
"125",17039.7142857143
"126",16807.5714285714
"127",16722
"128",16585.8571428571
"129",16430.4285714286
"130",16265.7142857143
"131",16164
"132",16201.2857142857
"133",16133.5714285714
"134",16287.4285714286
"135",16466.2857142857
"136",16193.8571428571
"137",15973.8571428571
"138",15932.8571428571
"139",15839.7142857143
"140",15647.4285714286
"141",15232.4285714286
"142",14895.2857142857
"143",15008.4285714286
"144",14909.5714285714
"145",14821.5714285714
"146",14638
"147",14794.4285714286
"148",14998.8571428571
"149",15204.7142857143
"150",14898
"151",14581.8571428571
"152",14469.4285714286
"153",14676.1428571429
"154",14352.5714285714
"155",14079.8571428571
"156",13649.4285714286
"157",13725.2857142857
"158",14140.5714285714
"159",14121.5714285714
"160",13909.2857142857
"161",14016.8571428571
"162",14323.7142857143
"163",14819.4285714286
"164",15201.8571428571
"165",15611.5714285714
"166",16105.4285714286
"167",16432.2857142857
"168",16861.8571428571
"169",16996.7142857143
"170",17025.1428571429
"171",17224.7142857143
"172",17335.5714285714
"173",17447.5714285714
"174",17576.1428571429
"175",16845.8571428571
"176",16696.4285714286
"177",15742
"178",15214.8571428571
"179",14631.1428571429
"180",14377.1428571429
"181",14216.2857142857
"182",14883.8571428571
"183",15167.1428571429
"184",16243
"185",16784.1428571429
"186",17256.7142857143
"187",17345.8571428571
"188",17526.4285714286
"189",17828.8571428571
"190",17898.5714285714
"191",17889.8571428571
"192",17794.8571428571
"193",17827.5714285714
"194",17741
"195",17191
"196",16660.1428571429
"197",16352
"198",15953
"199",15531.4285714286
"200",15228.5714285714
"201",15100.7142857143
"202",15322.8571428571
"203",15394.4285714286
"204",15086.7142857143
"205",14949.8571428571
"206",14952
"207",14700.5714285714
"208",14308
"209",14029.7142857143
"210",13699.1428571429
"211",13632.8571428571
"212",13427.7142857143
"213",13264.8571428571
"214",13198.8571428571
"215",13250.2857142857
"216",13322.2857142857
"217",13084
"218",13005.5714285714
"219",13174.7142857143
"220",13262
"221",13307.2857142857
"222",13369.1428571429
"223",13295
"224",13378.1428571429
"225",13257.4285714286
"226",12835
"227",12472
"228",12259.1428571429
"229",12202.4285714286
"230",12326.4285714286
"231",12675
"232",12886.7142857143
"233",13194.7142857143
"234",13501.4285714286
"235",13717.7142857143
"236",13720.4285714286
"237",13579.5714285714
"238",13278.8571428571
"239",13303.7142857143
"240",13318.7142857143
"241",13375.8571428571
"242",13320.5714285714
"243",13291.5714285714
"244",13261.7142857143
"245",13327.2857142857
"246",13393.1428571429
"247",13313.7142857143
"248",13343.4285714286
"249",13264.5714285714
"250",13208.4285714286
"251",13209
"252",13152.4285714286
"253",13109.1428571429
"254",13125.7142857143
"255",13153.5714285714
"256",13139.4285714286
"257",13271.2857142857
"258",13345.7142857143
"259",13380
"260",13415.7142857143
"261",13465.4285714286
"262",13369.5714285714
"263",13496.5714285714
"264",13437.5714285714
"265",13422.1428571429
"266",13267.4285714286
"267",12634
"268",12714.5714285714
"269",12545.4285714286
"270",12363.1428571429
"271",12669.2857142857
"272",12800.7142857143
"273",12964.2857142857
"274",13767
"275",13880.7142857143
"276",14125.4285714286
"277",14229
"278",14059.8571428571
"279",14001.8571428571
"280",14135.4285714286
"281",13997.1428571429
"282",13998.2857142857
"283",14037.8571428571
"284",14060.1428571429
"285",14032.7142857143
"286",14059.5714285714
"287",14030.8571428571
"288",13997.7142857143
"289",13861.2857142857
"290",13897
"291",13788.7142857143
"292",13694.7142857143
"293",13683.8571428571
"294",13607.8571428571
"295",13643.5714285714
"296",14022.5714285714
"297",14014.5714285714
"298",14346.1428571429
"299",14228.7142857143
"300",14342.4285714286
"301",14349.5714285714
"302",14229.1428571429
"303",14038
"304",14050.7142857143
"305",13839.1428571429
"306",13957.5714285714
"307",13945.5714285714
"308",13945
"309",13973
"310",13914.8571428571
"311",13988.2857142857
"312",13904.2857142857
"313",13980.4285714286
"314",13978.7142857143
"315",13901.2857142857
"316",14049.2857142857
"317",14150.8571428571
"318",14083
"319",14228.7142857143
"320",14338.4285714286
"321",14482.2857142857
"322",14455.2857142857
"323",14292.5714285714
"324",14140.7142857143
"325",14173.7142857143
"326",14295.2857142857
"327",14335
"328",14381.8571428571
"329",14491.7142857143
"330",14383.2857142857
"331",14417
"332",14311.7142857143
"333",13916.4285714286
"334",13570.5714285714
"335",13198.5714285714
"336",13088
"337",13257.1428571429
"338",13172
"339",13245
"340",13558.4285714286
"341",13911.1428571429
"342",14013.8571428571
"343",13936.5714285714
"344",13940.4285714286
"345",14037.8571428571
"346",14155.2857142857
"347",14359.1428571429
"348",14420.7142857143
"349",14321.7142857143
"350",14263
"351",14548.5714285714
"352",14752.1428571429
"353",14904.8571428571
"354",15247
"355",14899.2857142857
"356",14758.2857142857
"357",15125.7142857143
"358",14558.4285714286
"359",14059.4285714286
"360",13423.4285714286
"361",12629.4285714286
"362",12072.8571428571
"363",11937.4285714286
"364",12017
"365",12191
"366",12227
"367",11971.2857142857
"368",11697.7142857143
"369",12369.5714285714
"370",12223.1428571429
"371",11243.5714285714
"372",11142.5714285714
"373",11118.8571428571
"374",11203.1428571429
"375",11016
"376",10701.2857142857
"377",11075.4285714286
"378",11555.5
"379",10756.2142857143
"380",10754.9285714286
"381",11072.3571428571
"382",11147.2142857143
"383",10565.0714285714
"384",10329.2142857143
"385",10410
"386",10808.5714285714
"387",11048.6428571429
"388",10848.2142857143
"389",10851.2142857143
"390",11201.6428571429
"391",10819.3571428571
"392",10705.2142857143
"393",10672.3571428571
"394",9812
"395",9529.42857142857
"396",9058.42857142857
"397",9061.57142857143
"398",9240.71428571428
"399",8949.28571428571
"400",8373
"401",8813.42857142857
"402",8696.5
"403",8762.92857142857
"404",8765.92857142857
"405",9113.07142857143
"406",9282.35714285714
"407",9273.78571428571
"408",9223.21428571429
"409",9291.14285714286
"410",9292.85714285714
"411",9272.28571428571
"412",9398.71428571429
"413",9722.71428571429
"414",10537.7142857143
"415",10369.8571428571
"416",11061
"417",11584.2857142857
"418",11689.8571428571
"419",11287.1428571429
"420",11377.4285714286
"421",11804.4285714286
"422",11931
"423",11172.7142857143
"424",11744.6428571429
"425",12136.1428571429
"426",12628.2142857143
"427",12868.5714285714
"428",12994
"429",13659.1428571429
"430",14733.7142857143
"431",14705.9285714286
"432",14521.1428571429
"433",13923.6428571429
"434",13488.7142857143
"435",12448.8571428571
"436",11651.8571428571
"437",10708.7142857143
"438",10317.8571428571
"439",9796
"440",9621.28571428571
"441",9367
"442",9871.42857142857
"443",9675.42857142857
"444",10301.6428571429
"445",10720.2857142857
"446",10837.7142857143
"447",11114.5714285714
"448",11128.7142857143
"449",11085.4285714286
"450",11581.5714285714
"451",11345.0714285714
"452",11014.4285714286
"453",11454
"454",11974
"455",12850.5714285714
"456",13577.2857142857
"457",14500
"458",15683.2857142857
"459",17114.7142857143
"460",18109.2857142857
"461",18846.2857142857
"462",18985.7142857143
"463",18050.4285714286
"464",16717.1428571429
"465",15565.5714285714
"466",14368.8571428571
"467",14415.1428571429
"468",14937.5714285714
"469",15531.7142857143
"470",16742.4285714286
"471",18024
"472",18784.8571428571
"473",19762
"474",19944.2857142857
"475",19201.2857142857
"476",18613.7142857143
"477",18566.2857142857
"478",18349.7142857143
"479",18169
