"","x"
"1",NA
"2",NA
"3",NA
"4",13949.5714285714
"5",14221.5714285714
"6",14809.2857142857
"7",15180.2857142857
"8",15735.4285714286
"9",15928.2857142857
"10",16070
"11",16226.8571428571
"12",16357.8571428571
"13",16536
"14",16622.8571428571
"15",16701.5714285714
"16",16927.7142857143
"17",17061
"18",17129.4285714286
"19",17161.5714285714
"20",17248.4285714286
"21",17289
"22",17323
"23",17449.1428571429
"24",17670.7142857143
"25",17708.8571428571
"26",17786
"27",16972.7142857143
"28",16056
"29",15039.1428571429
"30",14389.1428571429
"31",13882
"32",13304.4285714286
"33",12973.2857142857
"34",13100.8571428571
"35",13156.1428571429
"36",13149.2857142857
"37",13350
"38",13222.7142857143
"39",13581.4285714286
"40",13849.1428571429
"41",13930.4285714286
"42",14009.1428571429
"43",14309.8571428571
"44",14679
"45",15208
"46",15696.4285714286
"47",15698.5714285714
"48",16086.7142857143
"49",16786.7142857143
"50",17187
"51",15292.1428571429
"52",13441.7142857143
"53",13383.8571428571
"54",13657
"55",13759
"56",13631.2857142857
"57",12977
"58",13041.8571428571
"59",14678.4285714286
"60",13987.7142857143
"61",13392.2857142857
"62",12518
"63",11766.8571428571
"64",11462.7142857143
"65",12361.2857142857
"66",11614.4285714286
"67",11287.1428571429
"68",10900.2857142857
"69",10857
"70",10771.4285714286
"71",10836
"72",10978.2857142857
"73",11149.7142857143
"74",11297.2857142857
"75",11657.8571428571
"76",11926.1428571429
"77",11995.4285714286
"78",12072
"79",12104.1428571429
"80",12152.1428571429
"81",12257.2857142857
"82",12289.2857142857
"83",12438
"84",12691.4285714286
"85",12796
"86",12911.2857142857
"87",12949.4285714286
"88",12935.4285714286
"89",12939.2857142857
"90",12764.2857142857
"91",12608.1428571429
"92",12612.7142857143
"93",12659.1428571429
"94",12904.8571428571
"95",13573.8571428571
"96",14415.2857142857
"97",14963.2857142857
"98",15443.5714285714
"99",15905
"100",15988.4285714286
"101",16209.7142857143
"102",15821.8571428571
"103",14976.5714285714
"104",14289
"105",13760.7142857143
"106",13359.8571428571
"107",13231
"108",13045.2857142857
"109",12964
"110",13140
"111",13514
"112",13817.1428571429
"113",13878.7142857143
"114",14089.7142857143
"115",14208.8571428571
"116",14387.5714285714
"117",14498.1428571429
"118",14748.4285714286
"119",14910.5714285714
"120",15214.7142857143
"121",15399.7142857143
"122",15546.8571428571
"123",15817.4285714286
"124",16093
"125",16222.1428571429
"126",16495.4285714286
"127",16450.5714285714
"128",16469.2857142857
"129",16069.7142857143
"130",15206.4285714286
"131",13950.5714285714
"132",12685.8571428571
"133",10978.1428571429
"134",9675.28571428571
"135",8853.14285714286
"136",8352.57142857143
"137",8209.28571428571
"138",8572.42857142857
"139",8839.42857142857
"140",9018.57142857143
"141",9120.28571428571
"142",9301.42857142857
"143",9604
"144",9849.71428571428
"145",10270.8571428571
"146",10302
"147",10352
"148",10704.4285714286
"149",10757
"150",10593.2857142857
"151",10257.1428571429
"152",9675.71428571428
"153",9935.71428571429
"154",10590.4285714286
"155",10592.5714285714
"156",10858.7142857143
"157",11113.1428571429
"158",11375.7142857143
"159",12121.5714285714
"160",12699.5714285714
"161",13423.4285714286
"162",14776.5714285714
"163",16127.8571428571
"164",16475.5714285714
"165",16856.8571428571
"166",16516.8571428571
"167",15864.4285714286
"168",15089.5714285714
"169",14159
"170",12776.5714285714
"171",12561.4285714286
"172",12697
"173",12950.5714285714
"174",13354
"175",13672
"176",13802
"177",13986.8571428571
"178",14464.5714285714
"179",14915.8571428571
"180",14996.5714285714
"181",14999.7142857143
"182",14998.5714285714
"183",15064
"184",15270.1428571429
"185",15165.5714285714
"186",15589.2857142857
"187",16253.8571428571
"188",16547.1428571429
"189",16846.8571428571
"190",17249.1428571429
"191",17250
"192",17055.1428571429
"193",16449.1428571429
"194",15840.4285714286
"195",15747
"196",15532.7142857143
"197",15164.2857142857
"198",15234.5714285714
"199",15431.1428571429
"200",16133.2857142857
"201",16783.7142857143
"202",17305.1428571429
"203",17790.1428571429
"204",18363.7142857143
"205",18408.2857142857
"206",18359.8571428571
"207",17590.7142857143
"208",16987.1428571429
"209",16518.7142857143
"210",16001.5714285714
"211",15220.5714285714
"212",14948.7142857143
"213",15346
"214",15592.8571428571
"215",16008.7142857143
"216",16051.7142857143
"217",16134.8571428571
"218",16327.2857142857
"219",16579.4285714286
"220",16731.5714285714
"221",16753.7142857143
"222",16881
"223",17365.2857142857
"224",17260.2857142857
"225",17413
"226",18009.8571428571
"227",18115.4285714286
"228",18108.7142857143
"229",17942.4285714286
"230",17561.5714285714
"231",17886.7142857143
"232",18163.4285714286
"233",18113.5714285714
"234",18475.8571428571
"235",19212
"236",19817
"237",20283
"238",20611.2857142857
"239",20924.8571428571
"240",21003.4285714286
"241",21313.5714285714
"242",21541.8571428571
"243",21768.5714285714
"244",21941.1428571429
"245",22099.1428571429
"246",22283
"247",22442
"248",22389
"249",22249.2857142857
"250",22132.8571428571
"251",21904.5714285714
"252",21569.8571428571
"253",20743.7142857143
"254",19994
"255",19281.5714285714
"256",18749
"257",18676.2857142857
"258",18604.1428571429
"259",18505.5714285714
"260",18646.7142857143
"261",18782.7142857143
"262",18862
"263",18920.1428571429
"264",NA
"265",NA
"266",NA
