"","Tanggal","brgkt","dtg","passenger"
"1",2023-11-01,5850,5169,11019
"2",2023-11-02,6838,5429,12267
"3",2023-11-03,7358,6154,13512
"4",2023-11-04,8977,8295,17272
"5",2023-11-05,8446,7892,16338
"6",2023-11-06,5952,6412,12364
"7",2023-11-07,6081,6159,12240
"8",2023-11-08,7156,6498,13654
"9",2023-11-09,7660,6511,14171
"10",2023-11-10,9399,8227,17626
"11",2023-11-11,10126,9743,19869
"12",2023-11-12,10119,10105,20224
"13",2023-11-13,6349,7365,13714
"14",2023-11-14,6282,6950,13232
"15",2023-11-15,7318,7434,14752
"16",2023-11-16,7963,7125,15088
"17",2023-11-17,10216,8657,18873
"18",2023-11-18,10224,10253,20477
"19",2023-11-19,10429,10346,20775
"20",2023-11-20,7239,8058,15297
"21",2023-11-21,7227,6938,14165
"22",2023-11-22,7837,7394,15231
"23",2023-11-23,7809,7504,15313
"24",2023-11-24,10128,9353,19481
"25",2023-11-25,10531,10230,20761
"26",2023-11-26,10562,10451,21013
"27",2023-11-27,8122,8058,16180
"28",2023-11-28,7764,7952,15716
"29",2023-11-29,7813,7685,15498
"30",2023-11-30,8019,7834,15853
"31",2023-12-01,7950,5838,13788
"32",2023-12-02,7636,6708,14344
"33",2023-12-03,5555,8340,13895
"34",2023-12-04,5740,5890,11630
"35",2023-12-05,6187,5979,12166
"36",2023-12-06,6198,5257,11455
"37",2023-12-07,7400,6135,13535
"38",2023-12-08,8302,6379,14681
"39",2023-12-09,7777,6954,14731
"40",2023-12-10,5383,8464,13847
"41",2023-12-11,6631,6404,13035
"42",2023-12-12,6049,5226,11275
"43",2023-12-13,7614,6352,13966
"44",2023-12-14,8524,6885,15409
"45",2023-12-15,8612,6638,15250
"46",2023-12-16,8163,7119,15282
"47",2023-12-17,7277,8675,15952
"48",2023-12-18,8164,7455,15619
"49",2023-12-19,7902,7076,14978
"50",2023-12-20,9345,8040,17385
"51",2023-12-21,8444,6980,15424
"52",2023-12-22,10496,7471,17967
"53",2023-12-23,12858,7324,20182
"54",2023-12-24,10935,7819,18754
"55",2023-12-25,2355,0,2355
"56",2023-12-26,2025,0,2025
"57",2023-12-27,8742,8238,16980
"58",2023-12-28,9366,7970,17336
"59",2023-12-29,10790,7891,18681
"60",2023-12-30,11174,8114,19288
"61",2023-12-31,6824,7350,14174
"62",2024-01-01,2809,0,2809
"63",2024-01-02,5787,7694,13481
"64",2024-01-03,6004,6141,12145
"65",2024-01-04,6936,6232,13168
"66",2024-01-05,7364,5197,12561
"67",2024-01-06,7646,6384,14030
"68",2024-01-07,4938,7107,12045
"69",2024-01-08,4384,4715,9099
"70",2024-01-09,4249,4004,8253
"71",2024-01-10,5502,4352,9854
"72",2024-01-11,5801,4659,10460
"73",2024-01-12,7312,4946,12258
"74",2024-01-13,7569,5862,13431
"75",2024-01-14,4810,7687,12497
"76",2024-01-15,4989,5106,10095
"77",2024-01-16,4990,4463,9453
"78",2024-01-17,6194,4693,10887
"79",2024-01-18,7133,5851,12984
"80",2024-01-19,8138,5998,14136
"81",2024-01-20,7463,6453,13916
"82",2024-01-21,4882,8151,13033
"83",2024-01-22,5042,5278,10320
"84",2024-01-23,5188,4601,9789
"85",2024-01-24,6278,5345,11623
"86",2024-01-25,7416,5792,13208
"87",2024-01-26,8401,6776,15177
"88",2024-01-27,8403,7287,15690
"89",2024-01-28,5210,8555,13765
"90",2024-01-29,5652,5475,11127
"91",2024-01-30,4976,5080,10056
"92",2024-01-31,6182,5343,11525
"93",2024-02-01,7455,5780,13235
"94",2024-02-02,7891,6061,13952
"95",2024-02-03,7931,6666,14597
"96",2024-02-04,5574,8223,13797
"97",2024-02-05,6243,5209,11452
"98",2024-02-06,6137,5639,11776
"99",2024-02-07,8767,7441,16208
"100",2024-02-08,13464,5661,19125
"101",2024-02-09,10459,7329,17788
"102",2024-02-10,8665,9294,17959
"103",2024-02-11,5821,11206,17027
"104",2024-02-12,5100,6936,12036
"105",2024-02-13,6997,6328,13325
"106",2024-02-14,6592,6901,13493
"107",2024-02-15,7112,6096,13208
"108",2024-02-16,7917,5058,12975
"109",2024-02-17,7697,6564,14261
"110",2024-02-18,5746,8475,14221
"111",2024-02-19,5729,5405,11134
"112",2024-02-20,6329,5696,12025
"113",2024-02-21,7088,5836,12924
"114",2024-02-22,8296,6144,14440
"115",2024-02-23,8690,6903,15593
"116",2024-02-24,9017,7366,16383
"117",2024-02-25,6258,8394,14652
"118",2024-02-26,6265,6346,12611
"119",2024-02-27,6810,6049,12859
"120",2024-02-28,7842,6333,14175
"121",2024-02-29,8332,6882,15214
"122",2024-03-01,8058,9287,17345
"123",2024-03-02,8251,9267,17518
"124",2024-03-03,9223,7558,16781
"125",2024-03-04,6973,6933,13906
"126",2024-03-05,6480,7409,13889
"127",2024-03-06,7418,8651,16069
"128",2024-03-07,8219,8924,17143
"129",2024-03-08,8988,9261,18249
"130",2024-03-09,7497,11934,19431
"131",2024-03-10,7721,8746,16467
"132",2024-03-11,8732,5305,14037
"133",2024-03-12,7003,4089,11092
"134",2024-03-13,5322,4704,10026
"135",2024-03-14,3885,4467,8352
"136",2024-03-15,4138,5258,9396
"137",2024-03-16,3348,4129,7477
"138",2024-03-17,4146,3201,7347
"139",2024-03-18,4312,3970,8282
"140",2024-03-19,3720,3868,7588
"141",2024-03-20,4314,4709,9023
"142",2024-03-21,5194,5700,10894
"143",2024-03-22,5045,6220,11265
