"","x"
"1",2654
"2",250
"3",-1627
"4",488
"5",76
"6",4707
"7",2583
"8",-2732
"9",-1133
"10",3226
"11",-257
"12",-2710
"13",-6910
"14",-9311
"15",3492
"16",3834
"17",-365
"18",-341
"19",882
"20",5135
"21",9031
"22",-601
"23",-2578
"24",-4928
"25",-983
"26",692
"27",-1114
"28",-2454
"29",-1464
"30",-1897
"31",2914
"32",1026
"33",-354
"34",-135
"35",-65
"36",441
"37",973
"38",-735
"39",1551
"40",175
"41",-3159
"42",367
"43",1253
"44",-365
"45",-694
"46",-1559
"47",545
"48",3152
"49",-1484
"50",76
"51",-669
"52",2380
"53",336
"54",10
"55",-3588
"56",-66
"57",1426
"58",2234
"59",-3712
"60",356
"61",-1104
"62",3544
"63",2376
"64",-3040
"65",-1353
"66",2239
"67",1395
"68",1322
"69",-793
"70",191
"71",589
"72",-1169
"73",719
"74",-2063
"75",-745
"76",1198
"77",-621
"78",8
"79",116
"80",-6012
"81",4066
"82",-5635
"83",2991
"84",-396
"85",2308
"86",652
"87",5799
"88",-2690
"89",5548
"90",-3743
"91",-480
"92",-2684
"93",640
"94",853
"95",-1629
"96",-549
"97",-604
"98",894
"99",-835
"100",-3244
"101",134
"102",1559
"103",-636
"104",-158
"105",831
"106",1225
"107",2450
"108",-1054
"109",-2655
"110",1196
"111",973
"112",-1775
"113",-988
"114",800
"115",-366
"116",1850
"117",-972
"118",296
"119",678
"120",822
"121",144
"122",-2172
"123",1119
"124",1733
"125",-573
"126",-294
"127",116
"128",-952
"129",1101
"130",-1427
"131",-2112
"132",416
"133",1051
"134",1093
"135",1265
"136",1572
"137",-958
"138",674
"139",-9
"140",-633
"141",-1495
"142",-1005
"143",-1119
"144",2279
"145",-69
"146",295
"147",-787
"148",184
"149",-6
"150",668
"151",2
"152",-1017
"153",764
"154",-760
"155",159
"156",397
"157",-400
"158",93
"159",419
"160",79
"161",-294
"162",1022
"163",-402
"164",-281
"165",10
"166",98
"167",-1019
"168",1560
"169",-1302
"170",305
"171",-975
"172",-3351
"173",4998
"174",-1748
"175",-92
"176",3419
"177",-1223
"178",225
"179",4474
"180",-4823
"181",917
"182",-988
"183",-1909
"184",778
"185",1341
"186",-1903
"187",976
"188",269
"189",-121
"190",-348
"191",380
"192",-389
"193",-31
"194",-723
"195",1205
"196",-1008
"197",100
"198",582
"199",-456
"200",782
"201",2403
"202",-2709
"203",2377
"204",-3143
"205",1618
"206",-746
"207",-893
"208",-495
"209",1427
"210",-1570
"211",2310
"212",-913
"213",80
"214",200
"215",-603
"216",921
"217",-1102
"218",1121
"219",-545
"220",-530
"221",1578
"222",-325
"223",-1186
"224",1495
"225",-252
"226",239
"227",-1196
"228",-950
"229",76
"230",1294
"231",620
"232",-573
"233",50
"234",441
"235",-1528
"236",995
"237",-973
"238",-2030
"239",346
"240",-183
"241",1830
"242",1958
"243",-1780
"244",1107
"245",1683
"246",275
"247",-1750
"248",-1260
"249",568
"250",655
"251",140
"252",605
"253",-996
"254",-1124
"255",282
"256",2410
"257",-574
"258",-356
"259",1326
"260",-4829
"261",1447
"262",3559
"263",-6543
"264",478
"265",-959
"266",-1106
"267",1662
"268",2948
"269",1505
"270",661
"271",-966
"272",-2042
"273",-125
"274",6618
"275",-5728
"276",-5832
"277",6150
"278",541
"279",756
"280",-1900
"281",-893
"282",4822
"283",741.5
"284",-8955.5
"285",5586
"286",2231
"287",-1698
"288",-4599
"289",2424
"290",2216.5
"291",2224.5
"292",-3622
"293",-2905
"294",5226
"295",-852
"296",-1846
"297",577
"298",-2060
"299",714
"300",-1319
"301",3319
"302",1232
"303",-3294
"304",-1994
"305",7117
"306",-3901.5
"307",1283.5
"308",-444
"309",2409
"310",-1245
"311",-1245
"312",-294
"313",829.5
"314",-463.5
"315",-156
"316",1029
"317",1383
"318",3437
"319",-6880
"320",6013
"321",-1175
"322",-2924
"323",-3558
"324",3451
"325",2357
"326",-2103
"327",-6194
"328",11229
"329",-2107
"330",1849
"331",-4175
"332",-3821
"333",1733
"334",2859
"335",-9538
"336",1700
"337",-1023
"338",3866
"339",-917
"340",2430
"341",-557
"342",5311
"343",-4903
"344",1631
"345",-796
"346",758
"347",3051
"348",-852
"349",-2245
"350",3388
"351",-486
"352",563
"353",2496
"354",-1049
"355",1372
"356",1824
"357",1737
"358",-3058
"359",-1803
"360",-4183
"361",-7523
"362",-2786
"363",1272
"364",-316
"365",8701
"366",3333
"367",502
"368",4316
"369",496
"370",-3645
"371",1514
"372",-5564
"373",-6477
"374",1088
"375",3781
"376",-1184
"377",251
"378",-2138
"379",-465
"380",2647
"381",1238
"382",-1038
"383",0
"384",1106
"385",-1626
"386",1263
"387",347
"388",-2067
"389",2695
"390",396
"391",-4092
"392",361
"393",1844
"394",-229
"395",307
"396",-1424
"397",774
"398",4090
"399",-1303
"400",-3011
"401",1288
"402",-968
"403",440
"404",381
"405",-3131
"406",1012
"407",3951
"408",-2157
"409",1039
"410",-3266
"411",2424
"412",1635
"413",661
"414",-3482
"415",2035
"416",400
"417",2797
"418",-1571
"419",-170
"420",-653
"421",-42
"422",77
"423",-577
"424",-73
"425",-1315
"426",3196
"427",21
